program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
retrofit_res,MVPF,1.329290302733021,,,,99999,,baseline,1,0
retrofit_res,MVPF_no_cc,,,,,99999,,baseline,1,0
retrofit_res,cost,98223.18067118841,,,,99999,1.0089337,baseline,1,0
retrofit_res,WTP,130567.1215698043,,,,99999,1.3411658,baseline,1,0
retrofit_res,program_cost,97353.45811325937,,,,99999,,baseline,1,0
retrofit_res,total_cost,98223.18067118841,,,,99999,,baseline,1,0
retrofit_res,beh_fisc_ext,,,,,99999,,baseline,1,0
retrofit_res,utility_fisc_ext,,,,,99999,,baseline,1,0
retrofit_res,gas_fisc_ext,,,,,99999,,baseline,1,0
retrofit_res,fed_fisc_ext,,,,,99999,,baseline,1,0
retrofit_res,state_fisc_ext,,,,,99999,,baseline,1,0
retrofit_res,WTP_USPres,77821.61373856089,,,,99999,,baseline,1,0
retrofit_res,WTP_USFut,7036.265640523269,,,,99999,,baseline,1,0
retrofit_res,WTP_RoW,45709.24219072016,,,,99999,,baseline,1,0
retrofit_res,WTP_USTotal,,,,,99999,,baseline,1,0
retrofit_res,enviro_mvpf,,,,,99999,,baseline,1,0
retrofit_res,cost_mvpf,,,,,99999,,baseline,1,0
retrofit_res,firm_mvpf,,,,,99999,,baseline,1,0
retrofit_res,cost_wtp,,,,,99999,,baseline,1,0
retrofit_res,env_cost_wtp,,,,,99999,,baseline,1,0
retrofit_res,marginal,,,,,99999,,baseline,1,0
retrofit_res,infmarg,,,,,99999,,baseline,1,0
retrofit_res,wtp_private,,,,,99999,,baseline,1,0
retrofit_res,wtp_soc,62079.44683202074,,,,99999,,baseline,1,0
retrofit_res,wtp_no_ice,,,,,99999,,baseline,1,0
retrofit_res,wtp_yes_ev,,,,,99999,,baseline,1,0
retrofit_res,wtp_yes_hev,,,,,99999,,baseline,1,0
retrofit_res,wtp_soc_rbd,,,,,99999,,baseline,1,0
retrofit_res,wtp_yes_ev_local,,,,,99999,,baseline,1,0
retrofit_res,wtp_no_ice_local,,,,,99999,,baseline,1,0
retrofit_res,env_cost_wtp_l,,,,,99999,,baseline,1,0
retrofit_res,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
retrofit_res,wtp_yes_ev_g,,,,,99999,,baseline,1,0
retrofit_res,wtp_no_ice_g,,,,,99999,,baseline,1,0
