program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
rice_in_up,MVPF,14.66146922090434,,,,,baseline,1,0
rice_in_up,MVPF_no_cc,,,,,,baseline,1,0
rice_in_up,cost,43.10807585935896,,,,.79216874,baseline,1,0
rice_in_up,WTP,632.0277273844009,,,,11.614357,baseline,1,0
rice_in_up,program_cost,54.41779617915216,,,,,baseline,1,0
rice_in_up,total_cost,43.10807585935896,,,,,baseline,1,0
rice_in_up,beh_fisc_ext,,,,,,baseline,1,0
rice_in_up,utility_fisc_ext,,,,,,baseline,1,0
rice_in_up,gas_fisc_ext,,,,,,baseline,1,0
rice_in_up,fed_fisc_ext,,,,,,baseline,1,0
rice_in_up,state_fisc_ext,,,,,,baseline,1,0
rice_in_up,WTP_USPres,0,,,,,baseline,1,0
rice_in_up,WTP_USFut,77.25504334342688,,,,,baseline,1,0
rice_in_up,WTP_RoW,554.772684040974,,,,,baseline,1,0
rice_in_up,WTP_USTotal,,,,,,baseline,1,0
rice_in_up,enviro_mvpf,,,,,,baseline,1,0
rice_in_up,cost_mvpf,,,,,,baseline,1,0
rice_in_up,firm_mvpf,,,,,,baseline,1,0
rice_in_up,cost_wtp,,,,,,baseline,1,0
rice_in_up,env_cost_wtp,,,,,,baseline,1,0
rice_in_up,marginal,,,,,,baseline,1,0
rice_in_up,infmarg,,,,,,baseline,1,0
rice_in_up,wtp_private,,,,,,baseline,1,0
rice_in_up,wtp_soc,,,,,,baseline,1,0
rice_in_up,wtp_no_ice,,,,,,baseline,1,0
rice_in_up,wtp_yes_ev,,,,,,baseline,1,0
rice_in_up,wtp_yes_hev,,,,,,baseline,1,0
rice_in_up,wtp_soc_rbd,,,,,,baseline,1,0
rice_in_up,wtp_yes_ev_local,,,,,,baseline,1,0
rice_in_up,wtp_no_ice_local,,,,,,baseline,1,0
rice_in_up,env_cost_wtp_l,,,,,,baseline,1,0
rice_in_up,wtp_soc_rbd_l,,,,,,baseline,1,0
rice_in_up,wtp_yes_ev_g,,,,,,baseline,1,0
rice_in_up,wtp_no_ice_g,,,,,,baseline,1,0
rice_in_up,env_cost_wtp_g,,,,,,baseline,1,0
rice_in_up,wtp_soc_rbd_g,,,,,,baseline,1,0
rice_in_up,wtp_marg,1.512106229758624,,,,,baseline,1,0
rice_in_up,wtp_inf,51.39358371963491,,,,,baseline,1,0
rice_in_up,wtp_glob,579.1220374350074,,,,,baseline,1,0
rice_in_up,wtp_loc,0,,,,,baseline,1,0
rice_in_up,wtp_r_glob,,,,,,baseline,1,0
rice_in_up,wtp_r_loc,,,,,,baseline,1,0
rice_in_up,wtp_e_cost,,,,,,baseline,1,0
rice_in_up,WTP_cc,,,,,,baseline,1,0
rice_in_up,wtp_install,,,,,,baseline,1,0
rice_in_up,wtp_prod,,,,,,baseline,1,0
rice_in_up,wtp_prod_s,,,,,,baseline,1,0
rice_in_up,wtp_prod_u,,,,,,baseline,1,0
rice_in_up,wtp_cons,52.90568994939353,,,,,baseline,1,0
rice_in_up,wtp_deal,,,,,,baseline,1,0
rice_in_up,admin_cost,,,,,,baseline,1,0
rice_in_up,wtp_permits,,,,,,baseline,1,0
rice_in_up,wtp_abatement,,,,,,baseline,1,0
rice_in_up,permitrev,,,,,,baseline,1,0
rice_in_up,wtp_no_leak,,,,,,baseline,1,0
rice_in_up,wtp_leak,,,,,,baseline,1,0
rice_in_up,wtp_soc_g,,,,,,baseline,1,0
rice_in_up,wtp_soc_l,,,,,,baseline,1,0
rice_in_up,fisc_ext_t,0,,,,,baseline,1,0
rice_in_up,fisc_ext_s,0,,,,,baseline,1,0
rice_in_up,fisc_ext_lr,-11.30972031979321,,,,,baseline,1,0
rice_in_up,q_CO2,3.059231905465288,,,,,baseline,1,0
rice_in_up,q_CO2_no,,,,,,baseline,1,0
rice_in_up,p_spend,54.41779617915216,,,,,baseline,1,0
rice_in_up,ev_sub_c,,,,,,baseline,1,0
rice_in_up,ev_sub_c_row,,,,,,baseline,1,0
rice_in_up,ev_sub_c_us,,,,,,baseline,1,0
rice_in_up,ev_sub_env,,,,,,baseline,1,0
rice_in_up,ev_sub_cost,,,,,,baseline,1,0
rice_in_up,profits_fisc_e,,,,,,baseline,1,0
rice_in_up,wtp_soc_l_po,,,,,,baseline,1,0
rice_in_up,wtp_soc_l_dr,,,,,,baseline,1,0
rice_in_up,gov_carbon,,,,,,baseline,1,0
rice_in_up,resource_ce,,,,,,baseline,1,0
rice_in_up,q_carbon_mck,,,,,,baseline,1,0
rice_in_up,semie,,,,,,baseline,1,0
rice_in_up,pass_through,,,,,,baseline,1,0
rice_in_up,permitrev_new,,,,,,baseline,1,0
rice_in_up,permitrev_ex,,,,,,baseline,1,0
rice_in_up,fiscalext,,,,,,baseline,1,0
rice_in_up,firm_cost_wtp,,,,,,baseline,1,0
rice_in_up,c_savings,,,,,,baseline,1,0
rice_in_up,resource_cost,,,,,,baseline,1,0
rice_in_up,q_CO2_mck,,,,,,baseline,1,0
rice_in_up,q_CO2_mck_no,,,,,,baseline,1,0
rice_in_up,wtp_ctr,,,,,,baseline,1,0
rice_in_up,gas_corp_fisc_e,,,,,,baseline,1,0
rice_in_up,epsilon,,,,,,baseline,1,0
rice_in_up,transfer,,,,,,baseline,1,0
rice_in_up,enviro_wtp,,,,,,baseline,1,0
rice_in_up,cost_curve,,,,,,baseline,1,0
rice_in_up,profits,,,,,,baseline,1,0
rice_in_up,subsidies,,,,,,baseline,1,0
rice_in_up,taxes,,,,,,baseline,1,0
rice_in_up,wtp_batt,,,,,,baseline,1,0
rice_in_up,wtp_local_w_r,,,,,,baseline,1,0
rice_in_up,wind_g_wf,,,,,,baseline,1,0
rice_in_up,wind_l_wf,,,,,,baseline,1,0
