program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
russo_crp,MVPF,2.406642443640426,,,,,baseline,1,0
russo_crp,MVPF_no_cc,,,,,,baseline,1,0
russo_crp,cost,81.51040054945055,,,,.98205304,baseline,1,0
russo_crp,WTP,196.1663895604396,,,,2.3634505,baseline,1,0
russo_crp,program_cost,83,,,,,baseline,1,0
russo_crp,total_cost,,,,,,baseline,1,0
russo_crp,beh_fisc_ext,,,,,,baseline,1,0
russo_crp,utility_fisc_ext,,,,,,baseline,1,0
russo_crp,gas_fisc_ext,,,,,,baseline,1,0
russo_crp,fed_fisc_ext,,,,,,baseline,1,0
russo_crp,state_fisc_ext,,,,,,baseline,1,0
russo_crp,WTP_USPres,119.8904212454212,,,,,baseline,1,0
russo_crp,WTP_USFut,10.17523571428572,,,,,baseline,1,0
russo_crp,WTP_RoW,66.10073260073263,,,,,baseline,1,0
russo_crp,WTP_USTotal,,,,,,baseline,1,0
russo_crp,enviro_mvpf,,,,,,baseline,1,0
russo_crp,cost_mvpf,,,,,,baseline,1,0
russo_crp,firm_mvpf,,,,,,baseline,1,0
russo_crp,cost_wtp,,,,,,baseline,1,0
russo_crp,env_cost_wtp,,,,,,baseline,1,0
russo_crp,marginal,,,,,,baseline,1,0
russo_crp,infmarg,,,,,,baseline,1,0
russo_crp,wtp_private,,,,,,baseline,1,0
russo_crp,wtp_soc,,,,,,baseline,1,0
russo_crp,wtp_no_ice,,,,,,baseline,1,0
russo_crp,wtp_yes_ev,,,,,,baseline,1,0
russo_crp,wtp_yes_hev,,,,,,baseline,1,0
russo_crp,wtp_soc_rbd,,,,,,baseline,1,0
russo_crp,wtp_yes_ev_local,,,,,,baseline,1,0
russo_crp,wtp_no_ice_local,,,,,,baseline,1,0
russo_crp,env_cost_wtp_l,,,,,,baseline,1,0
russo_crp,wtp_soc_rbd_l,,,,,,baseline,1,0
russo_crp,wtp_yes_ev_g,,,,,,baseline,1,0
russo_crp,wtp_no_ice_g,,,,,,baseline,1,0
russo_crp,env_cost_wtp_g,,,,,,baseline,1,0
russo_crp,wtp_soc_rbd_g,,,,,,baseline,1,0
russo_crp,wtp_marg,8.892857142857144,,,,,baseline,1,0
russo_crp,wtp_inf,65.21428571428571,,,,,baseline,1,0
russo_crp,wtp_glob,76.27596831501835,,,,,baseline,1,0
russo_crp,wtp_loc,45.78327838827838,,,,,baseline,1,0
russo_crp,wtp_r_glob,0,,,,,baseline,1,0
russo_crp,wtp_r_loc,0,,,,,baseline,1,0
russo_crp,wtp_e_cost,,,,,,baseline,1,0
russo_crp,WTP_cc,,,,,,baseline,1,0
russo_crp,wtp_install,,,,,,baseline,1,0
russo_crp,wtp_prod,,,,,,baseline,1,0
russo_crp,wtp_prod_s,,,,,,baseline,1,0
russo_crp,wtp_prod_u,,,,,,baseline,1,0
russo_crp,wtp_cons,74.10714285714285,,,,,baseline,1,0
russo_crp,wtp_deal,,,,,,baseline,1,0
russo_crp,admin_cost,,,,,,baseline,1,0
russo_crp,wtp_permits,,,,,,baseline,1,0
russo_crp,wtp_abatement,,,,,,baseline,1,0
russo_crp,permitrev,,,,,,baseline,1,0
russo_crp,wtp_no_leak,,,,,,baseline,1,0
russo_crp,wtp_leak,,,,,,baseline,1,0
russo_crp,wtp_soc_g,,,,,,baseline,1,0
russo_crp,wtp_soc_l,,,,,,baseline,1,0
russo_crp,fisc_ext_t,0,,,,,baseline,1,0
russo_crp,fisc_ext_s,0,,,,,baseline,1,0
russo_crp,fisc_ext_lr,-1.489599450549451,,,,,baseline,1,0
russo_crp,q_CO2,1.880341880341881,,,,,baseline,1,0
russo_crp,q_CO2_no,,,,,,baseline,1,0
russo_crp,p_spend,83,,,,,baseline,1,0
russo_crp,ev_sub_c,,,,,,baseline,1,0
russo_crp,ev_sub_c_row,,,,,,baseline,1,0
russo_crp,ev_sub_c_us,,,,,,baseline,1,0
russo_crp,ev_sub_env,,,,,,baseline,1,0
russo_crp,ev_sub_cost,,,,,,baseline,1,0
russo_crp,profits_fisc_e,,,,,,baseline,1,0
russo_crp,wtp_soc_l_po,,,,,,baseline,1,0
russo_crp,wtp_soc_l_dr,,,,,,baseline,1,0
russo_crp,gov_carbon,.4029304029304031,,,,,baseline,1,0
russo_crp,resource_ce,44.14090909090908,,,,,baseline,1,0
russo_crp,q_carbon_mck,1.880341880341881,,,,,baseline,1,0
russo_crp,semie,,,,,,baseline,1,0
russo_crp,pass_through,,,,,,baseline,1,0
russo_crp,permitrev_new,,,,,,baseline,1,0
russo_crp,permitrev_ex,,,,,,baseline,1,0
russo_crp,fiscalext,,,,,,baseline,1,0
russo_crp,firm_cost_wtp,,,,,,baseline,1,0
russo_crp,c_savings,,,,,,baseline,1,0
russo_crp,resource_cost,,,,,,baseline,1,0
russo_crp,q_CO2_mck,,,,,,baseline,1,0
russo_crp,q_CO2_mck_no,,,,,,baseline,1,0
russo_crp,wtp_ctr,,,,,,baseline,1,0
russo_crp,gas_corp_fisc_e,,,,,,baseline,1,0
russo_crp,epsilon,,,,,,baseline,1,0
russo_crp,transfer,,,,,,baseline,1,0
russo_crp,enviro_wtp,,,,,,baseline,1,0
russo_crp,cost_curve,,,,,,baseline,1,0
russo_crp,profits,,,,,,baseline,1,0
russo_crp,subsidies,,,,,,baseline,1,0
russo_crp,taxes,,,,,,baseline,1,0
russo_crp,wtp_batt,,,,,,baseline,1,0
russo_crp,wtp_local_w_r,,,,,,baseline,1,0
russo_crp,wind_g_wf,,,,,,baseline,1,0
russo_crp,wind_l_wf,,,,,,baseline,1,0
