program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
small_gas_lr,MVPF,.6681951536360685,,,,99999,,baseline,1,0
small_gas_lr,MVPF_no_cc,.6681951536360685,,,,99999,,baseline,1,0
small_gas_lr,cost,.8910013030759667,,,,99999,.89100128,baseline,1,0
small_gas_lr,WTP,.5953627525987828,,,,99999,.59536272,baseline,1,0
small_gas_lr,program_cost,1,,,,99999,,baseline,1,0
small_gas_lr,total_cost,.8910013030759667,,,,99999,,baseline,1,0
small_gas_lr,beh_fisc_ext,,,,,99999,,baseline,1,0
small_gas_lr,utility_fisc_ext,,,,,99999,,baseline,1,0
small_gas_lr,gas_fisc_ext,,,,,99999,,baseline,1,0
small_gas_lr,fed_fisc_ext,,,,,99999,,baseline,1,0
small_gas_lr,state_fisc_ext,,,,,99999,,baseline,1,0
small_gas_lr,WTP_USPres,.7823931081953028,,,,99999,,baseline,1,0
small_gas_lr,WTP_USFut,-.0249499022557353,,,,99999,,baseline,1,0
small_gas_lr,WTP_RoW,-.1620804533407848,,,,99999,,baseline,1,0
small_gas_lr,WTP_USTotal,,,,,99999,,baseline,1,0
small_gas_lr,enviro_mvpf,,,,,99999,,baseline,1,0
small_gas_lr,cost_mvpf,,,,,99999,,baseline,1,0
small_gas_lr,firm_mvpf,,,,,99999,,baseline,1,0
small_gas_lr,cost_wtp,0,,,,99999,,baseline,1,0
small_gas_lr,env_cost_wtp,0,,,,99999,,baseline,1,0
small_gas_lr,marginal,,,,,99999,,baseline,1,0
small_gas_lr,infmarg,,,,,99999,,baseline,1,0
small_gas_lr,wtp_private,,,,,99999,,baseline,1,0
small_gas_lr,wtp_soc,-.5070887759716145,,,,99999,,baseline,1,0
small_gas_lr,wtp_no_ice,,,,,99999,,baseline,1,0
small_gas_lr,wtp_yes_ev,,,,,99999,,baseline,1,0
small_gas_lr,wtp_yes_hev,,,,,99999,,baseline,1,0
small_gas_lr,wtp_soc_rbd,,,,,99999,,baseline,1,0
small_gas_lr,wtp_yes_ev_local,,,,,99999,,baseline,1,0
small_gas_lr,wtp_no_ice_local,,,,,99999,,baseline,1,0
small_gas_lr,env_cost_wtp_l,,,,,99999,,baseline,1,0
small_gas_lr,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
small_gas_lr,wtp_yes_ev_g,,,,,99999,,baseline,1,0
small_gas_lr,wtp_no_ice_g,,,,,99999,,baseline,1,0
small_gas_lr,env_cost_wtp_g,,,,,99999,,baseline,1,0
small_gas_lr,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
small_gas_lr,wtp_marg,,,,,99999,,baseline,1,0
small_gas_lr,wtp_inf,,,,,99999,,baseline,1,0
small_gas_lr,wtp_glob,,,,,99999,,baseline,1,0
small_gas_lr,wtp_loc,,,,,99999,,baseline,1,0
small_gas_lr,wtp_r_glob,,,,,99999,,baseline,1,0
small_gas_lr,wtp_r_loc,,,,,99999,,baseline,1,0
small_gas_lr,wtp_e_cost,,,,,99999,,baseline,1,0
small_gas_lr,WTP_cc,,,,,99999,,baseline,1,0
small_gas_lr,wtp_install,,,,,99999,,baseline,1,0
small_gas_lr,wtp_prod,.1024515285703972,,,,99999,,baseline,1,0
small_gas_lr,wtp_prod_s,.1024515285703972,,,,99999,,baseline,1,0
small_gas_lr,wtp_prod_u,0,,,,99999,,baseline,1,0
small_gas_lr,wtp_cons,1,,,,99999,,baseline,1,0
small_gas_lr,wtp_deal,,,,,99999,,baseline,1,0
small_gas_lr,admin_cost,,,,,99999,,baseline,1,0
small_gas_lr,wtp_permits,,,,,99999,,baseline,1,0
small_gas_lr,wtp_abatement,,,,,99999,,baseline,1,0
small_gas_lr,permitrev,,,,,99999,,baseline,1,0
small_gas_lr,wtp_no_leak,,,,,99999,,baseline,1,0
small_gas_lr,wtp_leak,,,,,99999,,baseline,1,0
small_gas_lr,wtp_soc_g,-.18703035559652,,,,99999,,baseline,1,0
small_gas_lr,wtp_soc_l,-.3200584203750945,,,,99999,,baseline,1,0
small_gas_lr,fisc_ext_t,-.1126512276107895,,,,99999,,baseline,1,0
small_gas_lr,fisc_ext_s,0,,,,99999,,baseline,1,0
small_gas_lr,fisc_ext_lr,.0036525306867562,,,,99999,,baseline,1,0
small_gas_lr,q_CO2,-.0015892376595729,,,,99999,,baseline,1,0
small_gas_lr,q_CO2_no,.0015892376595729,,,,99999,,baseline,1,0
small_gas_lr,p_spend,.9145827230218477,,,,99999,,baseline,1,0
small_gas_lr,ev_sub_c,,,,,99999,,baseline,1,0
small_gas_lr,ev_sub_c_row,,,,,99999,,baseline,1,0
small_gas_lr,ev_sub_c_us,,,,,99999,,baseline,1,0
small_gas_lr,ev_sub_env,,,,,99999,,baseline,1,0
small_gas_lr,ev_sub_cost,,,,,99999,,baseline,1,0
small_gas_lr,profits_fisc_e,,,,,99999,,baseline,1,0
small_gas_lr,wtp_soc_l_po,-.1262738454474976,,,,99999,,baseline,1,0
small_gas_lr,wtp_soc_l_dr,-.1937845749275968,,,,99999,,baseline,1,0
small_gas_lr,gov_carbon,-.001589237659573,,,,99999,,baseline,1,0
small_gas_lr,resource_ce,-145.5567006454538,,,,99999,,baseline,1,0
small_gas_lr,q_carbon_mck,.0069733699141435,,,,99999,,baseline,1,0
small_gas_lr,semie,-.2279009545083269,,,,99999,,baseline,1,0
small_gas_lr,pass_through,,,,,99999,,baseline,1,0
small_gas_lr,permitrev_new,,,,,99999,,baseline,1,0
small_gas_lr,permitrev_ex,,,,,99999,,baseline,1,0
small_gas_lr,fiscalext,,,,,99999,,baseline,1,0
small_gas_lr,firm_cost_wtp,,,,,99999,,baseline,1,0
small_gas_lr,c_savings,,,,,99999,,baseline,1,0
small_gas_lr,resource_cost,,,,,99999,,baseline,1,0
small_gas_lr,q_CO2_mck,.0069733699141435,,,,99999,,baseline,1,0
small_gas_lr,q_CO2_mck_no,.0069733699141435,,,,99999,,baseline,1,0
