program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
wap_mexico,MVPF,.428307658134729,,,,,baseline,1,0
wap_mexico,MVPF_no_cc,,,,,,baseline,1,0
wap_mexico,cost,751.0413537281642,,,,1.0013884,baseline,1,0
wap_mexico,WTP,321.6767633776466,,,,.42890236,baseline,1,0
wap_mexico,program_cost,750,,,,,baseline,1,0
wap_mexico,total_cost,751.0413537281642,,,,,baseline,1,0
wap_mexico,beh_fisc_ext,,,,,,baseline,1,0
wap_mexico,utility_fisc_ext,,,,,,baseline,1,0
wap_mexico,gas_fisc_ext,,,,,,baseline,1,0
wap_mexico,fed_fisc_ext,,,,,,baseline,1,0
wap_mexico,state_fisc_ext,,,,,,baseline,1,0
wap_mexico,WTP_USPres,0,,,,,baseline,1,0
wap_mexico,WTP_USFut,-7.113334824413465,,,,,baseline,1,0
wap_mexico,WTP_RoW,328.7900982020601,,,,,baseline,1,0
wap_mexico,WTP_USTotal,,,,,,baseline,1,0
wap_mexico,enviro_mvpf,,,,,,baseline,1,0
wap_mexico,cost_mvpf,,,,,,baseline,1,0
wap_mexico,firm_mvpf,,,,,,baseline,1,0
wap_mexico,cost_wtp,,,,,,baseline,1,0
wap_mexico,env_cost_wtp,,,,,,baseline,1,0
wap_mexico,marginal,,,,,,baseline,1,0
wap_mexico,infmarg,,,,,,baseline,1,0
wap_mexico,wtp_private,,,,,,baseline,1,0
wap_mexico,wtp_soc,,,,,,baseline,1,0
wap_mexico,wtp_no_ice,,,,,,baseline,1,0
wap_mexico,wtp_yes_ev,,,,,,baseline,1,0
wap_mexico,wtp_yes_hev,,,,,,baseline,1,0
wap_mexico,wtp_soc_rbd,,,,,,baseline,1,0
wap_mexico,wtp_yes_ev_local,,,,,,baseline,1,0
wap_mexico,wtp_no_ice_local,,,,,,baseline,1,0
wap_mexico,env_cost_wtp_l,,,,,,baseline,1,0
wap_mexico,wtp_soc_rbd_l,,,,,,baseline,1,0
wap_mexico,wtp_yes_ev_g,,,,,,baseline,1,0
wap_mexico,wtp_no_ice_g,,,,,,baseline,1,0
wap_mexico,env_cost_wtp_g,,,,,,baseline,1,0
wap_mexico,wtp_soc_rbd_g,,,,,,baseline,1,0
