program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
CPP_pj,MVPF,.7800090118039844,,,,,baseline,1,0
CPP_pj,MVPF_no_cc,,,,,,baseline,1,0
CPP_pj,cost,.0106532321921228,,,,1.0653232,baseline,1,0
CPP_pj,WTP,.0083096171146961,,,,.8309617,baseline,1,0
CPP_pj,program_cost,.01,,,,,baseline,1,0
CPP_pj,total_cost,.0106532321921228,,,,,baseline,1,0
CPP_pj,beh_fisc_ext,,,,,,baseline,1,0
CPP_pj,utility_fisc_ext,,,,,,baseline,1,0
CPP_pj,gas_fisc_ext,,,,,,baseline,1,0
CPP_pj,fed_fisc_ext,,,,,,baseline,1,0
CPP_pj,state_fisc_ext,,,,,,baseline,1,0
CPP_pj,WTP_USPres,.0087026220044276,,,,,baseline,1,0
CPP_pj,WTP_USFut,-.0000524269632785,,,,,baseline,1,0
CPP_pj,WTP_RoW,-.000340577926453,,,,,baseline,1,0
CPP_pj,WTP_USTotal,,,,,,baseline,1,0
CPP_pj,enviro_mvpf,,,,,,baseline,1,0
CPP_pj,cost_mvpf,,,,,,baseline,1,0
CPP_pj,firm_mvpf,,,,,,baseline,1,0
CPP_pj,cost_wtp,,,,,,baseline,1,0
CPP_pj,env_cost_wtp,,,,,,baseline,1,0
CPP_pj,marginal,,,,,,baseline,1,0
CPP_pj,infmarg,,,,,,baseline,1,0
CPP_pj,wtp_private,,,,,,baseline,1,0
CPP_pj,wtp_soc,-.0005096458490738,,,,,baseline,1,0
CPP_pj,wtp_no_ice,,,,,,baseline,1,0
CPP_pj,wtp_yes_ev,,,,,,baseline,1,0
CPP_pj,wtp_yes_hev,,,,,,baseline,1,0
CPP_pj,wtp_soc_rbd,,,,,,baseline,1,0
CPP_pj,wtp_yes_ev_local,,,,,,baseline,1,0
CPP_pj,wtp_no_ice_local,,,,,,baseline,1,0
CPP_pj,env_cost_wtp_l,,,,,,baseline,1,0
CPP_pj,wtp_soc_rbd_l,,,,,,baseline,1,0
CPP_pj,wtp_yes_ev_g,,,,,,baseline,1,0
CPP_pj,wtp_no_ice_g,,,,,,baseline,1,0
CPP_pj,env_cost_wtp_g,,,,,,baseline,1,0
CPP_pj,wtp_soc_rbd_g,,,,,,baseline,1,0
CPP_pj,wtp_marg,,,,,,baseline,1,0
CPP_pj,wtp_inf,,,,,,baseline,1,0
CPP_pj,wtp_glob,-.0003930048897315,,,,,baseline,1,0
CPP_pj,wtp_loc,-.0001089659355997,,,,,baseline,1,0
CPP_pj,wtp_r_glob,,,,,,baseline,1,0
CPP_pj,wtp_r_loc,,,,,,baseline,1,0
CPP_pj,wtp_e_cost,,,,,,baseline,1,0
CPP_pj,WTP_cc,,,,,,baseline,1,0
CPP_pj,wtp_install,,,,,,baseline,1,0
CPP_pj,wtp_prod,-.0011884120599727,,,,,baseline,1,0
CPP_pj,wtp_prod_s,,,,,,baseline,1,0
CPP_pj,wtp_prod_u,,,,,,baseline,1,0
CPP_pj,wtp_cons,.01,,,,,baseline,1,0
CPP_pj,wtp_deal,,,,,,baseline,1,0
CPP_pj,admin_cost,,,,,,baseline,1,0
CPP_pj,wtp_permits,,,,,,baseline,1,0
CPP_pj,wtp_abatement,,,,,,baseline,1,0
CPP_pj,permitrev,,,,,,baseline,1,0
CPP_pj,wtp_no_leak,,,,,,baseline,1,0
CPP_pj,wtp_leak,,,,,,baseline,1,0
CPP_pj,wtp_soc_g,,,,,,baseline,1,0
CPP_pj,wtp_soc_l,,,,,,baseline,1,0
CPP_pj,fisc_ext_t,.0006455571683802,,,,,baseline,1,0
CPP_pj,fisc_ext_s,0,,,,,baseline,1,0
CPP_pj,fisc_ext_lr,7.67502374260e-06,,,,,baseline,1,0
CPP_pj,q_CO2,2.07408897595e-06,,,,,baseline,1,0
CPP_pj,q_CO2_no,,,,,,baseline,1,0
CPP_pj,p_spend,,,,,,baseline,1,0
CPP_pj,ev_sub_c,,,,,,baseline,1,0
CPP_pj,ev_sub_c_row,,,,,,baseline,1,0
CPP_pj,ev_sub_c_us,,,,,,baseline,1,0
CPP_pj,ev_sub_env,,,,,,baseline,1,0
CPP_pj,ev_sub_cost,,,,,,baseline,1,0
CPP_pj,profits_fisc_e,,,,,,baseline,1,0
CPP_pj,wtp_soc_l_po,,,,,,baseline,1,0
CPP_pj,wtp_soc_l_dr,,,,,,baseline,1,0
CPP_pj,gov_carbon,2.07432000818e-06,,,,,baseline,1,0
CPP_pj,resource_ce,-1017.996922955917,,,,,baseline,1,0
CPP_pj,q_carbon_mck,.00098232124032,,,,,baseline,1,0
CPP_pj,semie,.0021116513855531,,,,,baseline,1,0
CPP_pj,pass_through,,,,,,baseline,1,0
CPP_pj,permitrev_new,,,,,,baseline,1,0
CPP_pj,permitrev_ex,,,,,,baseline,1,0
CPP_pj,fiscalext,,,,,,baseline,1,0
CPP_pj,firm_cost_wtp,,,,,,baseline,1,0
CPP_pj,c_savings,,,,,,baseline,1,0
CPP_pj,resource_cost,,,,,,baseline,1,0
CPP_pj,q_CO2_mck,,,,,,baseline,1,0
CPP_pj,q_CO2_mck_no,,,,,,baseline,1,0
CPP_pj,wtp_ctr,,,,,,baseline,1,0
CPP_pj,gas_corp_fisc_e,,,,,,baseline,1,0
CPP_pj,epsilon,,,,,,baseline,1,0
CPP_pj,transfer,,,,,,baseline,1,0
CPP_pj,enviro_wtp,,,,,,baseline,1,0
CPP_pj,cost_curve,,,,,,baseline,1,0
CPP_pj,profits,,,,,,baseline,1,0
CPP_pj,subsidies,,,,,,baseline,1,0
CPP_pj,taxes,,,,,,baseline,1,0
CPP_pj,wtp_batt,,,,,,baseline,1,0
CPP_pj,wtp_local_w_r,,,,,,baseline,1,0
CPP_pj,wind_g_wf,,,,,,baseline,1,0
CPP_pj,wind_l_wf,,,,,,baseline,1,0
