program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
ac_mex,MVPF,.6903908018384738,,,,99999,,baseline,1,0
ac_mex,MVPF_no_cc,,,,,99999,,baseline,1,0
ac_mex,cost,127.1517379171166,,,,99999,1.0011486,baseline,1,0
ac_mex,WTP,87.78439029575361,,,,99999,.69118381,baseline,1,0
ac_mex,program_cost,127.0058556647439,,,,99999,,baseline,1,0
ac_mex,total_cost,127.1517379171166,,,,99999,,baseline,1,0
ac_mex,beh_fisc_ext,,,,,99999,,baseline,1,0
ac_mex,utility_fisc_ext,,,,,99999,,baseline,1,0
ac_mex,gas_fisc_ext,,,,,99999,,baseline,1,0
ac_mex,fed_fisc_ext,,,,,99999,,baseline,1,0
ac_mex,state_fisc_ext,,,,,99999,,baseline,1,0
ac_mex,WTP_USPres,0,,,,99999,,baseline,1,0
ac_mex,WTP_USFut,-.9965003034038835,,,,99999,,baseline,1,0
ac_mex,WTP_RoW,88.78089059915749,,,,99999,,baseline,1,0
ac_mex,WTP_USTotal,,,,,99999,,baseline,1,0
ac_mex,enviro_mvpf,,,,,99999,,baseline,1,0
ac_mex,cost_mvpf,,,,,99999,,baseline,1,0
ac_mex,firm_mvpf,,,,,99999,,baseline,1,0
ac_mex,cost_wtp,,,,,99999,,baseline,1,0
ac_mex,env_cost_wtp,,,,,99999,,baseline,1,0
ac_mex,marginal,,,,,99999,,baseline,1,0
ac_mex,infmarg,,,,,99999,,baseline,1,0
ac_mex,wtp_private,,,,,99999,,baseline,1,0
ac_mex,wtp_soc,,,,,99999,,baseline,1,0
ac_mex,wtp_no_ice,,,,,99999,,baseline,1,0
ac_mex,wtp_yes_ev,,,,,99999,,baseline,1,0
ac_mex,wtp_yes_hev,,,,,99999,,baseline,1,0
ac_mex,wtp_soc_rbd,,,,,99999,,baseline,1,0
ac_mex,wtp_yes_ev_local,,,,,99999,,baseline,1,0
ac_mex,wtp_no_ice_local,,,,,99999,,baseline,1,0
ac_mex,env_cost_wtp_l,,,,,99999,,baseline,1,0
ac_mex,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
ac_mex,wtp_yes_ev_g,,,,,99999,,baseline,1,0
ac_mex,wtp_no_ice_g,,,,,99999,,baseline,1,0
ac_mex,env_cost_wtp_g,,,,,99999,,baseline,1,0
ac_mex,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
ac_mex,wtp_marg,31.75146391618598,,,,99999,,baseline,1,0
ac_mex,wtp_inf,63.50292783237195,,,,99999,,baseline,1,0
ac_mex,wtp_glob,-9.289498646304558,,,,99999,,baseline,1,0
ac_mex,wtp_loc,0,,,,99999,,baseline,1,0
ac_mex,wtp_r_glob,1.819497193500231,,,,99999,,baseline,1,0
ac_mex,wtp_r_loc,0,,,,99999,,baseline,1,0
ac_mex,wtp_e_cost,,,,,99999,,baseline,1,0
ac_mex,WTP_cc,,,,,99999,,baseline,1,0
ac_mex,wtp_install,,,,,99999,,baseline,1,0
ac_mex,wtp_prod,,,,,99999,,baseline,1,0
ac_mex,wtp_prod_s,,,,,99999,,baseline,1,0
ac_mex,wtp_prod_u,,,,,99999,,baseline,1,0
ac_mex,wtp_cons,95.25439174855794,,,,99999,,baseline,1,0
ac_mex,wtp_deal,,,,,99999,,baseline,1,0
ac_mex,admin_cost,,,,,99999,,baseline,1,0
ac_mex,wtp_permits,,,,,99999,,baseline,1,0
ac_mex,wtp_abatement,,,,,99999,,baseline,1,0
ac_mex,permitrev,,,,,99999,,baseline,1,0
ac_mex,wtp_no_leak,,,,,99999,,baseline,1,0
ac_mex,wtp_leak,,,,,99999,,baseline,1,0
ac_mex,wtp_soc_g,,,,,99999,,baseline,1,0
ac_mex,wtp_soc_l,,,,,99999,,baseline,1,0
ac_mex,fisc_ext_t,0,,,,99999,,baseline,1,0
ac_mex,fisc_ext_s,0,,,,99999,,baseline,1,0
ac_mex,fisc_ext_lr,.1458822523726653,,,,99999,,baseline,1,0
ac_mex,q_CO2,9.84967600882e-06,,,,99999,,baseline,1,0
ac_mex,q_CO2_no,,,,,99999,,baseline,1,0
ac_mex,p_spend,127.0058556647439,,,,99999,,baseline,1,0
ac_mex,ev_sub_c,,,,,99999,,baseline,1,0
ac_mex,ev_sub_c_row,,,,,99999,,baseline,1,0
ac_mex,ev_sub_c_us,,,,,99999,,baseline,1,0
ac_mex,ev_sub_env,,,,,99999,,baseline,1,0
ac_mex,ev_sub_cost,,,,,99999,,baseline,1,0
ac_mex,profits_fisc_e,,,,,99999,,baseline,1,0
ac_mex,wtp_soc_l_po,,,,,99999,,baseline,1,0
ac_mex,wtp_soc_l_dr,,,,,99999,,baseline,1,0
ac_mex,gov_carbon,,,,,99999,,baseline,1,0
ac_mex,resource_ce,,,,,99999,,baseline,1,0
ac_mex,q_carbon_mck,,,,,99999,,baseline,1,0
ac_mex,semie,,,,,99999,,baseline,1,0
ac_mex,pass_through,,,,,99999,,baseline,1,0
ac_mex,permitrev_new,,,,,99999,,baseline,1,0
ac_mex,permitrev_ex,,,,,99999,,baseline,1,0
ac_mex,fiscalext,,,,,99999,,baseline,1,0
ac_mex,firm_cost_wtp,,,,,99999,,baseline,1,0
ac_mex,c_savings,,,,,99999,,baseline,1,0
ac_mex,resource_cost,,,,,99999,,baseline,1,0
ac_mex,q_CO2_mck,,,,,99999,,baseline,1,0
ac_mex,q_CO2_mck_no,,,,,99999,,baseline,1,0
ac_mex,wtp_ctr,,,,,99999,,baseline,1,0
ac_mex,gas_corp_fisc_e,,,,,99999,,baseline,1,0
ac_mex,epsilon,,,,,99999,,baseline,1,0
ac_mex,transfer,,,,,99999,,baseline,1,0
ac_mex,enviro_wtp,,,,,99999,,baseline,1,0
ac_mex,cost_curve,,,,,99999,,baseline,1,0
ac_mex,profits,,,,,99999,,baseline,1,0
ac_mex,subsidies,,,,,99999,,baseline,1,0
ac_mex,taxes,,,,,99999,,baseline,1,0
ac_mex,wtp_batt,,,,,99999,,baseline,1,0
ac_mex,wtp_local_w_r,,,,,99999,,baseline,1,0
ac_mex,wind_g_wf,,,,,99999,,baseline,1,0
ac_mex,wind_l_wf,,,,,99999,,baseline,1,0
