program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
bmm_crude,MVPF,1.48902674498478,,,,99999,,baseline,1,0
bmm_crude,MVPF_no_cc,,,,,99999,,baseline,1,0
bmm_crude,cost,.6276780115752656,,,,99999,.62767804,baseline,1,0
bmm_crude,WTP,.9346293464744371,,,,99999,.93462932,baseline,1,0
bmm_crude,program_cost,1,,,,99999,,baseline,1,0
bmm_crude,total_cost,,,,,99999,,baseline,1,0
bmm_crude,beh_fisc_ext,,,,,99999,,baseline,1,0
bmm_crude,utility_fisc_ext,,,,,99999,,baseline,1,0
bmm_crude,gas_fisc_ext,,,,,99999,,baseline,1,0
bmm_crude,fed_fisc_ext,,,,,99999,,baseline,1,0
bmm_crude,state_fisc_ext,,,,,99999,,baseline,1,0
bmm_crude,WTP_USPres,1,,,,99999,,baseline,1,0
bmm_crude,WTP_USFut,-.0087204636416073,,,,99999,,baseline,1,0
bmm_crude,WTP_RoW,-.0566501898839556,,,,99999,,baseline,1,0
bmm_crude,WTP_USTotal,,,,,99999,,baseline,1,0
bmm_crude,enviro_mvpf,,,,,99999,,baseline,1,0
bmm_crude,cost_mvpf,,,,,99999,,baseline,1,0
bmm_crude,firm_mvpf,,,,,99999,,baseline,1,0
bmm_crude,cost_wtp,,,,,99999,,baseline,1,0
bmm_crude,env_cost_wtp,,,,,99999,,baseline,1,0
bmm_crude,marginal,,,,,99999,,baseline,1,0
bmm_crude,infmarg,,,,,99999,,baseline,1,0
bmm_crude,wtp_private,,,,,99999,,baseline,1,0
bmm_crude,wtp_soc,,,,,99999,,baseline,1,0
bmm_crude,wtp_no_ice,,,,,99999,,baseline,1,0
bmm_crude,wtp_yes_ev,,,,,99999,,baseline,1,0
bmm_crude,wtp_yes_hev,,,,,99999,,baseline,1,0
bmm_crude,wtp_soc_rbd,,,,,99999,,baseline,1,0
bmm_crude,wtp_yes_ev_local,,,,,99999,,baseline,1,0
bmm_crude,wtp_no_ice_local,,,,,99999,,baseline,1,0
bmm_crude,env_cost_wtp_l,,,,,99999,,baseline,1,0
bmm_crude,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
bmm_crude,wtp_yes_ev_g,,,,,99999,,baseline,1,0
bmm_crude,wtp_no_ice_g,,,,,99999,,baseline,1,0
bmm_crude,env_cost_wtp_g,,,,,99999,,baseline,1,0
bmm_crude,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
bmm_crude,wtp_marg,,,,,99999,,baseline,1,0
bmm_crude,wtp_inf,,,,,99999,,baseline,1,0
bmm_crude,wtp_glob,,,,,99999,,baseline,1,0
bmm_crude,wtp_loc,,,,,99999,,baseline,1,0
bmm_crude,wtp_r_glob,,,,,99999,,baseline,1,0
bmm_crude,wtp_r_loc,,,,,99999,,baseline,1,0
bmm_crude,wtp_e_cost,,,,,99999,,baseline,1,0
bmm_crude,WTP_cc,,,,,99999,,baseline,1,0
bmm_crude,wtp_install,,,,,99999,,baseline,1,0
bmm_crude,wtp_prod,1,,,,99999,,baseline,1,0
bmm_crude,wtp_prod_s,,,,,99999,,baseline,1,0
bmm_crude,wtp_prod_u,,,,,99999,,baseline,1,0
bmm_crude,wtp_cons,,,,,99999,,baseline,1,0
bmm_crude,wtp_deal,,,,,99999,,baseline,1,0
bmm_crude,admin_cost,,,,,99999,,baseline,1,0
bmm_crude,wtp_permits,,,,,99999,,baseline,1,0
bmm_crude,wtp_abatement,,,,,99999,,baseline,1,0
bmm_crude,permitrev,,,,,99999,,baseline,1,0
bmm_crude,wtp_no_leak,,,,,99999,,baseline,1,0
bmm_crude,wtp_leak,,,,,99999,,baseline,1,0
bmm_crude,wtp_soc_g,-.0653706535255629,,,,99999,,baseline,1,0
bmm_crude,wtp_soc_l,0,,,,99999,,baseline,1,0
bmm_crude,fisc_ext_t,-.3735986171155899,,,,99999,,baseline,1,0
bmm_crude,fisc_ext_s,0,,,,99999,,baseline,1,0
bmm_crude,fisc_ext_lr,.0012766286908555,,,,99999,,baseline,1,0
bmm_crude,q_CO2,.0004203597044909,,,,99999,,baseline,1,0
bmm_crude,q_CO2_no,.0004203597044909,,,,99999,,baseline,1,0
bmm_crude,p_spend,.6264013828844102,,,,99999,,baseline,1,0
bmm_crude,ev_sub_c,,,,,99999,,baseline,1,0
bmm_crude,ev_sub_c_row,,,,,99999,,baseline,1,0
bmm_crude,ev_sub_c_us,,,,,99999,,baseline,1,0
bmm_crude,ev_sub_env,,,,,99999,,baseline,1,0
bmm_crude,ev_sub_cost,,,,,99999,,baseline,1,0
bmm_crude,profits_fisc_e,,,,,99999,,baseline,1,0
bmm_crude,wtp_soc_l_po,,,,,99999,,baseline,1,0
bmm_crude,wtp_soc_l_dr,,,,,99999,,baseline,1,0
bmm_crude,gov_carbon,,,,,99999,,baseline,1,0
bmm_crude,resource_ce,,,,,99999,,baseline,1,0
bmm_crude,q_carbon_mck,,,,,99999,,baseline,1,0
bmm_crude,semie,,,,,99999,,baseline,1,0
bmm_crude,pass_through,,,,,99999,,baseline,1,0
bmm_crude,permitrev_new,,,,,99999,,baseline,1,0
bmm_crude,permitrev_ex,,,,,99999,,baseline,1,0
bmm_crude,fiscalext,,,,,99999,,baseline,1,0
bmm_crude,firm_cost_wtp,,,,,99999,,baseline,1,0
bmm_crude,c_savings,,,,,99999,,baseline,1,0
bmm_crude,resource_cost,,,,,99999,,baseline,1,0
