program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
bolk_France,MVPF,7.158193597302691,,,,99999,,baseline,1,0
bolk_France,MVPF_no_cc,5.09186585376173,,,,99999,,baseline,1,0
bolk_France,cost,109.7493842755977,,,,99999,1.3283254,baseline,1,0
bolk_France,WTP,576.2103834454358,,,,99999,6.9740243,baseline,1,0
bolk_France,program_cost,82.62236706367088,,,,99999,,baseline,1,0
bolk_France,total_cost,109.7493842755977,,,,99999,,baseline,1,0
bolk_France,beh_fisc_ext,,,,,99999,,baseline,1,0
bolk_France,utility_fisc_ext,,,,,99999,,baseline,1,0
bolk_France,gas_fisc_ext,,,,,99999,,baseline,1,0
bolk_France,fed_fisc_ext,,,,,99999,,baseline,1,0
bolk_France,state_fisc_ext,,,,,99999,,baseline,1,0
bolk_France,WTP_USPres,215.5648855609882,,,,99999,,baseline,1,0
bolk_France,WTP_USFut,80.74985622703146,,,,99999,,baseline,1,0
bolk_France,WTP_RoW,489.2925980414766,,,,99999,,baseline,1,0
bolk_France,WTP_USTotal,,,,,99999,,baseline,1,0
bolk_France,enviro_mvpf,1.876666278170944,,,,99999,,baseline,1,0
bolk_France,cost_mvpf,.6577195525169373,,,,99999,,baseline,1,0
bolk_France,firm_mvpf,,,,,99999,,baseline,1,0
bolk_France,cost_wtp,54.34234629300774,,,,99999,,baseline,1,0
bolk_France,env_cost_wtp,155.0546100910527,,,,99999,,baseline,1,0
bolk_France,marginal,,,,,99999,,baseline,1,0
bolk_France,infmarg,,,,,99999,,baseline,1,0
bolk_France,wtp_private,82.62236706367088,,,,99999,,baseline,1,0
bolk_France,wtp_soc,500.805976366293,,,,99999,,baseline,1,0
bolk_France,wtp_no_ice,,,,,99999,,baseline,1,0
bolk_France,wtp_yes_ev,,,,,99999,,baseline,1,0
bolk_France,wtp_yes_hev,,,,,99999,,baseline,1,0
bolk_France,wtp_soc_rbd,-122.4655617563527,,,,99999,,baseline,1,0
bolk_France,wtp_yes_ev_local,,,,,99999,,baseline,1,0
bolk_France,wtp_no_ice_local,,,,,99999,,baseline,1,0
bolk_France,env_cost_wtp_l,8.955126549085925,,,,99999,,baseline,1,0
bolk_France,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
bolk_France,wtp_yes_ev_g,,,,,99999,,baseline,1,0
bolk_France,wtp_no_ice_g,,,,,99999,,baseline,1,0
bolk_France,env_cost_wtp_g,146.0994835419668,,,,99999,,baseline,1,0
bolk_France,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
bolk_France,wtp_marg,,,,,99999,,baseline,1,0
bolk_France,wtp_inf,,,,,99999,,baseline,1,0
bolk_France,wtp_glob,378.7987225379279,,,,99999,,baseline,1,0
bolk_France,wtp_loc,123.9873919482315,,,,99999,,baseline,1,0
bolk_France,wtp_r_glob,-92.26547235817337,,,,99999,,baseline,1,0
bolk_France,wtp_r_loc,-30.20008939817934,,,,99999,,baseline,1,0
bolk_France,wtp_e_cost,-9.198098104394479,,,,99999,,baseline,1,0
bolk_France,WTP_cc,785.6073398294961,,,,99999,,baseline,1,0
bolk_France,wtp_install,,,,,99999,,baseline,1,0
bolk_France,wtp_prod,82.62236706367088,,,,99999,,baseline,1,0
bolk_France,wtp_prod_s,,,,,99999,,baseline,1,0
bolk_France,wtp_prod_u,,,,,99999,,baseline,1,0
bolk_France,wtp_cons,0,,,,99999,,baseline,1,0
bolk_France,wtp_deal,,,,,99999,,baseline,1,0
bolk_France,admin_cost,,,,,99999,,baseline,1,0
bolk_France,wtp_permits,,,,,99999,,baseline,1,0
bolk_France,wtp_abatement,,,,,99999,,baseline,1,0
bolk_France,permitrev,,,,,99999,,baseline,1,0
bolk_France,wtp_no_leak,,,,,99999,,baseline,1,0
bolk_France,wtp_leak,,,,,99999,,baseline,1,0
bolk_France,wtp_soc_g,,,,,99999,,baseline,1,0
bolk_France,wtp_soc_l,,,,,99999,,baseline,1,0
bolk_France,fisc_ext_t,0,,,,99999,,baseline,1,0
