program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
c4c_federal,MVPF,1.018215235919782,,,,,baseline,1,0
c4c_federal,MVPF_no_cc,,,,,,baseline,1,0
c4c_federal,cost,4484.768259799283,,,,1.0652657,baseline,1,0
c4c_federal,WTP,4566.459371697078,,,,1.0846697,baseline,1,0
c4c_federal,program_cost,4210,,,,,baseline,1,0
c4c_federal,total_cost,4484.768259799283,,,,,baseline,1,0
c4c_federal,beh_fisc_ext,,,,,,baseline,1,0
c4c_federal,utility_fisc_ext,,,,,,baseline,1,0
c4c_federal,gas_fisc_ext,,,,,,baseline,1,0
c4c_federal,fed_fisc_ext,,,,,,baseline,1,0
c4c_federal,state_fisc_ext,,,,,,baseline,1,0
c4c_federal,WTP_USPres,3744.393570698811,,,,,baseline,1,0
c4c_federal,WTP_USFut,109.6638100124059,,,,,baseline,1,0
c4c_federal,WTP_RoW,712.4019909858611,,,,,baseline,1,0
c4c_federal,WTP_USTotal,,,,,,baseline,1,0
c4c_federal,enviro_mvpf,,,,,,baseline,1,0
c4c_federal,cost_mvpf,,,,,,baseline,1,0
c4c_federal,firm_mvpf,,,,,,baseline,1,0
c4c_federal,cost_wtp,,,,,,baseline,1,0
c4c_federal,env_cost_wtp,,,,,,baseline,1,0
c4c_federal,marginal,,,,,,baseline,1,0
c4c_federal,infmarg,,,,,,baseline,1,0
c4c_federal,wtp_private,,,,,,baseline,1,0
c4c_federal,wtp_soc,1201.552808897142,,,,,baseline,1,0
c4c_federal,wtp_no_ice,,,,,,baseline,1,0
c4c_federal,wtp_yes_ev,,,,,,baseline,1,0
c4c_federal,wtp_yes_hev,,,,,,baseline,1,0
c4c_federal,wtp_soc_rbd,-559.2465487950632,,,,,baseline,1,0
c4c_federal,wtp_yes_ev_local,,,,,,baseline,1,0
c4c_federal,wtp_no_ice_local,,,,,,baseline,1,0
c4c_federal,env_cost_wtp_l,,,,,,baseline,1,0
c4c_federal,wtp_soc_rbd_l,,,,,,baseline,1,0
c4c_federal,wtp_yes_ev_g,,,,,,baseline,1,0
