program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
c4c_texas,MVPF,1.020657457845592,,,,99999,,baseline,1,0
c4c_texas,MVPF_no_cc,,,,,99999,,baseline,1,0
c4c_texas,cost,4634.348804281617,,,,99999,1.1007954,baseline,1,0
c4c_texas,WTP,4730.082669347833,,,,99999,1.123535,baseline,1,0
c4c_texas,program_cost,4210,,,,99999,,baseline,1,0
c4c_texas,total_cost,4634.348804281617,,,,99999,,baseline,1,0
c4c_texas,beh_fisc_ext,,,,,99999,,baseline,1,0
c4c_texas,utility_fisc_ext,,,,,99999,,baseline,1,0
c4c_texas,gas_fisc_ext,,,,,99999,,baseline,1,0
c4c_texas,fed_fisc_ext,,,,,99999,,baseline,1,0
c4c_texas,state_fisc_ext,,,,,99999,,baseline,1,0
c4c_texas,WTP_USPres,3463.774158395307,,,,99999,,baseline,1,0
c4c_texas,WTP_USFut,168.92591297869,,,,99999,,baseline,1,0
c4c_texas,WTP_RoW,1097.382597973836,,,,99999,,baseline,1,0
c4c_texas,WTP_USTotal,,,,,99999,,baseline,1,0
c4c_texas,enviro_mvpf,,,,,99999,,baseline,1,0
c4c_texas,cost_mvpf,,,,,99999,,baseline,1,0
c4c_texas,firm_mvpf,,,,,99999,,baseline,1,0
c4c_texas,cost_wtp,,,,,99999,,baseline,1,0
c4c_texas,env_cost_wtp,,,,,99999,,baseline,1,0
c4c_texas,marginal,,,,,99999,,baseline,1,0
c4c_texas,infmarg,,,,,99999,,baseline,1,0
c4c_texas,wtp_private,,,,,99999,,baseline,1,0
c4c_texas,wtp_soc,1799.76269276429,,,,99999,,baseline,1,0
c4c_texas,wtp_no_ice,,,,,99999,,baseline,1,0
c4c_texas,wtp_yes_ev,,,,,99999,,baseline,1,0
c4c_texas,wtp_yes_hev,,,,,99999,,baseline,1,0
c4c_texas,wtp_soc_rbd,-838.284466903498,,,,99999,,baseline,1,0
c4c_texas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
c4c_texas,wtp_no_ice_local,,,,,99999,,baseline,1,0
c4c_texas,env_cost_wtp_l,,,,,99999,,baseline,1,0
c4c_texas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
c4c_texas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
c4c_texas,wtp_no_ice_g,,,,,99999,,baseline,1,0
c4c_texas,env_cost_wtp_g,,,,,99999,,baseline,1,0
c4c_texas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
c4c_texas,wtp_marg,0,,,,99999,,baseline,1,0
c4c_texas,wtp_inf,4210,,,,99999,,baseline,1,0
c4c_texas,wtp_glob,1568.320031915292,,,,99999,,baseline,1,0
c4c_texas,wtp_loc,231.4426608489989,,,,99999,,baseline,1,0
c4c_texas,wtp_r_glob,-302.0115209627656,,,,99999,,baseline,1,0
c4c_texas,wtp_r_loc,-536.2729459407324,,,,99999,,baseline,1,0
c4c_texas,wtp_e_cost,,,,,99999,,baseline,1,0
c4c_texas,WTP_cc,,,,,99999,,baseline,1,0
c4c_texas,wtp_install,,,,,99999,,baseline,1,0
c4c_texas,wtp_prod,-441.3955565129597,,,,99999,,baseline,1,0
c4c_texas,wtp_prod_s,-441.3955565129597,,,,99999,,baseline,1,0
c4c_texas,wtp_prod_u,,,,,99999,,baseline,1,0
c4c_texas,wtp_cons,,,,,99999,,baseline,1,0
c4c_texas,wtp_deal,,,,,99999,,baseline,1,0
c4c_texas,admin_cost,,,,,99999,,baseline,1,0
c4c_texas,wtp_permits,,,,,99999,,baseline,1,0
c4c_texas,wtp_abatement,,,,,99999,,baseline,1,0
c4c_texas,permitrev,,,,,99999,,baseline,1,0
c4c_texas,wtp_no_leak,,,,,99999,,baseline,1,0
c4c_texas,wtp_leak,,,,,99999,,baseline,1,0
c4c_texas,wtp_soc_g,,,,,99999,,baseline,1,0
c4c_texas,wtp_soc_l,,,,,99999,,baseline,1,0
c4c_texas,fisc_ext_t,449.0786438865451,,,,99999,,baseline,1,0
c4c_texas,fisc_ext_s,,,,,99999,,baseline,1,0
c4c_texas,fisc_ext_lr,-24.72983960492803,,,,99999,,baseline,1,0
c4c_texas,q_CO2,12.56676451816122,,,,99999,,baseline,1,0
c4c_texas,q_CO2_no,,,,,99999,,baseline,1,0
c4c_texas,p_spend,,,,,99999,,baseline,1,0
c4c_texas,ev_sub_c,,,,,99999,,baseline,1,0
c4c_texas,ev_sub_c_row,,,,,99999,,baseline,1,0
c4c_texas,ev_sub_c_us,,,,,99999,,baseline,1,0
c4c_texas,ev_sub_env,,,,,99999,,baseline,1,0
c4c_texas,ev_sub_cost,,,,,99999,,baseline,1,0
c4c_texas,profits_fisc_e,,,,,99999,,baseline,1,0
c4c_texas,wtp_soc_l_po,,,,,99999,,baseline,1,0
c4c_texas,wtp_soc_l_dr,,,,,99999,,baseline,1,0
c4c_texas,gov_carbon,12.56676451816122,,,,99999,,baseline,1,0
c4c_texas,resource_ce,-23.72146859174073,,,,99999,,baseline,1,0
c4c_texas,q_carbon_mck,12.56676451816122,,,,99999,,baseline,1,0
c4c_texas,semie,,,,,99999,,baseline,1,0
c4c_texas,pass_through,,,,,99999,,baseline,1,0
c4c_texas,permitrev_new,,,,,99999,,baseline,1,0
c4c_texas,permitrev_ex,,,,,99999,,baseline,1,0
c4c_texas,fiscalext,,,,,99999,,baseline,1,0
c4c_texas,firm_cost_wtp,,,,,99999,,baseline,1,0
c4c_texas,c_savings,2034.297705820572,,,,99999,,baseline,1,0
c4c_texas,resource_cost,,,,,99999,,baseline,1,0
c4c_texas,q_CO2_mck,,,,,99999,,baseline,1,0
c4c_texas,q_CO2_mck_no,,,,,99999,,baseline,1,0
c4c_texas,wtp_ctr,,,,,99999,,baseline,1,0
c4c_texas,gas_corp_fisc_e,,,,,99999,,baseline,1,0
c4c_texas,epsilon,,,,,99999,,baseline,1,0
c4c_texas,transfer,,,,,99999,,baseline,1,0
c4c_texas,enviro_wtp,,,,,99999,,baseline,1,0
c4c_texas,cost_curve,,,,,99999,,baseline,1,0
c4c_texas,profits,,,,,99999,,baseline,1,0
c4c_texas,subsidies,,,,,99999,,baseline,1,0
c4c_texas,taxes,,,,,99999,,baseline,1,0
c4c_texas,wtp_batt,,,,,99999,,baseline,1,0
c4c_texas,wtp_local_w_r,,,,,99999,,baseline,1,0
c4c_texas,wind_g_wf,,,,,99999,,baseline,1,0
c4c_texas,wind_l_wf,,,,,99999,,baseline,1,0
