program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ca_cnt,MVPF,.9463229288654972,,,,,baseline,1,0
ca_cnt,MVPF_no_cc,,,,,,baseline,1,0
ca_cnt,cost,2926.88621434483,,,,.99657327,baseline,1,0
ca_cnt,WTP,2769.779534814847,,,,.94308013,baseline,1,0
ca_cnt,program_cost,2936.950391956772,,,,,baseline,1,0
ca_cnt,total_cost,,,,,,baseline,1,0
ca_cnt,beh_fisc_ext,,,,,,baseline,1,0
ca_cnt,utility_fisc_ext,,,,,,baseline,1,0
ca_cnt,gas_fisc_ext,,,,,,baseline,1,0
ca_cnt,fed_fisc_ext,,,,,,baseline,1,0
ca_cnt,state_fisc_ext,,,,,,baseline,1,0
ca_cnt,WTP_USPres,2932.257769977256,,,,,baseline,1,0
ca_cnt,WTP_USFut,-21.67464245607137,,,,,baseline,1,0
ca_cnt,WTP_RoW,-140.803592706337,,,,,baseline,1,0
ca_cnt,WTP_USTotal,,,,,,baseline,1,0
ca_cnt,enviro_mvpf,,,,,,baseline,1,0
ca_cnt,cost_mvpf,,,,,,baseline,1,0
ca_cnt,firm_mvpf,,,,,,baseline,1,0
ca_cnt,cost_wtp,,,,,,baseline,1,0
ca_cnt,env_cost_wtp,,,,,,baseline,1,0
ca_cnt,marginal,,,,,,baseline,1,0
ca_cnt,infmarg,,,,,,baseline,1,0
ca_cnt,wtp_private,,,,,,baseline,1,0
ca_cnt,wtp_soc,-167.170857141925,,,,,baseline,1,0
ca_cnt,wtp_no_ice,,,,,,baseline,1,0
ca_cnt,wtp_yes_ev,,,,,,baseline,1,0
ca_cnt,wtp_yes_hev,,,,,,baseline,1,0
ca_cnt,wtp_soc_rbd,,,,,,baseline,1,0
ca_cnt,wtp_yes_ev_local,,,,,,baseline,1,0
ca_cnt,wtp_no_ice_local,,,,,,baseline,1,0
ca_cnt,env_cost_wtp_l,,,,,,baseline,1,0
ca_cnt,wtp_soc_rbd_l,,,,,,baseline,1,0
ca_cnt,wtp_yes_ev_g,,,,,,baseline,1,0
ca_cnt,wtp_no_ice_g,,,,,,baseline,1,0
ca_cnt,env_cost_wtp_g,,,,,,baseline,1,0
ca_cnt,wtp_soc_rbd_g,,,,,,baseline,1,0
ca_cnt,wtp_marg,,,,,,baseline,1,0
ca_cnt,wtp_inf,,,,,,baseline,1,0
ca_cnt,wtp_glob,,,,,,baseline,1,0
ca_cnt,wtp_loc,,,,,,baseline,1,0
ca_cnt,wtp_r_glob,,,,,,baseline,1,0
ca_cnt,wtp_r_loc,,,,,,baseline,1,0
ca_cnt,wtp_e_cost,,,,,,baseline,1,0
ca_cnt,WTP_cc,,,,,,baseline,1,0
ca_cnt,wtp_install,,,,,,baseline,1,0
ca_cnt,wtp_prod,,,,,,baseline,1,0
ca_cnt,wtp_prod_s,,,,,,baseline,1,0
ca_cnt,wtp_prod_u,,,,,,baseline,1,0
ca_cnt,wtp_cons,,,,,,baseline,1,0
ca_cnt,wtp_deal,,,,,,baseline,1,0
ca_cnt,admin_cost,,,,,,baseline,1,0
ca_cnt,wtp_permits,2936.950391956772,,,,,baseline,1,0
ca_cnt,wtp_abatement,0,,,,,baseline,1,0
ca_cnt,permitrev,,,,,,baseline,1,0
ca_cnt,wtp_no_leak,-167.170857141925,,,,,baseline,1,0
ca_cnt,wtp_leak,0,,,,,baseline,1,0
ca_cnt,wtp_soc_g,-162.4782351624084,,,,,baseline,1,0
ca_cnt,wtp_soc_l,-4.692621979516602,,,,,baseline,1,0
ca_cnt,fisc_ext_t,-13.23722798640095,,,,,baseline,1,0
ca_cnt,fisc_ext_s,,,,,,baseline,1,0
ca_cnt,fisc_ext_lr,3.17305037445869,,,,,baseline,1,0
ca_cnt,q_CO2,,,,,,baseline,1,0
ca_cnt,q_CO2_no,,,,,,baseline,1,0
ca_cnt,p_spend,,,,,,baseline,1,0
