program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
ca_cnt,MVPF,.9463229288654972,,,,99999,,baseline,1,0
ca_cnt,MVPF_no_cc,,,,,99999,,baseline,1,0
ca_cnt,cost,2926.88621434483,,,,99999,.99657327,baseline,1,0
ca_cnt,WTP,2769.779534814847,,,,99999,.94308013,baseline,1,0
ca_cnt,program_cost,2936.950391956772,,,,99999,,baseline,1,0
ca_cnt,total_cost,,,,,99999,,baseline,1,0
ca_cnt,beh_fisc_ext,,,,,99999,,baseline,1,0
ca_cnt,utility_fisc_ext,,,,,99999,,baseline,1,0
ca_cnt,gas_fisc_ext,,,,,99999,,baseline,1,0
ca_cnt,fed_fisc_ext,,,,,99999,,baseline,1,0
ca_cnt,state_fisc_ext,,,,,99999,,baseline,1,0
ca_cnt,WTP_USPres,2932.257769977256,,,,99999,,baseline,1,0
ca_cnt,WTP_USFut,-21.67464245607137,,,,99999,,baseline,1,0
ca_cnt,WTP_RoW,-140.803592706337,,,,99999,,baseline,1,0
ca_cnt,WTP_USTotal,,,,,99999,,baseline,1,0
ca_cnt,enviro_mvpf,,,,,99999,,baseline,1,0
ca_cnt,cost_mvpf,,,,,99999,,baseline,1,0
ca_cnt,firm_mvpf,,,,,99999,,baseline,1,0
ca_cnt,cost_wtp,,,,,99999,,baseline,1,0
ca_cnt,env_cost_wtp,,,,,99999,,baseline,1,0
ca_cnt,marginal,,,,,99999,,baseline,1,0
ca_cnt,infmarg,,,,,99999,,baseline,1,0
ca_cnt,wtp_private,,,,,99999,,baseline,1,0
ca_cnt,wtp_soc,-167.170857141925,,,,99999,,baseline,1,0
ca_cnt,wtp_no_ice,,,,,99999,,baseline,1,0
ca_cnt,wtp_yes_ev,,,,,99999,,baseline,1,0
ca_cnt,wtp_yes_hev,,,,,99999,,baseline,1,0
ca_cnt,wtp_soc_rbd,,,,,99999,,baseline,1,0
ca_cnt,wtp_yes_ev_local,,,,,99999,,baseline,1,0
