program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
ca_electric,MVPF,.9986366526104667,,,,99999,,baseline,1,0
ca_electric,MVPF_no_cc,,,,,99999,,baseline,1,0
ca_electric,cost,13495474.54993834,,,,99999,1.2720132,baseline,1,0
ca_electric,WTP,13477075.52994017,,,,99999,1.2702789,baseline,1,0
ca_electric,program_cost,10609540,,,,99999,,baseline,1,0
ca_electric,total_cost,13495474.54993834,,,,99999,,baseline,1,0
ca_electric,beh_fisc_ext,,,,,99999,,baseline,1,0
ca_electric,utility_fisc_ext,,,,,99999,,baseline,1,0
ca_electric,gas_fisc_ext,,,,,99999,,baseline,1,0
ca_electric,fed_fisc_ext,,,,,99999,,baseline,1,0
ca_electric,state_fisc_ext,,,,,99999,,baseline,1,0
ca_electric,WTP_USPres,4411411.666375142,,,,99999,,baseline,1,0
ca_electric,WTP_USFut,1209362.119629673,,,,99999,,baseline,1,0
ca_electric,WTP_RoW,7856301.743935357,,,,99999,,baseline,1,0
ca_electric,WTP_USTotal,,,,,99999,,baseline,1,0
ca_electric,enviro_mvpf,,,,,99999,,baseline,1,0
ca_electric,cost_mvpf,,,,,99999,,baseline,1,0
ca_electric,firm_mvpf,,,,,99999,,baseline,1,0
ca_electric,cost_wtp,,,,,99999,,baseline,1,0
ca_electric,env_cost_wtp,,,,,99999,,baseline,1,0
ca_electric,marginal,,,,,99999,,baseline,1,0
ca_electric,infmarg,,,,,99999,,baseline,1,0
ca_electric,wtp_private,,,,,99999,,baseline,1,0
ca_electric,wtp_soc,9933865.787998708,,,,99999,,baseline,1,0
ca_electric,wtp_no_ice,,,,,99999,,baseline,1,0
ca_electric,wtp_yes_ev,,,,,99999,,baseline,1,0
ca_electric,wtp_yes_hev,,,,,99999,,baseline,1,0
ca_electric,wtp_soc_rbd,,,,,99999,,baseline,1,0
ca_electric,wtp_yes_ev_local,,,,,99999,,baseline,1,0
ca_electric,wtp_no_ice_local,,,,,99999,,baseline,1,0
ca_electric,env_cost_wtp_l,,,,,99999,,baseline,1,0
ca_electric,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
ca_electric,wtp_yes_ev_g,,,,,99999,,baseline,1,0
ca_electric,wtp_no_ice_g,,,,,99999,,baseline,1,0
ca_electric,env_cost_wtp_g,,,,,99999,,baseline,1,0
ca_electric,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
ca_electric,wtp_marg,0,,,,99999,,baseline,1,0
ca_electric,wtp_inf,9358919,,,,99999,,baseline,1,0
ca_electric,wtp_glob,11273822.73223307,,,,99999,,baseline,1,0
ca_electric,wtp_loc,859505.8500700851,,,,99999,,baseline,1,0
ca_electric,wtp_r_glob,-2208158.868668042,,,,99999,,baseline,1,0
ca_electric,wtp_r_loc,-168347.9961129733,,,,99999,,baseline,1,0
ca_electric,wtp_e_cost,,,,,99999,,baseline,1,0
ca_electric,WTP_cc,,,,,99999,,baseline,1,0
ca_electric,wtp_install,,,,,99999,,baseline,1,0
ca_electric,wtp_prod,-5638665.18758197,,,,99999,,baseline,1,0
ca_electric,wtp_prod_s,,,,,99999,,baseline,1,0
ca_electric,wtp_prod_u,,,,,99999,,baseline,1,0
ca_electric,wtp_cons,,,,,99999,,baseline,1,0
ca_electric,wtp_deal,,,,,99999,,baseline,1,0
ca_electric,admin_cost,4000000,,,,99999,,baseline,1,0
