program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
cafe_as,MVPF,,,,,,baseline,1,0
cafe_as,MVPF_no_cc,,,,,,baseline,1,0
cafe_as,cost,.3885110182177561,,,,,baseline,1,0
cafe_as,WTP,.6018514523035784,,,,,baseline,1,0
cafe_as,program_cost,0,,,,,baseline,1,0
cafe_as,total_cost,,,,,,baseline,1,0
cafe_as,beh_fisc_ext,,,,,,baseline,1,0
cafe_as,utility_fisc_ext,,,,,,baseline,1,0
cafe_as,gas_fisc_ext,,,,,,baseline,1,0
cafe_as,fed_fisc_ext,,,,,,baseline,1,0
cafe_as,state_fisc_ext,,,,,,baseline,1,0
cafe_as,WTP_USPres,,,,,,baseline,1,0
cafe_as,WTP_USFut,,,,,,baseline,1,0
cafe_as,WTP_RoW,,,,,,baseline,1,0
cafe_as,WTP_USTotal,,,,,,baseline,1,0
cafe_as,enviro_mvpf,,,,,,baseline,1,0
cafe_as,cost_mvpf,,,,,,baseline,1,0
cafe_as,firm_mvpf,,,,,,baseline,1,0
cafe_as,cost_wtp,,,,,,baseline,1,0
cafe_as,env_cost_wtp,,,,,,baseline,1,0
cafe_as,marginal,,,,,,baseline,1,0
cafe_as,infmarg,,,,,,baseline,1,0
cafe_as,wtp_private,,,,,,baseline,1,0
cafe_as,wtp_soc,1,,,,,baseline,1,0
cafe_as,wtp_no_ice,,,,,,baseline,1,0
cafe_as,wtp_yes_ev,,,,,,baseline,1,0
cafe_as,wtp_yes_hev,,,,,,baseline,1,0
cafe_as,wtp_soc_rbd,,,,,,baseline,1,0
cafe_as,wtp_yes_ev_local,,,,,,baseline,1,0
cafe_as,wtp_no_ice_local,,,,,,baseline,1,0
cafe_as,env_cost_wtp_l,,,,,,baseline,1,0
cafe_as,wtp_soc_rbd_l,,,,,,baseline,1,0
cafe_as,wtp_yes_ev_g,,,,,,baseline,1,0
cafe_as,wtp_no_ice_g,,,,,,baseline,1,0
cafe_as,env_cost_wtp_g,,,,,,baseline,1,0
cafe_as,wtp_soc_rbd_g,,,,,,baseline,1,0
cafe_as,wtp_marg,,,,,,baseline,1,0
cafe_as,wtp_inf,,,,,,baseline,1,0
cafe_as,wtp_glob,,,,,,baseline,1,0
cafe_as,wtp_loc,,,,,,baseline,1,0
cafe_as,wtp_r_glob,,,,,,baseline,1,0
cafe_as,wtp_r_loc,,,,,,baseline,1,0
cafe_as,wtp_e_cost,,,,,,baseline,1,0
cafe_as,WTP_cc,,,,,,baseline,1,0
cafe_as,wtp_install,,,,,,baseline,1,0
cafe_as,wtp_prod,-.3404638970804845,,,,,baseline,1,0
cafe_as,wtp_prod_s,,,,,,baseline,1,0
cafe_as,wtp_prod_u,,,,,,baseline,1,0
cafe_as,wtp_cons,-.0576846506159371,,,,,baseline,1,0
cafe_as,wtp_deal,,,,,,baseline,1,0
cafe_as,admin_cost,,,,,,baseline,1,0
cafe_as,wtp_permits,,,,,,baseline,1,0
cafe_as,wtp_abatement,,,,,,baseline,1,0
cafe_as,permitrev,,,,,,baseline,1,0
cafe_as,wtp_no_leak,,,,,,baseline,1,0
cafe_as,wtp_leak,,,,,,baseline,1,0
cafe_as,wtp_soc_g,1.487376304110596,,,,,baseline,1,0
cafe_as,wtp_soc_l,-.4873763041105955,,,,,baseline,1,0
cafe_as,fisc_ext_t,.4175581083341746,,,,,baseline,1,0
cafe_as,fisc_ext_s,0,,,,,baseline,1,0
cafe_as,fisc_ext_lr,-.0290470901164185,,,,,baseline,1,0
cafe_as,q_CO2,,,,,,baseline,1,0
cafe_as,q_CO2_no,,,,,,baseline,1,0
cafe_as,p_spend,,,,,,baseline,1,0
cafe_as,ev_sub_c,,,,,,baseline,1,0
cafe_as,ev_sub_c_row,,,,,,baseline,1,0
cafe_as,ev_sub_c_us,,,,,,baseline,1,0
cafe_as,ev_sub_env,,,,,,baseline,1,0
cafe_as,ev_sub_cost,,,,,,baseline,1,0
cafe_as,profits_fisc_e,,,,,,baseline,1,0
cafe_as,wtp_soc_l_po,,,,,,baseline,1,0
cafe_as,wtp_soc_l_dr,,,,,,baseline,1,0
cafe_as,gov_carbon,,,,,,baseline,1,0
cafe_as,resource_ce,,,,,,baseline,1,0
cafe_as,q_carbon_mck,,,,,,baseline,1,0
cafe_as,semie,,,,,,baseline,1,0
cafe_as,pass_through,,,,,,baseline,1,0
cafe_as,permitrev_new,,,,,,baseline,1,0
cafe_as,permitrev_ex,,,,,,baseline,1,0
cafe_as,fiscalext,,,,,,baseline,1,0
cafe_as,firm_cost_wtp,,,,,,baseline,1,0
cafe_as,c_savings,,,,,,baseline,1,0
cafe_as,resource_cost,,,,,,baseline,1,0
cafe_as,q_CO2_mck,,,,,,baseline,1,0
cafe_as,q_CO2_mck_no,,,,,,baseline,1,0
cafe_as,wtp_ctr,,,,,,baseline,1,0
cafe_as,gas_corp_fisc_e,,,,,,baseline,1,0
cafe_as,epsilon,,,,,,baseline,1,0
cafe_as,transfer,,,,,,baseline,1,0
cafe_as,enviro_wtp,,,,,,baseline,1,0
cafe_as,cost_curve,,,,,,baseline,1,0
cafe_as,profits,,,,,,baseline,1,0
cafe_as,subsidies,,,,,,baseline,1,0
cafe_as,taxes,,,,,,baseline,1,0
cafe_as,wtp_batt,,,,,,baseline,1,0
cafe_as,wtp_local_w_r,,,,,,baseline,1,0
cafe_as,wind_g_wf,,,,,,baseline,1,0
cafe_as,wind_l_wf,,,,,,baseline,1,0
