program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
cafe_dk,MVPF,,,,,99999,,baseline,1,0
cafe_dk,MVPF_no_cc,,,,,99999,,baseline,1,0
cafe_dk,cost,.3885110182177561,,,,99999,,baseline,1,0
cafe_dk,WTP,.3370559465164936,,,,99999,,baseline,1,0
cafe_dk,program_cost,0,,,,99999,,baseline,1,0
cafe_dk,total_cost,,,,,99999,,baseline,1,0
cafe_dk,beh_fisc_ext,,,,,99999,,baseline,1,0
cafe_dk,utility_fisc_ext,,,,,99999,,baseline,1,0
cafe_dk,gas_fisc_ext,,,,,99999,,baseline,1,0
cafe_dk,fed_fisc_ext,,,,,99999,,baseline,1,0
cafe_dk,state_fisc_ext,,,,,99999,,baseline,1,0
cafe_dk,WTP_USPres,,,,,99999,,baseline,1,0
cafe_dk,WTP_USFut,,,,,99999,,baseline,1,0
cafe_dk,WTP_RoW,,,,,99999,,baseline,1,0
cafe_dk,WTP_USTotal,,,,,99999,,baseline,1,0
cafe_dk,enviro_mvpf,,,,,99999,,baseline,1,0
cafe_dk,cost_mvpf,,,,,99999,,baseline,1,0
cafe_dk,firm_mvpf,,,,,99999,,baseline,1,0
cafe_dk,cost_wtp,,,,,99999,,baseline,1,0
cafe_dk,env_cost_wtp,,,,,99999,,baseline,1,0
cafe_dk,marginal,,,,,99999,,baseline,1,0
cafe_dk,infmarg,,,,,99999,,baseline,1,0
cafe_dk,wtp_private,,,,,99999,,baseline,1,0
cafe_dk,wtp_soc,1,,,,99999,,baseline,1,0
cafe_dk,wtp_no_ice,,,,,99999,,baseline,1,0
cafe_dk,wtp_yes_ev,,,,,99999,,baseline,1,0
cafe_dk,wtp_yes_hev,,,,,99999,,baseline,1,0
cafe_dk,wtp_soc_rbd,,,,,99999,,baseline,1,0
cafe_dk,wtp_yes_ev_local,,,,,99999,,baseline,1,0
cafe_dk,wtp_no_ice_local,,,,,99999,,baseline,1,0
cafe_dk,env_cost_wtp_l,,,,,99999,,baseline,1,0
cafe_dk,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
cafe_dk,wtp_yes_ev_g,,,,,99999,,baseline,1,0
cafe_dk,wtp_no_ice_g,,,,,99999,,baseline,1,0
cafe_dk,env_cost_wtp_g,,,,,99999,,baseline,1,0
