program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
ethanol,MVPF,2.276054346244632,,,,99999,,baseline,1,0
ethanol,MVPF_no_cc,,,,,99999,,baseline,1,0
ethanol,cost,.7091936308445179,,,,99999,.70919365,baseline,1,0
ethanol,WTP,1.614163245812676,,,,99999,1.6141633,baseline,1,0
ethanol,program_cost,1,,,,99999,,baseline,1,0
ethanol,total_cost,,,,,99999,,baseline,1,0
ethanol,beh_fisc_ext,,,,,99999,,baseline,1,0
ethanol,utility_fisc_ext,,,,,99999,,baseline,1,0
ethanol,gas_fisc_ext,,,,,99999,,baseline,1,0
ethanol,fed_fisc_ext,,,,,99999,,baseline,1,0
ethanol,state_fisc_ext,,,,,99999,,baseline,1,0
ethanol,WTP_USPres,1.461549532130167,,,,99999,,baseline,1,0
ethanol,WTP_USFut,.0203587125048178,,,,99999,,baseline,1,0
ethanol,WTP_RoW,.132255001177692,,,,99999,,baseline,1,0
ethanol,WTP_USTotal,,,,,99999,,baseline,1,0
ethanol,enviro_mvpf,,,,,99999,,baseline,1,0
ethanol,cost_mvpf,,,,,99999,,baseline,1,0
ethanol,firm_mvpf,,,,,99999,,baseline,1,0
ethanol,cost_wtp,,,,,99999,,baseline,1,0
ethanol,env_cost_wtp,,,,,99999,,baseline,1,0
ethanol,marginal,,,,,99999,,baseline,1,0
ethanol,infmarg,,,,,99999,,baseline,1,0
ethanol,wtp_private,,,,,99999,,baseline,1,0
ethanol,wtp_soc,.221375944502741,,,,99999,,baseline,1,0
ethanol,wtp_no_ice,,,,,99999,,baseline,1,0
ethanol,wtp_yes_ev,,,,,99999,,baseline,1,0
ethanol,wtp_yes_hev,,,,,99999,,baseline,1,0
ethanol,wtp_soc_rbd,,,,,99999,,baseline,1,0
ethanol,wtp_yes_ev_local,,,,,99999,,baseline,1,0
ethanol,wtp_no_ice_local,,,,,99999,,baseline,1,0
ethanol,env_cost_wtp_l,,,,,99999,,baseline,1,0
ethanol,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
ethanol,wtp_yes_ev_g,,,,,99999,,baseline,1,0
ethanol,wtp_no_ice_g,,,,,99999,,baseline,1,0
ethanol,env_cost_wtp_g,,,,,99999,,baseline,1,0
ethanol,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
ethanol,wtp_marg,,,,,99999,,baseline,1,0
ethanol,wtp_inf,,,,,99999,,baseline,1,0
ethanol,wtp_glob,,,,,99999,,baseline,1,0
ethanol,wtp_loc,,,,,99999,,baseline,1,0
ethanol,wtp_r_glob,,,,,99999,,baseline,1,0
ethanol,wtp_r_loc,,,,,99999,,baseline,1,0
ethanol,wtp_e_cost,,,,,99999,,baseline,1,0
ethanol,WTP_cc,,,,,99999,,baseline,1,0
ethanol,wtp_install,,,,,99999,,baseline,1,0
ethanol,wtp_prod,.3927873013099354,,,,99999,,baseline,1,0
ethanol,wtp_prod_s,.3927873013099354,,,,99999,,baseline,1,0
ethanol,wtp_prod_u,0,,,,99999,,baseline,1,0
ethanol,wtp_cons,1,,,,99999,,baseline,1,0
ethanol,wtp_deal,,,,,99999,,baseline,1,0
ethanol,admin_cost,,,,,99999,,baseline,1,0
ethanol,wtp_permits,,,,,99999,,baseline,1,0
ethanol,wtp_abatement,,,,,99999,,baseline,1,0
ethanol,permitrev,,,,,99999,,baseline,1,0
ethanol,wtp_no_leak,,,,,99999,,baseline,1,0
ethanol,wtp_leak,,,,,99999,,baseline,1,0
ethanol,wtp_soc_g,.1526137136825098,,,,99999,,baseline,1,0
ethanol,wtp_soc_l,.0687622308202312,,,,99999,,baseline,1,0
ethanol,fisc_ext_t,-.2937867745055511,,,,99999,,baseline,1,0
ethanol,fisc_ext_s,,,,,99999,,baseline,1,0
ethanol,fisc_ext_lr,.002980405350069,,,,99999,,baseline,1,0
ethanol,q_CO2,,,,,99999,,baseline,1,0
ethanol,q_CO2_no,,,,,99999,,baseline,1,0
ethanol,p_spend,,,,,99999,,baseline,1,0
ethanol,ev_sub_c,,,,,99999,,baseline,1,0
ethanol,ev_sub_c_row,,,,,99999,,baseline,1,0
ethanol,ev_sub_c_us,,,,,99999,,baseline,1,0
ethanol,ev_sub_env,,,,,99999,,baseline,1,0
ethanol,ev_sub_cost,,,,,99999,,baseline,1,0
ethanol,profits_fisc_e,,,,,99999,,baseline,1,0
ethanol,wtp_soc_l_po,,,,,99999,,baseline,1,0
ethanol,wtp_soc_l_dr,,,,,99999,,baseline,1,0
ethanol,gov_carbon,,,,,99999,,baseline,1,0
ethanol,resource_ce,,,,,99999,,baseline,1,0
ethanol,q_carbon_mck,,,,,99999,,baseline,1,0
ethanol,semie,,,,,99999,,baseline,1,0
ethanol,pass_through,,,,,99999,,baseline,1,0
ethanol,permitrev_new,,,,,99999,,baseline,1,0
ethanol,permitrev_ex,,,,,99999,,baseline,1,0
ethanol,fiscalext,,,,,99999,,baseline,1,0
ethanol,firm_cost_wtp,,,,,99999,,baseline,1,0
ethanol,c_savings,,,,,99999,,baseline,1,0
ethanol,resource_cost,,,,,99999,,baseline,1,0
ethanol,q_CO2_mck,,,,,99999,,baseline,1,0
ethanol,q_CO2_mck_no,,,,,99999,,baseline,1,0
ethanol,wtp_ctr,,,,,99999,,baseline,1,0
ethanol,gas_corp_fisc_e,,,,,99999,,baseline,1,0
ethanol,epsilon,,,,,99999,,baseline,1,0
ethanol,transfer,,,,,99999,,baseline,1,0
ethanol,enviro_wtp,,,,,99999,,baseline,1,0
ethanol,cost_curve,,,,,99999,,baseline,1,0
ethanol,profits,,,,,99999,,baseline,1,0
ethanol,subsidies,,,,,99999,,baseline,1,0
ethanol,taxes,,,,,99999,,baseline,1,0
ethanol,wtp_batt,,,,,99999,,baseline,1,0
ethanol,wtp_local_w_r,,,,,99999,,baseline,1,0
ethanol,wind_g_wf,,,,,99999,,baseline,1,0
ethanol,wind_l_wf,,,,,99999,,baseline,1,0
