program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
ets,MVPF,-9.344887811630043,,,,99999,,baseline,1,0
ets,MVPF_no_cc,,,,,99999,,baseline,1,0
ets,cost,14.41245012144487,,,,99999,.75478953,baseline,1,0
ets,WTP,-134.6827294756161,,,,99999,-7.0534234,baseline,1,0
ets,program_cost,19.09466091832047,,,,99999,,baseline,1,0
ets,total_cost,,,,,99999,,baseline,1,0
ets,beh_fisc_ext,,,,,99999,,baseline,1,0
ets,utility_fisc_ext,,,,,99999,,baseline,1,0
ets,gas_fisc_ext,,,,,99999,,baseline,1,0
ets,fed_fisc_ext,,,,,99999,,baseline,1,0
ets,state_fisc_ext,,,,,99999,,baseline,1,0
ets,WTP_USPres,0,,,,99999,,baseline,1,0
ets,WTP_USFut,-20.51394730675553,,,,99999,,baseline,1,0
ets,WTP_RoW,-114.1687821688605,,,,99999,,baseline,1,0
ets,WTP_USTotal,,,,,99999,,baseline,1,0
ets,enviro_mvpf,,,,,99999,,baseline,1,0
ets,cost_mvpf,,,,,99999,,baseline,1,0
ets,firm_mvpf,,,,,99999,,baseline,1,0
ets,cost_wtp,,,,,99999,,baseline,1,0
ets,env_cost_wtp,,,,,99999,,baseline,1,0
ets,marginal,,,,,99999,,baseline,1,0
ets,infmarg,,,,,99999,,baseline,1,0
ets,wtp_private,,,,,99999,,baseline,1,0
ets,wtp_soc,-153.7773903939365,,,,99999,,baseline,1,0
ets,wtp_no_ice,,,,,99999,,baseline,1,0
ets,wtp_yes_ev,,,,,99999,,baseline,1,0
ets,wtp_yes_hev,,,,,99999,,baseline,1,0
ets,wtp_soc_rbd,,,,,99999,,baseline,1,0
ets,wtp_yes_ev_local,,,,,99999,,baseline,1,0
ets,wtp_no_ice_local,,,,,99999,,baseline,1,0
ets,env_cost_wtp_l,,,,,99999,,baseline,1,0
ets,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
ets,wtp_yes_ev_g,,,,,99999,,baseline,1,0
ets,wtp_no_ice_g,,,,,99999,,baseline,1,0
ets,env_cost_wtp_g,,,,,99999,,baseline,1,0
ets,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
ets,wtp_marg,,,,,99999,,baseline,1,0
ets,wtp_inf,,,,,99999,,baseline,1,0
ets,wtp_glob,,,,,99999,,baseline,1,0
ets,wtp_loc,,,,,99999,,baseline,1,0
ets,wtp_r_glob,,,,,99999,,baseline,1,0
ets,wtp_r_loc,,,,,99999,,baseline,1,0
ets,wtp_e_cost,,,,,99999,,baseline,1,0
ets,WTP_cc,,,,,99999,,baseline,1,0
ets,wtp_install,,,,,99999,,baseline,1,0
ets,wtp_prod,,,,,99999,,baseline,1,0
ets,wtp_prod_s,,,,,99999,,baseline,1,0
ets,wtp_prod_u,,,,,99999,,baseline,1,0
ets,wtp_cons,,,,,99999,,baseline,1,0
ets,wtp_deal,,,,,99999,,baseline,1,0
ets,admin_cost,,,,,99999,,baseline,1,0
ets,wtp_permits,19.09466091832047,,,,99999,,baseline,1,0
ets,wtp_abatement,0,,,,99999,,baseline,1,0
ets,permitrev,,,,,99999,,baseline,1,0
ets,wtp_no_leak,,,,,99999,,baseline,1,0
ets,wtp_leak,,,,,99999,,baseline,1,0
ets,wtp_soc_g,-153.7773903939365,,,,99999,,baseline,1,0
ets,wtp_soc_l,,,,,99999,,baseline,1,0
ets,fisc_ext_t,-7.685341681975547,,,,99999,,baseline,1,0
ets,fisc_ext_s,,,,,99999,,baseline,1,0
ets,fisc_ext_lr,3.003130885099944,,,,99999,,baseline,1,0
ets,q_CO2,,,,,99999,,baseline,1,0
ets,q_CO2_no,,,,,99999,,baseline,1,0
ets,p_spend,,,,,99999,,baseline,1,0
ets,ev_sub_c,,,,,99999,,baseline,1,0
ets,ev_sub_c_row,,,,,99999,,baseline,1,0
ets,ev_sub_c_us,,,,,99999,,baseline,1,0
ets,ev_sub_env,,,,,99999,,baseline,1,0
ets,ev_sub_cost,,,,,99999,,baseline,1,0
ets,profits_fisc_e,,,,,99999,,baseline,1,0
ets,wtp_soc_l_po,,,,,99999,,baseline,1,0
ets,wtp_soc_l_dr,,,,,99999,,baseline,1,0
ets,gov_carbon,-1219500000,,,,99999,,baseline,1,0
ets,resource_ce,,,,,99999,,baseline,1,0
ets,q_carbon_mck,,,,,99999,,baseline,1,0
ets,semie,,,,,99999,,baseline,1,0
ets,pass_through,,,,,99999,,baseline,1,0
ets,permitrev_new,,,,,99999,,baseline,1,0
ets,permitrev_ex,,,,,99999,,baseline,1,0
ets,fiscalext,,,,,99999,,baseline,1,0
ets,firm_cost_wtp,,,,,99999,,baseline,1,0
ets,c_savings,,,,,99999,,baseline,1,0
ets,resource_cost,,,,,99999,,baseline,1,0
ets,q_CO2_mck,,,,,99999,,baseline,1,0
ets,q_CO2_mck_no,,,,,99999,,baseline,1,0
ets,wtp_ctr,,,,,99999,,baseline,1,0
ets,gas_corp_fisc_e,,,,,99999,,baseline,1,0
ets,epsilon,,,,,99999,,baseline,1,0
ets,transfer,,,,,99999,,baseline,1,0
ets,enviro_wtp,,,,,99999,,baseline,1,0
ets,cost_curve,,,,,99999,,baseline,1,0
ets,profits,,,,,99999,,baseline,1,0
ets,subsidies,,,,,99999,,baseline,1,0
ets,taxes,,,,,99999,,baseline,1,0
ets,wtp_batt,,,,,99999,,baseline,1,0
ets,wtp_local_w_r,,,,,99999,,baseline,1,0
ets,wind_g_wf,,,,,99999,,baseline,1,0
ets,wind_l_wf,,,,,99999,,baseline,1,0
