program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
ets_c,MVPF,-.0304314909301675,,,,99999,,baseline,1,0
ets_c,MVPF_no_cc,,,,,99999,,baseline,1,0
ets_c,cost,114.0602563983433,,,,99999,.86854523,baseline,1,0
ets_c,WTP,-3.471023658078764,,,,99999,-.026431127,baseline,1,0
ets_c,program_cost,131.3233314310054,,,,99999,,baseline,1,0
ets_c,total_cost,,,,,99999,,baseline,1,0
ets_c,beh_fisc_ext,,,,,99999,,baseline,1,0
ets_c,utility_fisc_ext,,,,,99999,,baseline,1,0
ets_c,gas_fisc_ext,,,,,99999,,baseline,1,0
ets_c,fed_fisc_ext,,,,,99999,,baseline,1,0
ets_c,state_fisc_ext,,,,,99999,,baseline,1,0
ets_c,WTP_USPres,0,,,,99999,,baseline,1,0
ets_c,WTP_USFut,-17.98160503609767,,,,99999,,baseline,1,0
ets_c,WTP_RoW,14.51058137801891,,,,99999,,baseline,1,0
ets_c,WTP_USTotal,,,,,99999,,baseline,1,0
ets_c,enviro_mvpf,,,,,99999,,baseline,1,0
ets_c,cost_mvpf,,,,,99999,,baseline,1,0
ets_c,firm_mvpf,,,,,99999,,baseline,1,0
ets_c,cost_wtp,,,,,99999,,baseline,1,0
ets_c,env_cost_wtp,,,,,99999,,baseline,1,0
ets_c,marginal,,,,,99999,,baseline,1,0
ets_c,infmarg,,,,,99999,,baseline,1,0
ets_c,wtp_private,,,,,99999,,baseline,1,0
ets_c,wtp_soc,-134.7943550890842,,,,99999,,baseline,1,0
ets_c,wtp_no_ice,,,,,99999,,baseline,1,0
ets_c,wtp_yes_ev,,,,,99999,,baseline,1,0
ets_c,wtp_yes_hev,,,,,99999,,baseline,1,0
ets_c,wtp_soc_rbd,,,,,99999,,baseline,1,0
ets_c,wtp_yes_ev_local,,,,,99999,,baseline,1,0
ets_c,wtp_no_ice_local,,,,,99999,,baseline,1,0
ets_c,env_cost_wtp_l,,,,,99999,,baseline,1,0
ets_c,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
ets_c,wtp_yes_ev_g,,,,,99999,,baseline,1,0
ets_c,wtp_no_ice_g,,,,,99999,,baseline,1,0
ets_c,env_cost_wtp_g,,,,,99999,,baseline,1,0
ets_c,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
ets_c,wtp_marg,,,,,99999,,baseline,1,0
ets_c,wtp_inf,,,,,99999,,baseline,1,0
ets_c,wtp_glob,,,,,99999,,baseline,1,0
ets_c,wtp_loc,,,,,99999,,baseline,1,0
ets_c,wtp_r_glob,,,,,99999,,baseline,1,0
ets_c,wtp_r_loc,,,,,99999,,baseline,1,0
ets_c,wtp_e_cost,,,,,99999,,baseline,1,0
ets_c,WTP_cc,,,,,99999,,baseline,1,0
ets_c,wtp_install,,,,,99999,,baseline,1,0
ets_c,wtp_prod,,,,,99999,,baseline,1,0
ets_c,wtp_prod_s,,,,,99999,,baseline,1,0
ets_c,wtp_prod_u,,,,,99999,,baseline,1,0
ets_c,wtp_cons,,,,,99999,,baseline,1,0
ets_c,wtp_deal,,,,,99999,,baseline,1,0
ets_c,admin_cost,,,,,99999,,baseline,1,0
ets_c,wtp_permits,131.3233314310054,,,,99999,,baseline,1,0
ets_c,wtp_abatement,0,,,,99999,,baseline,1,0
ets_c,permitrev,,,,,99999,,baseline,1,0
ets_c,wtp_no_leak,,,,,99999,,baseline,1,0
ets_c,wtp_leak,,,,,99999,,baseline,1,0
ets_c,wtp_soc_g,-134.7943550890842,,,,99999,,baseline,1,0
ets_c,wtp_soc_l,,,,,99999,,baseline,1,0
ets_c,fisc_ext_t,-19.89548471179732,,,,99999,,baseline,1,0
ets_c,fisc_ext_s,0,,,,99999,,baseline,1,0
ets_c,fisc_ext_lr,2.632409679135243,,,,99999,,baseline,1,0
ets_c,q_CO2,,,,,99999,,baseline,1,0
ets_c,q_CO2_no,,,,,99999,,baseline,1,0
ets_c,p_spend,,,,,99999,,baseline,1,0
ets_c,ev_sub_c,,,,,99999,,baseline,1,0
ets_c,ev_sub_c_row,,,,,99999,,baseline,1,0
ets_c,ev_sub_c_us,,,,,99999,,baseline,1,0
ets_c,ev_sub_env,,,,,99999,,baseline,1,0
ets_c,ev_sub_cost,,,,,99999,,baseline,1,0
ets_c,profits_fisc_e,,,,,99999,,baseline,1,0
ets_c,wtp_soc_l_po,,,,,99999,,baseline,1,0
ets_c,wtp_soc_l_dr,,,,,99999,,baseline,1,0
ets_c,gov_carbon,,,,,99999,,baseline,1,0
ets_c,resource_ce,,,,,99999,,baseline,1,0
ets_c,q_carbon_mck,,,,,99999,,baseline,1,0
ets_c,semie,131.3233314310054,,,,99999,,baseline,1,0
ets_c,pass_through,,,,,99999,,baseline,1,0
ets_c,permitrev_new,,,,,99999,,baseline,1,0
ets_c,permitrev_ex,,,,,99999,,baseline,1,0
ets_c,fiscalext,,,,,99999,,baseline,1,0
ets_c,firm_cost_wtp,,,,,99999,,baseline,1,0
ets_c,c_savings,,,,,99999,,baseline,1,0
ets_c,resource_cost,,,,,99999,,baseline,1,0
ets_c,q_CO2_mck,,,,,99999,,baseline,1,0
ets_c,q_CO2_mck_no,,,,,99999,,baseline,1,0
ets_c,wtp_ctr,,,,,99999,,baseline,1,0
ets_c,gas_corp_fisc_e,,,,,99999,,baseline,1,0
ets_c,epsilon,,,,,99999,,baseline,1,0
ets_c,transfer,,,,,99999,,baseline,1,0
ets_c,enviro_wtp,,,,,99999,,baseline,1,0
ets_c,cost_curve,,,,,99999,,baseline,1,0
ets_c,profits,,,,,99999,,baseline,1,0
ets_c,subsidies,,,,,99999,,baseline,1,0
ets_c,taxes,,,,,99999,,baseline,1,0
ets_c,wtp_batt,,,,,99999,,baseline,1,0
ets_c,wtp_local_w_r,,,,,99999,,baseline,1,0
ets_c,wind_g_wf,,,,,99999,,baseline,1,0
ets_c,wind_l_wf,,,,,99999,,baseline,1,0
