program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hev_usa_i,MVPF,.9401252084151787,,,,,baseline,1,0
hev_usa_i,MVPF_no_cc,.9314358121435486,,,,,baseline,1,0
hev_usa_i,cost,1.074982224592805,,,,1.0749822,baseline,1,0
hev_usa_i,WTP,1.001276941403478,,,,1.001277,baseline,1,0
hev_usa_i,program_cost,1,,,,,baseline,1,0
hev_usa_i,total_cost,1.074982224592805,,,,,baseline,1,0
hev_usa_i,beh_fisc_ext,.0480629,,,,,baseline,1,0
hev_usa_i,utility_fisc_ext,,,,,,baseline,1,0
hev_usa_i,gas_fisc_ext,.0008932190284906,,,,,baseline,1,0
hev_usa_i,fed_fisc_ext,.0256447,,,,,baseline,1,0
hev_usa_i,state_fisc_ext,,,,,,baseline,1,0
hev_usa_i,WTP_USPres,.9990403015560887,,,,,baseline,1,0
hev_usa_i,WTP_USFut,.0014763771330744,,,,,baseline,1,0
hev_usa_i,WTP_RoW,.0119281964697711,,,,,baseline,1,0
hev_usa_i,WTP_USTotal,,,,,,baseline,1,0
hev_usa_i,enviro_mvpf,.0000336492121278,,,,,baseline,1,0
hev_usa_i,cost_mvpf,.0093351537361741,,,,,baseline,1,0
hev_usa_i,firm_mvpf,,,,,,baseline,1,0
hev_usa_i,cost_wtp,.0093351537361741,,,,,baseline,1,0
hev_usa_i,env_cost_wtp,5.79279827120e-06,,,,,baseline,1,0
hev_usa_i,marginal,,,,,,baseline,1,0
hev_usa_i,infmarg,,,,,,baseline,1,0
hev_usa_i,wtp_private,,,,,,baseline,1,0
hev_usa_i,wtp_soc,.0040919720448112,,,,,baseline,1,0
hev_usa_i,wtp_no_ice,.1391714902346559,,,,,baseline,1,0
hev_usa_i,wtp_yes_ev,,,,,,baseline,1,0
hev_usa_i,wtp_yes_hev,-.1343426174522903,,,,,baseline,1,0
hev_usa_i,wtp_soc_rbd,-.0046029457815774,,,,,baseline,1,0
hev_usa_i,wtp_yes_ev_local,,,,,,baseline,1,0
hev_usa_i,wtp_no_ice_local,.0185452354452992,,,,,baseline,1,0
hev_usa_i,env_cost_wtp_l,-.0000272118631983,,,,,baseline,1,0
hev_usa_i,wtp_soc_rbd_l,,,,,,baseline,1,0
hev_usa_i,wtp_yes_ev_g,,,,,,baseline,1,0
hev_usa_i,wtp_no_ice_g,.1206262547893567,,,,,baseline,1,0
hev_usa_i,env_cost_wtp_g,.0000330046614695,,,,,baseline,1,0
hev_usa_i,wtp_soc_rbd_g,,,,,,baseline,1,0
hev_usa_i,wtp_marg,.02403145,,,,,baseline,1,0
hev_usa_i,wtp_inf,2011,,,,,baseline,1,0
hev_usa_i,wtp_glob,.0032995144676475,,,,,baseline,1,0
hev_usa_i,wtp_loc,.0007924575771637,,,,,baseline,1,0
hev_usa_i,wtp_r_glob,,,,,,baseline,1,0
hev_usa_i,wtp_r_loc,,,,,,baseline,1,0
hev_usa_i,wtp_e_cost,,,,,,baseline,1,0
hev_usa_i,WTP_cc,1.010617887937923,,,,,baseline,1,0
hev_usa_i,wtp_install,,,,,,baseline,1,0
hev_usa_i,wtp_prod,,,,,,baseline,1,0
hev_usa_i,wtp_prod_s,.0017879151402444,,,,,baseline,1,0
hev_usa_i,wtp_prod_u,,,,,,baseline,1,0
hev_usa_i,wtp_cons,1,,,,,baseline,1,0
hev_usa_i,wtp_deal,,,,,,baseline,1,0
hev_usa_i,admin_cost,,,,,,baseline,1,0
hev_usa_i,wtp_permits,,,,,,baseline,1,0
hev_usa_i,wtp_abatement,,,,,,baseline,1,0
hev_usa_i,permitrev,,,,,,baseline,1,0
hev_usa_i,wtp_no_leak,,,,,,baseline,1,0
hev_usa_i,wtp_leak,,,,,,baseline,1,0
hev_usa_i,wtp_soc_g,,,,,,baseline,1,0
hev_usa_i,wtp_soc_l,,,,,,baseline,1,0
hev_usa_i,fisc_ext_t,,,,,,baseline,1,0
hev_usa_i,fisc_ext_s,,,,,,baseline,1,0
hev_usa_i,fisc_ext_lr,-.0000938630172697,,,,,baseline,1,0
hev_usa_i,q_CO2,.000043542567557,,,,,baseline,1,0
hev_usa_i,q_CO2_no,,,,,,baseline,1,0
hev_usa_i,p_spend,,,,,,baseline,1,0
hev_usa_i,ev_sub_c,,,,,,baseline,1,0
hev_usa_i,ev_sub_c_row,,,,,,baseline,1,0
hev_usa_i,ev_sub_c_us,,,,,,baseline,1,0
hev_usa_i,ev_sub_env,,,,,,baseline,1,0
hev_usa_i,ev_sub_cost,,,,,,baseline,1,0
hev_usa_i,profits_fisc_e,,,,,,baseline,1,0
hev_usa_i,wtp_soc_l_po,,,,,,baseline,1,0
hev_usa_i,wtp_soc_l_dr,,,,,,baseline,1,0
hev_usa_i,gov_carbon,.000043542567557,,,,,baseline,1,0
hev_usa_i,resource_ce,658.8605271316137,,,,,baseline,1,0
hev_usa_i,q_carbon_mck,1.82186475133895,,,,,baseline,1,0
hev_usa_i,semie,.0000239,,,,,baseline,1,0
hev_usa_i,pass_through,,,,,,baseline,1,0
hev_usa_i,permitrev_new,,,,,,baseline,1,0
hev_usa_i,permitrev_ex,,,,,,baseline,1,0
hev_usa_i,fiscalext,,,,,,baseline,1,0
hev_usa_i,firm_cost_wtp,,,,,,baseline,1,0
hev_usa_i,c_savings,0,,,,,baseline,1,0
hev_usa_i,resource_cost,,,,,,baseline,1,0
hev_usa_i,q_CO2_mck,,,,,,baseline,1,0
hev_usa_i,q_CO2_mck_no,,,,,,baseline,1,0
hev_usa_i,wtp_ctr,,,,,,baseline,1,0
hev_usa_i,gas_corp_fisc_e,.000475268581584,,,,,baseline,1,0
hev_usa_i,epsilon,,,,,,baseline,1,0
hev_usa_i,transfer,,,,,,baseline,1,0
hev_usa_i,enviro_wtp,,,,,,baseline,1,0
hev_usa_i,cost_curve,,,,,,baseline,1,0
hev_usa_i,profits,,,,,,baseline,1,0
hev_usa_i,subsidies,,,,,,baseline,1,0
hev_usa_i,taxes,,,,,,baseline,1,0
hev_usa_i,wtp_batt,,,,,,baseline,1,0
hev_usa_i,wtp_local_w_r,,,,,,baseline,1,0
hev_usa_i,wind_g_wf,,,,,,baseline,1,0
hev_usa_i,wind_l_wf,,,,,,baseline,1,0
