program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ihwap_lb,MVPF,1.136032032435174,,,,,baseline,1,0
ihwap_lb,MVPF_no_cc,,,,,,baseline,1,0
ihwap_lb,cost,10042.10779438479,,,,1.0034797,baseline,1,0
ihwap_lb,WTP,11408.15612758806,,,,1.1399851,baseline,1,0
ihwap_lb,program_cost,10007.28578946724,,,,,baseline,1,0
ihwap_lb,total_cost,10042.10779438479,,,,,baseline,1,0
ihwap_lb,beh_fisc_ext,,,,,,baseline,1,0
ihwap_lb,utility_fisc_ext,,,,,,baseline,1,0
ihwap_lb,gas_fisc_ext,,,,,,baseline,1,0
ihwap_lb,fed_fisc_ext,,,,,,baseline,1,0
ihwap_lb,state_fisc_ext,,,,,,baseline,1,0
ihwap_lb,WTP_USPres,7072.888659103094,,,,,baseline,1,0
ihwap_lb,WTP_USFut,650.2901202727451,,,,,baseline,1,0
ihwap_lb,WTP_RoW,3684.977348212222,,,,,baseline,1,0
ihwap_lb,WTP_USTotal,,,,,,baseline,1,0
ihwap_lb,enviro_mvpf,,,,,,baseline,1,0
ihwap_lb,cost_mvpf,,,,,,baseline,1,0
ihwap_lb,firm_mvpf,,,,,,baseline,1,0
ihwap_lb,cost_wtp,,,,,,baseline,1,0
ihwap_lb,env_cost_wtp,,,,,,baseline,1,0
ihwap_lb,marginal,,,,,,baseline,1,0
ihwap_lb,infmarg,,,,,,baseline,1,0
ihwap_lb,wtp_private,,,,,,baseline,1,0
ihwap_lb,wtp_soc,4671.951694582551,,,,,baseline,1,0
ihwap_lb,wtp_no_ice,,,,,,baseline,1,0
ihwap_lb,wtp_yes_ev,,,,,,baseline,1,0
ihwap_lb,wtp_yes_hev,,,,,,baseline,1,0
ihwap_lb,wtp_soc_rbd,,,,,,baseline,1,0
ihwap_lb,wtp_yes_ev_local,,,,,,baseline,1,0
ihwap_lb,wtp_no_ice_local,,,,,,baseline,1,0
ihwap_lb,env_cost_wtp_l,,,,,,baseline,1,0
ihwap_lb,wtp_soc_rbd_l,,,,,,baseline,1,0
ihwap_lb,wtp_yes_ev_g,,,,,,baseline,1,0
ihwap_lb,wtp_no_ice_g,,,,,,baseline,1,0
ihwap_lb,env_cost_wtp_g,,,,,,baseline,1,0
ihwap_lb,wtp_soc_rbd_g,,,,,,baseline,1,0
ihwap_lb,wtp_marg,2472.626274370617,,,,,baseline,1,0
ihwap_lb,wtp_inf,4945.252548741234,,,,,baseline,1,0
ihwap_lb,wtp_glob,5155.799935193845,,,,,baseline,1,0
ihwap_lb,wtp_loc,418.6917074014032,,,,,baseline,1,0
ihwap_lb,wtp_r_glob,-820.5324667088782,,,,,baseline,1,0
ihwap_lb,wtp_r_loc,-82.00748130381901,,,,,baseline,1,0
ihwap_lb,wtp_e_cost,,,,,,baseline,1,0
ihwap_lb,WTP_cc,,,,,,baseline,1,0
ihwap_lb,wtp_install,,,,,,baseline,1,0
ihwap_lb,wtp_prod,-694.9914865607451,,,,,baseline,1,0
ihwap_lb,wtp_prod_s,,,,,,baseline,1,0
ihwap_lb,wtp_prod_u,,,,,,baseline,1,0
ihwap_lb,wtp_cons,,,,,,baseline,1,0
ihwap_lb,wtp_deal,,,,,,baseline,1,0
ihwap_lb,admin_cost,,,,,,baseline,1,0
ihwap_lb,wtp_permits,,,,,,baseline,1,0
ihwap_lb,wtp_abatement,,,,,,baseline,1,0
ihwap_lb,permitrev,,,,,,baseline,1,0
ihwap_lb,wtp_no_leak,,,,,,baseline,1,0
ihwap_lb,wtp_leak,,,,,,baseline,1,0
ihwap_lb,wtp_soc_g,,,,,,baseline,1,0
ihwap_lb,wtp_soc_l,,,,,,baseline,1,0
ihwap_lb,fisc_ext_t,117.8640532763837,,,,,baseline,1,0
ihwap_lb,fisc_ext_s,0,,,,,baseline,1,0
ihwap_lb,fisc_ext_lr,-83.04204835882955,,,,,baseline,1,0
ihwap_lb,q_CO2,21.42935094065786,,,,,baseline,1,0
ihwap_lb,q_CO2_no,,,,,,baseline,1,0
ihwap_lb,p_spend,10007.28578946724,,,,,baseline,1,0
ihwap_lb,ev_sub_c,,,,,,baseline,1,0
ihwap_lb,ev_sub_c_row,,,,,,baseline,1,0
ihwap_lb,ev_sub_c_us,,,,,,baseline,1,0
ihwap_lb,ev_sub_env,,,,,,baseline,1,0
ihwap_lb,ev_sub_cost,,,,,,baseline,1,0
ihwap_lb,profits_fisc_e,,,,,,baseline,1,0
ihwap_lb,wtp_soc_l_po,,,,,,baseline,1,0
ihwap_lb,wtp_soc_l_dr,,,,,,baseline,1,0
ihwap_lb,gov_carbon,20.94107859320787,,,,,baseline,1,0
ihwap_lb,resource_ce,138.9032408068151,,,,,baseline,1,0
ihwap_lb,q_carbon_mck,46.13402620813337,,,,,baseline,1,0
ihwap_lb,semie,,,,,,baseline,1,0
ihwap_lb,pass_through,,,,,,baseline,1,0
ihwap_lb,permitrev_new,,,,,,baseline,1,0
ihwap_lb,permitrev_ex,,,,,,baseline,1,0
ihwap_lb,fiscalext,,,,,,baseline,1,0
ihwap_lb,firm_cost_wtp,,,,,,baseline,1,0
ihwap_lb,c_savings,0,,,,,baseline,1,0
ihwap_lb,resource_cost,,,,,,baseline,1,0
ihwap_lb,q_CO2_mck,,,,,,baseline,1,0
ihwap_lb,q_CO2_mck_no,,,,,,baseline,1,0
ihwap_lb,wtp_ctr,13.31709645440415,,,,,baseline,1,0
ihwap_lb,gas_corp_fisc_e,,,,,,baseline,1,0
ihwap_lb,epsilon,,,,,,baseline,1,0
ihwap_lb,transfer,,,,,,baseline,1,0
ihwap_lb,enviro_wtp,,,,,,baseline,1,0
ihwap_lb,cost_curve,,,,,,baseline,1,0
ihwap_lb,profits,,,,,,baseline,1,0
ihwap_lb,subsidies,,,,,,baseline,1,0
ihwap_lb,taxes,,,,,,baseline,1,0
ihwap_lb,wtp_batt,,,,,,baseline,1,0
ihwap_lb,wtp_local_w_r,,,,,,baseline,1,0
ihwap_lb,wind_g_wf,,,,,,baseline,1,0
ihwap_lb,wind_l_wf,,,,,,baseline,1,0
