program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
india_cs,MVPF,-1.314625211163873,,,,,baseline,1,0
india_cs,MVPF_no_cc,,,,,,baseline,1,0
india_cs,cost,12.96599356013234,,,,1.0372795,baseline,1,0
india_cs,WTP,-17.0454220219384,,,,-1.3636338,baseline,1,0
india_cs,program_cost,12.5,,,,,baseline,1,0
india_cs,total_cost,12.96599356013234,,,,,baseline,1,0
india_cs,beh_fisc_ext,,,,,,baseline,1,0
india_cs,utility_fisc_ext,,,,,,baseline,1,0
india_cs,gas_fisc_ext,,,,,,baseline,1,0
india_cs,fed_fisc_ext,,,,,,baseline,1,0
india_cs,state_fisc_ext,,,,,,baseline,1,0
india_cs,WTP_USPres,0,,,,,baseline,1,0
india_cs,WTP_USFut,-3.183133770582931,,,,,baseline,1,0
india_cs,WTP_RoW,-13.86228825135547,,,,,baseline,1,0
india_cs,WTP_USTotal,,,,,,baseline,1,0
india_cs,enviro_mvpf,,,,,,baseline,1,0
india_cs,cost_mvpf,,,,,,baseline,1,0
india_cs,firm_mvpf,,,,,,baseline,1,0
india_cs,cost_wtp,,,,,,baseline,1,0
india_cs,env_cost_wtp,,,,,,baseline,1,0
india_cs,marginal,,,,,,baseline,1,0
india_cs,infmarg,,,,,,baseline,1,0
india_cs,wtp_private,,,,,,baseline,1,0
india_cs,wtp_soc,,,,,,baseline,1,0
india_cs,wtp_no_ice,,,,,,baseline,1,0
india_cs,wtp_yes_ev,,,,,,baseline,1,0
india_cs,wtp_yes_hev,,,,,,baseline,1,0
india_cs,wtp_soc_rbd,,,,,,baseline,1,0
india_cs,wtp_yes_ev_local,,,,,,baseline,1,0
india_cs,wtp_no_ice_local,,,,,,baseline,1,0
india_cs,env_cost_wtp_l,,,,,,baseline,1,0
india_cs,wtp_soc_rbd_l,,,,,,baseline,1,0
india_cs,wtp_yes_ev_g,,,,,,baseline,1,0
india_cs,wtp_no_ice_g,,,,,,baseline,1,0
india_cs,env_cost_wtp_g,,,,,,baseline,1,0
india_cs,wtp_soc_rbd_g,,,,,,baseline,1,0
india_cs,wtp_marg,5.683900043968928,,,,,baseline,1,0
india_cs,wtp_inf,1.132199912062142,,,,,baseline,1,0
india_cs,wtp_glob,-23.86152197796947,,,,,baseline,1,0
india_cs,wtp_loc,0,,,,,baseline,1,0
india_cs,wtp_r_glob,0,,,,,baseline,1,0
india_cs,wtp_r_loc,0,,,,,baseline,1,0
india_cs,wtp_e_cost,,,,,,baseline,1,0
india_cs,WTP_cc,,,,,,baseline,1,0
india_cs,wtp_install,,,,,,baseline,1,0
india_cs,wtp_prod,,,,,,baseline,1,0
india_cs,wtp_prod_s,,,,,,baseline,1,0
india_cs,wtp_prod_u,,,,,,baseline,1,0
india_cs,wtp_cons,6.81609995603107,,,,,baseline,1,0
india_cs,wtp_deal,,,,,,baseline,1,0
india_cs,admin_cost,,,,,,baseline,1,0
india_cs,wtp_permits,,,,,,baseline,1,0
india_cs,wtp_abatement,,,,,,baseline,1,0
india_cs,permitrev,,,,,,baseline,1,0
india_cs,wtp_no_leak,,,,,,baseline,1,0
india_cs,wtp_leak,,,,,,baseline,1,0
india_cs,wtp_soc_g,,,,,,baseline,1,0
india_cs,wtp_soc_l,,,,,,baseline,1,0
india_cs,fisc_ext_t,0,,,,,baseline,1,0
india_cs,fisc_ext_s,0,,,,,baseline,1,0
india_cs,fisc_ext_lr,.4659935601323402,,,,,baseline,1,0
india_cs,q_CO2,-.6646510572155999,,,,,baseline,1,0
india_cs,q_CO2_no,,,,,,baseline,1,0
india_cs,p_spend,12.5,,,,,baseline,1,0
india_cs,ev_sub_c,,,,,,baseline,1,0
india_cs,ev_sub_c_row,,,,,,baseline,1,0
india_cs,ev_sub_c_us,,,,,,baseline,1,0
india_cs,ev_sub_env,,,,,,baseline,1,0
india_cs,ev_sub_cost,,,,,,baseline,1,0
india_cs,profits_fisc_e,,,,,,baseline,1,0
india_cs,wtp_soc_l_po,,,,,,baseline,1,0
india_cs,wtp_soc_l_dr,,,,,,baseline,1,0
india_cs,gov_carbon,,,,,,baseline,1,0
india_cs,resource_ce,,,,,,baseline,1,0
india_cs,q_carbon_mck,,,,,,baseline,1,0
india_cs,semie,,,,,,baseline,1,0
india_cs,pass_through,,,,,,baseline,1,0
india_cs,permitrev_new,,,,,,baseline,1,0
india_cs,permitrev_ex,,,,,,baseline,1,0
india_cs,fiscalext,,,,,,baseline,1,0
india_cs,firm_cost_wtp,,,,,,baseline,1,0
india_cs,c_savings,,,,,,baseline,1,0
india_cs,resource_cost,,,,,,baseline,1,0
india_cs,q_CO2_mck,,,,,,baseline,1,0
india_cs,q_CO2_mck_no,,,,,,baseline,1,0
india_cs,wtp_ctr,,,,,,baseline,1,0
india_cs,gas_corp_fisc_e,,,,,,baseline,1,0
india_cs,epsilon,,,,,,baseline,1,0
india_cs,transfer,,,,,,baseline,1,0
india_cs,enviro_wtp,,,,,,baseline,1,0
india_cs,cost_curve,,,,,,baseline,1,0
india_cs,profits,,,,,,baseline,1,0
india_cs,subsidies,,,,,,baseline,1,0
india_cs,taxes,,,,,,baseline,1,0
india_cs,wtp_batt,,,,,,baseline,1,0
india_cs,wtp_local_w_r,,,,,,baseline,1,0
india_cs,wind_g_wf,,,,,,baseline,1,0
india_cs,wind_l_wf,,,,,,baseline,1,0
