program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
india_cs,MVPF,-1.314625211163873,,,,99999,,baseline,1,0
india_cs,MVPF_no_cc,,,,,99999,,baseline,1,0
india_cs,cost,12.96599356013234,,,,99999,1.0372795,baseline,1,0
india_cs,WTP,-17.0454220219384,,,,99999,-1.3636338,baseline,1,0
india_cs,program_cost,12.5,,,,99999,,baseline,1,0
india_cs,total_cost,12.96599356013234,,,,99999,,baseline,1,0
india_cs,beh_fisc_ext,,,,,99999,,baseline,1,0
india_cs,utility_fisc_ext,,,,,99999,,baseline,1,0
india_cs,gas_fisc_ext,,,,,99999,,baseline,1,0
india_cs,fed_fisc_ext,,,,,99999,,baseline,1,0
india_cs,state_fisc_ext,,,,,99999,,baseline,1,0
india_cs,WTP_USPres,0,,,,99999,,baseline,1,0
india_cs,WTP_USFut,-3.183133770582931,,,,99999,,baseline,1,0
india_cs,WTP_RoW,-13.86228825135547,,,,99999,,baseline,1,0
india_cs,WTP_USTotal,,,,,99999,,baseline,1,0
india_cs,enviro_mvpf,,,,,99999,,baseline,1,0
india_cs,cost_mvpf,,,,,99999,,baseline,1,0
india_cs,firm_mvpf,,,,,99999,,baseline,1,0
india_cs,cost_wtp,,,,,99999,,baseline,1,0
india_cs,env_cost_wtp,,,,,99999,,baseline,1,0
india_cs,marginal,,,,,99999,,baseline,1,0
india_cs,infmarg,,,,,99999,,baseline,1,0
india_cs,wtp_private,,,,,99999,,baseline,1,0
india_cs,wtp_soc,,,,,99999,,baseline,1,0
india_cs,wtp_no_ice,,,,,99999,,baseline,1,0
india_cs,wtp_yes_ev,,,,,99999,,baseline,1,0
india_cs,wtp_yes_hev,,,,,99999,,baseline,1,0
india_cs,wtp_soc_rbd,,,,,99999,,baseline,1,0
india_cs,wtp_yes_ev_local,,,,,99999,,baseline,1,0
india_cs,wtp_no_ice_local,,,,,99999,,baseline,1,0
india_cs,env_cost_wtp_l,,,,,99999,,baseline,1,0
india_cs,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
india_cs,wtp_yes_ev_g,,,,,99999,,baseline,1,0
india_cs,wtp_no_ice_g,,,,,99999,,baseline,1,0
india_cs,env_cost_wtp_g,,,,,99999,,baseline,1,0
india_cs,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
india_cs,wtp_marg,5.683900043968928,,,,99999,,baseline,1,0
india_cs,wtp_inf,1.132199912062142,,,,99999,,baseline,1,0
india_cs,wtp_glob,-23.86152197796947,,,,99999,,baseline,1,0
india_cs,wtp_loc,0,,,,99999,,baseline,1,0
india_cs,wtp_r_glob,0,,,,99999,,baseline,1,0
india_cs,wtp_r_loc,0,,,,99999,,baseline,1,0
india_cs,wtp_e_cost,,,,,99999,,baseline,1,0
india_cs,WTP_cc,,,,,99999,,baseline,1,0
india_cs,wtp_install,,,,,99999,,baseline,1,0
india_cs,wtp_prod,,,,,99999,,baseline,1,0
india_cs,wtp_prod_s,,,,,99999,,baseline,1,0
india_cs,wtp_prod_u,,,,,99999,,baseline,1,0
india_cs,wtp_cons,6.81609995603107,,,,99999,,baseline,1,0
india_cs,wtp_deal,,,,,99999,,baseline,1,0
india_cs,admin_cost,,,,,99999,,baseline,1,0
india_cs,wtp_permits,,,,,99999,,baseline,1,0
india_cs,wtp_abatement,,,,,99999,,baseline,1,0
india_cs,permitrev,,,,,99999,,baseline,1,0
india_cs,wtp_no_leak,,,,,99999,,baseline,1,0
india_cs,wtp_leak,,,,,99999,,baseline,1,0
india_cs,wtp_soc_g,,,,,99999,,baseline,1,0
india_cs,wtp_soc_l,,,,,99999,,baseline,1,0
india_cs,fisc_ext_t,0,,,,99999,,baseline,1,0
india_cs,fisc_ext_s,0,,,,99999,,baseline,1,0
india_cs,fisc_ext_lr,.4659935601323402,,,,99999,,baseline,1,0
india_cs,q_CO2,-.6646510572155999,,,,99999,,baseline,1,0
india_cs,q_CO2_no,,,,,99999,,baseline,1,0
india_cs,p_spend,12.5,,,,99999,,baseline,1,0
india_cs,ev_sub_c,,,,,99999,,baseline,1,0
india_cs,ev_sub_c_row,,,,,99999,,baseline,1,0
india_cs,ev_sub_c_us,,,,,99999,,baseline,1,0
india_cs,ev_sub_env,,,,,99999,,baseline,1,0
india_cs,ev_sub_cost,,,,,99999,,baseline,1,0
india_cs,profits_fisc_e,,,,,99999,,baseline,1,0
india_cs,wtp_soc_l_po,,,,,99999,,baseline,1,0
india_cs,wtp_soc_l_dr,,,,,99999,,baseline,1,0
india_cs,gov_carbon,,,,,99999,,baseline,1,0
india_cs,resource_ce,,,,,99999,,baseline,1,0
india_cs,q_carbon_mck,,,,,99999,,baseline,1,0
india_cs,semie,,,,,99999,,baseline,1,0
india_cs,pass_through,,,,,99999,,baseline,1,0
india_cs,permitrev_new,,,,,99999,,baseline,1,0
india_cs,permitrev_ex,,,,,99999,,baseline,1,0
india_cs,fiscalext,,,,,99999,,baseline,1,0
india_cs,firm_cost_wtp,,,,,99999,,baseline,1,0
india_cs,c_savings,,,,,99999,,baseline,1,0
india_cs,resource_cost,,,,,99999,,baseline,1,0
india_cs,q_CO2_mck,,,,,99999,,baseline,1,0
india_cs,q_CO2_mck_no,,,,,99999,,baseline,1,0
india_cs,wtp_ctr,,,,,99999,,baseline,1,0
india_cs,gas_corp_fisc_e,,,,,99999,,baseline,1,0
india_cs,epsilon,,,,,99999,,baseline,1,0
india_cs,transfer,,,,,99999,,baseline,1,0
india_cs,enviro_wtp,,,,,99999,,baseline,1,0
india_cs,cost_curve,,,,,99999,,baseline,1,0
india_cs,profits,,,,,99999,,baseline,1,0
india_cs,subsidies,,,,,99999,,baseline,1,0
india_cs,taxes,,,,,99999,,baseline,1,0
india_cs,wtp_batt,,,,,99999,,baseline,1,0
india_cs,wtp_local_w_r,,,,,99999,,baseline,1,0
india_cs,wind_g_wf,,,,,99999,,baseline,1,0
india_cs,wind_l_wf,,,,,99999,,baseline,1,0
