program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ne_solar,MVPF,4.129333839050034,,,,,baseline,1,0
ne_solar,MVPF_no_cc,,,,,,baseline,1,0
ne_solar,cost,15326.60343113305,,,,2.1435809,baseline,1,0
ne_solar,WTP,11303.46742291031,,,,1.5809045,baseline,1,0
ne_solar,program_cost,7150,,,,,baseline,1,0
ne_solar,total_cost,,,,,,baseline,1,0
ne_solar,beh_fisc_ext,,,,,,baseline,1,0
ne_solar,utility_fisc_ext,,,,,,baseline,1,0
ne_solar,gas_fisc_ext,,,,,,baseline,1,0
ne_solar,fed_fisc_ext,,,,,,baseline,1,0
ne_solar,state_fisc_ext,,,,,,baseline,1,0
ne_solar,WTP_USPres,16231.4237003469,,,,,baseline,1,0
ne_solar,WTP_USFut,6558.118304164064,,,,,baseline,1,0
ne_solar,WTP_RoW,40499.1201813671,,,,,baseline,1,0
ne_solar,WTP_USTotal,,,,,,baseline,1,0
ne_solar,enviro_mvpf,4.905889774038898,,,,,baseline,1,0
ne_solar,cost_mvpf,2.364766836166382,,,,,baseline,1,0
ne_solar,firm_mvpf,0,,,,,baseline,1,0
ne_solar,cost_wtp,16908.08287858963,,,,,baseline,1,0
ne_solar,env_cost_wtp,35077.11188437812,,,,,baseline,1,0
ne_solar,marginal,,,,,,baseline,1,0
ne_solar,infmarg,,,,,,baseline,1,0
ne_solar,wtp_private,6029.144415641217,,,,,baseline,1,0
ne_solar,wtp_soc,5351.282937864198,,,,,baseline,1,0
ne_solar,wtp_no_ice,,,,,,baseline,1,0
ne_solar,wtp_yes_ev,,,,,,baseline,1,0
ne_solar,wtp_yes_hev,,,,,,baseline,1,0
ne_solar,wtp_soc_rbd,,,,,,baseline,1,0
ne_solar,wtp_yes_ev_local,,,,,,baseline,1,0
ne_solar,wtp_no_ice_local,,,,,,baseline,1,0
ne_solar,env_cost_wtp_l,8868.742658253603,,,,,baseline,1,0
ne_solar,wtp_soc_rbd_l,,,,,,baseline,1,0
ne_solar,wtp_yes_ev_g,,,,,,baseline,1,0
ne_solar,wtp_no_ice_g,,,,,,baseline,1,0
ne_solar,env_cost_wtp_g,26208.36922612452,,,,,baseline,1,0
ne_solar,wtp_soc_rbd_g,,,,,,baseline,1,0
ne_solar,wtp_marg,,,,,,baseline,1,0
ne_solar,wtp_inf,,,,,,baseline,1,0
ne_solar,wtp_glob,5429.975564228313,,,,,baseline,1,0
ne_solar,wtp_loc,1658.351308830552,,,,,baseline,1,0
ne_solar,wtp_r_glob,-1063.5477409557,,,,,baseline,1,0
ne_solar,wtp_r_loc,-324.8146823784682,,,,,baseline,1,0
ne_solar,wtp_e_cost,-425.6414424555971,,,,,baseline,1,0
ne_solar,WTP_cc,63288.66218587806,,,,,baseline,1,0
ne_solar,wtp_install,1115.4,,,,,baseline,1,0
ne_solar,wtp_prod,-1120.855584358783,,,,,baseline,1,0
ne_solar,wtp_prod_s,,,,,,baseline,1,0
ne_solar,wtp_prod_u,,,,,,baseline,1,0
ne_solar,wtp_cons,6034.6,,,,,baseline,1,0
ne_solar,wtp_deal,,,,,,baseline,1,0
ne_solar,admin_cost,,,,,,baseline,1,0
ne_solar,wtp_permits,,,,,,baseline,1,0
ne_solar,wtp_abatement,,,,,,baseline,1,0
ne_solar,permitrev,,,,,,baseline,1,0
ne_solar,wtp_no_leak,,,,,,baseline,1,0
ne_solar,wtp_leak,,,,,,baseline,1,0
ne_solar,wtp_soc_g,,,,,,baseline,1,0
ne_solar,wtp_soc_l,,,,,,baseline,1,0
ne_solar,fisc_ext_t,608.8598236023025,,,,,baseline,1,0
ne_solar,fisc_ext_s,8156.528864784406,,,,,baseline,1,0
ne_solar,fisc_ext_lr,-588.7852572536589,,,,,baseline,1,0
ne_solar,q_CO2,30.08751632876002,,,,,baseline,1,0
ne_solar,q_CO2_no,,,,,,baseline,1,0
ne_solar,p_spend,15306.52886478441,,,,,baseline,1,0
ne_solar,ev_sub_c,,,,,,baseline,1,0
ne_solar,ev_sub_c_row,,,,,,baseline,1,0
ne_solar,ev_sub_c_us,,,,,,baseline,1,0
ne_solar,ev_sub_env,,,,,,baseline,1,0
ne_solar,ev_sub_cost,,,,,,baseline,1,0
ne_solar,profits_fisc_e,,,,,,baseline,1,0
ne_solar,wtp_soc_l_po,,,,,,baseline,1,0
ne_solar,wtp_soc_l_dr,,,,,,baseline,1,0
ne_solar,gov_carbon,.0002061585807609,,,,,baseline,1,0
ne_solar,resource_ce,133.2758479752052,,,,,baseline,1,0
ne_solar,q_carbon_mck,.0005890718331872,,,,,baseline,1,0
ne_solar,semie,-.5243308138040188,,,,,baseline,1,0
ne_solar,pass_through,.844,,,,,baseline,1,0
ne_solar,permitrev_new,,,,,,baseline,1,0
ne_solar,permitrev_ex,,,,,,baseline,1,0
ne_solar,fiscalext,,,,,,baseline,1,0
ne_solar,firm_cost_wtp,0,,,,,baseline,1,0
ne_solar,c_savings,0,,,,,baseline,1,0
ne_solar,resource_cost,17558.6163911681,,,,,baseline,1,0
ne_solar,q_CO2_mck,.0005890718331872,,,,,baseline,1,0
ne_solar,q_CO2_mck_no,,,,,,baseline,1,0
ne_solar,wtp_ctr,,,,,,baseline,1,0
ne_solar,gas_corp_fisc_e,,,,,,baseline,1,0
ne_solar,epsilon,,,,,,baseline,1,0
ne_solar,transfer,,,,,,baseline,1,0
ne_solar,enviro_wtp,,,,,,baseline,1,0
ne_solar,cost_curve,,,,,,baseline,1,0
ne_solar,profits,,,,,,baseline,1,0
ne_solar,subsidies,,,,,,baseline,1,0
ne_solar,taxes,,,,,,baseline,1,0
ne_solar,wtp_batt,,,,,,baseline,1,0
ne_solar,wtp_local_w_r,,,,,,baseline,1,0
ne_solar,wind_g_wf,,,,,,baseline,1,0
ne_solar,wind_l_wf,,,,,,baseline,1,0
