program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
nicolini_eu,MVPF,1.67196269978233,,,,99999,,baseline,1,0
nicolini_eu,MVPF_no_cc,1.60829984785361,,,,99999,,baseline,1,0
nicolini_eu,cost,85.983464312596,,,,99999,1.0406803,baseline,1,0
nicolini_eu,WTP,138.3490145117418,,,,99999,1.6744741,baseline,1,0
nicolini_eu,program_cost,82.62236706367088,,,,99999,,baseline,1,0
nicolini_eu,total_cost,85.983464312596,,,,99999,,baseline,1,0
nicolini_eu,beh_fisc_ext,,,,,99999,,baseline,1,0
nicolini_eu,utility_fisc_ext,,,,,99999,,baseline,1,0
nicolini_eu,gas_fisc_ext,,,,,99999,,baseline,1,0
nicolini_eu,fed_fisc_ext,,,,,99999,,baseline,1,0
nicolini_eu,state_fisc_ext,,,,,99999,,baseline,1,0
nicolini_eu,WTP_USPres,96.70503866436947,,,,99999,,baseline,1,0
nicolini_eu,WTP_USFut,6.633577679733691,,,,99999,,baseline,1,0
nicolini_eu,WTP_RoW,40.42252878462246,,,,99999,,baseline,1,0
nicolini_eu,WTP_USTotal,,,,,99999,,baseline,1,0
nicolini_eu,enviro_mvpf,.0157104175482923,,,,99999,,baseline,1,0
nicolini_eu,cost_mvpf,.0497940070927143,,,,99999,,baseline,1,0
nicolini_eu,firm_mvpf,,,,,99999,,baseline,1,0
nicolini_eu,cost_wtp,4.114098731585273,,,,99999,,baseline,1,0
nicolini_eu,env_cost_wtp,1.298031885398543,,,,99999,,baseline,1,0
nicolini_eu,marginal,,,,,99999,,baseline,1,0
nicolini_eu,infmarg,,,,,99999,,baseline,1,0
nicolini_eu,wtp_private,82.62236706367088,,,,99999,,baseline,1,0
nicolini_eu,wtp_soc,56.54156332528495,,,,99999,,baseline,1,0
nicolini_eu,wtp_no_ice,,,,,99999,,baseline,1,0
nicolini_eu,wtp_yes_ev,,,,,99999,,baseline,1,0
nicolini_eu,wtp_yes_hev,,,,,99999,,baseline,1,0
nicolini_eu,wtp_soc_rbd,-13.82650096441514,,,,99999,,baseline,1,0
nicolini_eu,wtp_yes_ev_local,,,,,99999,,baseline,1,0
nicolini_eu,wtp_no_ice_local,,,,,99999,,baseline,1,0
nicolini_eu,env_cost_wtp_l,.0843542797999168,,,,99999,,baseline,1,0
nicolini_eu,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
nicolini_eu,wtp_yes_ev_g,,,,,99999,,baseline,1,0
nicolini_eu,wtp_no_ice_g,,,,,99999,,baseline,1,0
nicolini_eu,env_cost_wtp_g,1.213677605598626,,,,99999,,baseline,1,0
nicolini_eu,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
nicolini_eu,wtp_marg,,,,,99999,,baseline,1,0
nicolini_eu,wtp_inf,,,,,99999,,baseline,1,0
nicolini_eu,wtp_glob,42.76680584628272,,,,99999,,baseline,1,0
nicolini_eu,wtp_loc,13.99831732089868,,,,99999,,baseline,1,0
nicolini_eu,wtp_r_glob,-10.41687658348023,,,,99999,,baseline,1,0
nicolini_eu,wtp_r_loc,-3.409624380934909,,,,99999,,baseline,1,0
nicolini_eu,wtp_e_cost,-1.038475719110463,,,,99999,,baseline,1,0
nicolini_eu,WTP_cc,143.7611451287256,,,,99999,,baseline,1,0
nicolini_eu,wtp_install,,,,,99999,,baseline,1,0
nicolini_eu,wtp_prod,82.62236706367088,,,,99999,,baseline,1,0
nicolini_eu,wtp_prod_s,,,,,99999,,baseline,1,0
nicolini_eu,wtp_prod_u,,,,,99999,,baseline,1,0
nicolini_eu,wtp_cons,0,,,,99999,,baseline,1,0
nicolini_eu,wtp_deal,,,,,99999,,baseline,1,0
nicolini_eu,admin_cost,,,,,99999,,baseline,1,0
nicolini_eu,wtp_permits,,,,,99999,,baseline,1,0
nicolini_eu,wtp_abatement,,,,,99999,,baseline,1,0
nicolini_eu,permitrev,,,,,99999,,baseline,1,0
nicolini_eu,wtp_no_leak,,,,,99999,,baseline,1,0
nicolini_eu,wtp_leak,,,,,99999,,baseline,1,0
nicolini_eu,wtp_soc_g,,,,,99999,,baseline,1,0
nicolini_eu,wtp_soc_l,,,,,99999,,baseline,1,0
nicolini_eu,fisc_ext_t,0,,,,99999,,baseline,1,0
nicolini_eu,fisc_ext_s,4.199715132608298,,,,99999,,baseline,1,0
nicolini_eu,fisc_ext_lr,-.8386178836831776,,,,99999,,baseline,1,0
nicolini_eu,q_CO2,.3078247284700946,,,,99999,,baseline,1,0
nicolini_eu,q_CO2_no,,,,,99999,,baseline,1,0
nicolini_eu,p_spend,86.82208219627918,,,,99999,,baseline,1,0
nicolini_eu,ev_sub_c,,,,,99999,,baseline,1,0
nicolini_eu,ev_sub_c_row,,,,,99999,,baseline,1,0
nicolini_eu,ev_sub_c_us,,,,,99999,,baseline,1,0
nicolini_eu,ev_sub_env,,,,,99999,,baseline,1,0
nicolini_eu,ev_sub_cost,,,,,99999,,baseline,1,0
nicolini_eu,profits_fisc_e,,,,,99999,,baseline,1,0
nicolini_eu,wtp_soc_l_po,,,,,99999,,baseline,1,0
nicolini_eu,wtp_soc_l_dr,,,,,99999,,baseline,1,0
nicolini_eu,gov_carbon,9.67437021215e-06,,,,99999,,baseline,1,0
nicolini_eu,resource_ce,-42.23843697503107,,,,99999,,baseline,1,0
nicolini_eu,q_carbon_mck,.000396380954224,,,,99999,,baseline,1,0
nicolini_eu,semie,-.0305581505710267,,,,99999,,baseline,1,0
nicolini_eu,pass_through,,,,,99999,,baseline,1,0
nicolini_eu,permitrev_new,,,,,99999,,baseline,1,0
nicolini_eu,permitrev_ex,,,,,99999,,baseline,1,0
nicolini_eu,fiscalext,,,,,99999,,baseline,1,0
nicolini_eu,firm_cost_wtp,,,,,99999,,baseline,1,0
nicolini_eu,c_savings,,,,,99999,,baseline,1,0
nicolini_eu,resource_cost,4015000,,,,99999,,baseline,1,0
nicolini_eu,q_CO2_mck,.000396380954224,,,,99999,,baseline,1,0
nicolini_eu,q_CO2_mck_no,,,,,99999,,baseline,1,0
nicolini_eu,wtp_ctr,,,,,99999,,baseline,1,0
nicolini_eu,gas_corp_fisc_e,,,,,99999,,baseline,1,0
nicolini_eu,epsilon,-.171,,,,99999,,baseline,1,0
nicolini_eu,transfer,,,,,99999,,baseline,1,0
nicolini_eu,enviro_wtp,,,,,99999,,baseline,1,0
nicolini_eu,cost_curve,,,,,99999,,baseline,1,0
nicolini_eu,profits,,,,,99999,,baseline,1,0
nicolini_eu,subsidies,,,,,99999,,baseline,1,0
nicolini_eu,taxes,,,,,99999,,baseline,1,0
nicolini_eu,wtp_batt,,,,,99999,,baseline,1,0
nicolini_eu,wtp_local_w_r,,,,,99999,,baseline,1,0
nicolini_eu,wind_g_wf,53.18368242976295,,,,99999,,baseline,1,0
nicolini_eu,wind_l_wf,17.40794170183359,,,,99999,,baseline,1,0
