program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
nudge_ger,MVPF,.2848704006497697,,,,,baseline,1,0
nudge_ger,MVPF_no_cc,,,,,,baseline,1,0
nudge_ger,cost,4.388514052972733,,,,.9944675,baseline,1,0
nudge_ger,WTP,1.250157756527487,,,,.28329435,baseline,1,0
nudge_ger,program_cost,4.412928483210216,,,,,baseline,1,0
nudge_ger,total_cost,4.388514052972733,,,,,baseline,1,0
nudge_ger,beh_fisc_ext,,,,,,baseline,1,0
nudge_ger,utility_fisc_ext,,,,,,baseline,1,0
nudge_ger,gas_fisc_ext,,,,,,baseline,1,0
nudge_ger,fed_fisc_ext,,,,,,baseline,1,0
nudge_ger,state_fisc_ext,,,,,,baseline,1,0
nudge_ger,WTP_USPres,0,,,,,baseline,1,0
nudge_ger,WTP_USFut,.1667713977772625,,,,,baseline,1,0
nudge_ger,WTP_RoW,1.083386358750224,,,,,baseline,1,0
nudge_ger,WTP_USTotal,,,,,,baseline,1,0
nudge_ger,enviro_mvpf,,,,,,baseline,1,0
nudge_ger,cost_mvpf,,,,,,baseline,1,0
nudge_ger,firm_mvpf,,,,,,baseline,1,0
nudge_ger,cost_wtp,,,,,,baseline,1,0
nudge_ger,env_cost_wtp,,,,,,baseline,1,0
nudge_ger,marginal,,,,,,baseline,1,0
nudge_ger,infmarg,,,,,,baseline,1,0
nudge_ger,wtp_private,,,,,,baseline,1,0
nudge_ger,wtp_soc,,,,,,baseline,1,0
nudge_ger,wtp_no_ice,,,,,,baseline,1,0
nudge_ger,wtp_yes_ev,,,,,,baseline,1,0
nudge_ger,wtp_yes_hev,,,,,,baseline,1,0
nudge_ger,wtp_soc_rbd,,,,,,baseline,1,0
nudge_ger,wtp_yes_ev_local,,,,,,baseline,1,0
nudge_ger,wtp_no_ice_local,,,,,,baseline,1,0
nudge_ger,env_cost_wtp_l,,,,,,baseline,1,0
nudge_ger,wtp_soc_rbd_l,,,,,,baseline,1,0
nudge_ger,wtp_yes_ev_g,,,,,,baseline,1,0
nudge_ger,wtp_no_ice_g,,,,,,baseline,1,0
nudge_ger,env_cost_wtp_g,,,,,,baseline,1,0
nudge_ger,wtp_soc_rbd_g,,,,,,baseline,1,0
nudge_ger,wtp_marg,0,,,,,baseline,1,0
nudge_ger,wtp_inf,0,,,,,baseline,1,0
nudge_ger,wtp_glob,1.554663524539135,,,,,baseline,1,0
nudge_ger,wtp_loc,0,,,,,baseline,1,0
nudge_ger,wtp_r_glob,-.3045057680116479,,,,,baseline,1,0
nudge_ger,wtp_r_loc,0,,,,,baseline,1,0
nudge_ger,wtp_e_cost,,,,,,baseline,1,0
nudge_ger,WTP_cc,,,,,,baseline,1,0
nudge_ger,wtp_install,,,,,,baseline,1,0
nudge_ger,wtp_prod,,,,,,baseline,1,0
nudge_ger,wtp_prod_s,,,,,,baseline,1,0
nudge_ger,wtp_prod_u,,,,,,baseline,1,0
nudge_ger,wtp_cons,0,,,,,baseline,1,0
nudge_ger,wtp_deal,,,,,,baseline,1,0
nudge_ger,admin_cost,,,,,,baseline,1,0
nudge_ger,wtp_permits,,,,,,baseline,1,0
nudge_ger,wtp_abatement,,,,,,baseline,1,0
nudge_ger,permitrev,,,,,,baseline,1,0
nudge_ger,wtp_no_leak,,,,,,baseline,1,0
nudge_ger,wtp_leak,,,,,,baseline,1,0
nudge_ger,wtp_soc_g,,,,,,baseline,1,0
nudge_ger,wtp_soc_l,,,,,,baseline,1,0
nudge_ger,fisc_ext_t,0,,,,,baseline,1,0
nudge_ger,fisc_ext_s,0,,,,,baseline,1,0
nudge_ger,fisc_ext_lr,-.024414430237483,,,,,baseline,1,0
nudge_ger,q_CO2,5.28805295428e-10,,,,,baseline,1,0
nudge_ger,q_CO2_no,,,,,,baseline,1,0
nudge_ger,p_spend,4.412928483210216,,,,,baseline,1,0
nudge_ger,ev_sub_c,,,,,,baseline,1,0
nudge_ger,ev_sub_c_row,,,,,,baseline,1,0
nudge_ger,ev_sub_c_us,,,,,,baseline,1,0
nudge_ger,ev_sub_env,,,,,,baseline,1,0
nudge_ger,ev_sub_cost,,,,,,baseline,1,0
nudge_ger,profits_fisc_e,,,,,,baseline,1,0
nudge_ger,wtp_soc_l_po,,,,,,baseline,1,0
nudge_ger,wtp_soc_l_dr,,,,,,baseline,1,0
nudge_ger,gov_carbon,,,,,,baseline,1,0
nudge_ger,resource_ce,,,,,,baseline,1,0
nudge_ger,q_carbon_mck,,,,,,baseline,1,0
nudge_ger,semie,,,,,,baseline,1,0
nudge_ger,pass_through,,,,,,baseline,1,0
nudge_ger,permitrev_new,,,,,,baseline,1,0
nudge_ger,permitrev_ex,,,,,,baseline,1,0
nudge_ger,fiscalext,,,,,,baseline,1,0
nudge_ger,firm_cost_wtp,,,,,,baseline,1,0
nudge_ger,c_savings,,,,,,baseline,1,0
nudge_ger,resource_cost,,,,,,baseline,1,0
nudge_ger,q_CO2_mck,,,,,,baseline,1,0
nudge_ger,q_CO2_mck_no,,,,,,baseline,1,0
nudge_ger,wtp_ctr,,,,,,baseline,1,0
nudge_ger,gas_corp_fisc_e,,,,,,baseline,1,0
nudge_ger,epsilon,,,,,,baseline,1,0
nudge_ger,transfer,,,,,,baseline,1,0
nudge_ger,enviro_wtp,,,,,,baseline,1,0
nudge_ger,cost_curve,,,,,,baseline,1,0
nudge_ger,profits,,,,,,baseline,1,0
nudge_ger,subsidies,,,,,,baseline,1,0
nudge_ger,taxes,,,,,,baseline,1,0
nudge_ger,wtp_batt,,,,,,baseline,1,0
nudge_ger,wtp_local_w_r,,,,,,baseline,1,0
nudge_ger,wind_g_wf,,,,,,baseline,1,0
nudge_ger,wind_l_wf,,,,,,baseline,1,0
