program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
nudge_ger,MVPF,.2848704006497697,,,,99999,,baseline,1,0
nudge_ger,MVPF_no_cc,,,,,99999,,baseline,1,0
nudge_ger,cost,4.388514052972733,,,,99999,.9944675,baseline,1,0
nudge_ger,WTP,1.250157756527487,,,,99999,.28329435,baseline,1,0
nudge_ger,program_cost,4.412928483210216,,,,99999,,baseline,1,0
nudge_ger,total_cost,4.388514052972733,,,,99999,,baseline,1,0
nudge_ger,beh_fisc_ext,,,,,99999,,baseline,1,0
nudge_ger,utility_fisc_ext,,,,,99999,,baseline,1,0
nudge_ger,gas_fisc_ext,,,,,99999,,baseline,1,0
nudge_ger,fed_fisc_ext,,,,,99999,,baseline,1,0
nudge_ger,state_fisc_ext,,,,,99999,,baseline,1,0
nudge_ger,WTP_USPres,0,,,,99999,,baseline,1,0
nudge_ger,WTP_USFut,.1667713977772625,,,,99999,,baseline,1,0
nudge_ger,WTP_RoW,1.083386358750224,,,,99999,,baseline,1,0
nudge_ger,WTP_USTotal,,,,,99999,,baseline,1,0
nudge_ger,enviro_mvpf,,,,,99999,,baseline,1,0
nudge_ger,cost_mvpf,,,,,99999,,baseline,1,0
nudge_ger,firm_mvpf,,,,,99999,,baseline,1,0
nudge_ger,cost_wtp,,,,,99999,,baseline,1,0
nudge_ger,env_cost_wtp,,,,,99999,,baseline,1,0
nudge_ger,marginal,,,,,99999,,baseline,1,0
nudge_ger,infmarg,,,,,99999,,baseline,1,0
nudge_ger,wtp_private,,,,,99999,,baseline,1,0
nudge_ger,wtp_soc,,,,,99999,,baseline,1,0
nudge_ger,wtp_no_ice,,,,,99999,,baseline,1,0
nudge_ger,wtp_yes_ev,,,,,99999,,baseline,1,0
nudge_ger,wtp_yes_hev,,,,,99999,,baseline,1,0
nudge_ger,wtp_soc_rbd,,,,,99999,,baseline,1,0
nudge_ger,wtp_yes_ev_local,,,,,99999,,baseline,1,0
nudge_ger,wtp_no_ice_local,,,,,99999,,baseline,1,0
nudge_ger,env_cost_wtp_l,,,,,99999,,baseline,1,0
nudge_ger,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
nudge_ger,wtp_yes_ev_g,,,,,99999,,baseline,1,0
nudge_ger,wtp_no_ice_g,,,,,99999,,baseline,1,0
nudge_ger,env_cost_wtp_g,,,,,99999,,baseline,1,0
nudge_ger,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
nudge_ger,wtp_marg,0,,,,99999,,baseline,1,0
nudge_ger,wtp_inf,0,,,,99999,,baseline,1,0
nudge_ger,wtp_glob,1.554663524539135,,,,99999,,baseline,1,0
nudge_ger,wtp_loc,0,,,,99999,,baseline,1,0
nudge_ger,wtp_r_glob,-.3045057680116479,,,,99999,,baseline,1,0
nudge_ger,wtp_r_loc,0,,,,99999,,baseline,1,0
nudge_ger,wtp_e_cost,,,,,99999,,baseline,1,0
nudge_ger,WTP_cc,,,,,99999,,baseline,1,0
nudge_ger,wtp_install,,,,,99999,,baseline,1,0
nudge_ger,wtp_prod,,,,,99999,,baseline,1,0
nudge_ger,wtp_prod_s,,,,,99999,,baseline,1,0
nudge_ger,wtp_prod_u,,,,,99999,,baseline,1,0
nudge_ger,wtp_cons,0,,,,99999,,baseline,1,0
nudge_ger,wtp_deal,,,,,99999,,baseline,1,0
nudge_ger,admin_cost,,,,,99999,,baseline,1,0
nudge_ger,wtp_permits,,,,,99999,,baseline,1,0
nudge_ger,wtp_abatement,,,,,99999,,baseline,1,0
nudge_ger,permitrev,,,,,99999,,baseline,1,0
nudge_ger,wtp_no_leak,,,,,99999,,baseline,1,0
nudge_ger,wtp_leak,,,,,99999,,baseline,1,0
nudge_ger,wtp_soc_g,,,,,99999,,baseline,1,0
nudge_ger,wtp_soc_l,,,,,99999,,baseline,1,0
nudge_ger,fisc_ext_t,0,,,,99999,,baseline,1,0
nudge_ger,fisc_ext_s,0,,,,99999,,baseline,1,0
nudge_ger,fisc_ext_lr,-.024414430237483,,,,99999,,baseline,1,0
nudge_ger,q_CO2,5.28805295428e-10,,,,99999,,baseline,1,0
nudge_ger,q_CO2_no,,,,,99999,,baseline,1,0
nudge_ger,p_spend,4.412928483210216,,,,99999,,baseline,1,0
nudge_ger,ev_sub_c,,,,,99999,,baseline,1,0
nudge_ger,ev_sub_c_row,,,,,99999,,baseline,1,0
nudge_ger,ev_sub_c_us,,,,,99999,,baseline,1,0
nudge_ger,ev_sub_env,,,,,99999,,baseline,1,0
nudge_ger,ev_sub_cost,,,,,99999,,baseline,1,0
nudge_ger,profits_fisc_e,,,,,99999,,baseline,1,0
nudge_ger,wtp_soc_l_po,,,,,99999,,baseline,1,0
nudge_ger,wtp_soc_l_dr,,,,,99999,,baseline,1,0
nudge_ger,gov_carbon,,,,,99999,,baseline,1,0
nudge_ger,resource_ce,,,,,99999,,baseline,1,0
