program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
nudge_qatar,MVPF,6.208829192544118,,,,,baseline,1,0
nudge_qatar,MVPF_no_cc,,,,,,baseline,1,0
nudge_qatar,cost,12.52464914008099,,,,.89185959,baseline,1,0
nudge_qatar,WTP,77.76340720730744,,,,5.5374041,baseline,1,0
nudge_qatar,program_cost,14.04329690303637,,,,,baseline,1,0
nudge_qatar,total_cost,12.52464914008099,,,,,baseline,1,0
nudge_qatar,beh_fisc_ext,,,,,,baseline,1,0
nudge_qatar,utility_fisc_ext,,,,,,baseline,1,0
nudge_qatar,gas_fisc_ext,,,,,,baseline,1,0
nudge_qatar,fed_fisc_ext,,,,,,baseline,1,0
nudge_qatar,state_fisc_ext,,,,,,baseline,1,0
nudge_qatar,WTP_USPres,0,,,,,baseline,1,0
nudge_qatar,WTP_USFut,10.37366048258404,,,,,baseline,1,0
nudge_qatar,WTP_RoW,67.38974672472339,,,,,baseline,1,0
nudge_qatar,WTP_USTotal,,,,,,baseline,1,0
nudge_qatar,enviro_mvpf,,,,,,baseline,1,0
nudge_qatar,cost_mvpf,,,,,,baseline,1,0
nudge_qatar,firm_mvpf,,,,,,baseline,1,0
nudge_qatar,cost_wtp,,,,,,baseline,1,0
nudge_qatar,env_cost_wtp,,,,,,baseline,1,0
nudge_qatar,marginal,,,,,,baseline,1,0
nudge_qatar,infmarg,,,,,,baseline,1,0
nudge_qatar,wtp_private,,,,,,baseline,1,0
nudge_qatar,wtp_soc,,,,,,baseline,1,0
nudge_qatar,wtp_no_ice,,,,,,baseline,1,0
nudge_qatar,wtp_yes_ev,,,,,,baseline,1,0
nudge_qatar,wtp_yes_hev,,,,,,baseline,1,0
nudge_qatar,wtp_soc_rbd,,,,,,baseline,1,0
nudge_qatar,wtp_yes_ev_local,,,,,,baseline,1,0
nudge_qatar,wtp_no_ice_local,,,,,,baseline,1,0
nudge_qatar,env_cost_wtp_l,,,,,,baseline,1,0
nudge_qatar,wtp_soc_rbd_l,,,,,,baseline,1,0
nudge_qatar,wtp_yes_ev_g,,,,,,baseline,1,0
nudge_qatar,wtp_no_ice_g,,,,,,baseline,1,0
nudge_qatar,env_cost_wtp_g,,,,,,baseline,1,0
nudge_qatar,wtp_soc_rbd_g,,,,,,baseline,1,0
nudge_qatar,wtp_marg,0,,,,,baseline,1,0
nudge_qatar,wtp_inf,0,,,,,baseline,1,0
nudge_qatar,wtp_glob,96.704541565132,,,,,baseline,1,0
nudge_qatar,wtp_loc,0,,,,,baseline,1,0
nudge_qatar,wtp_r_glob,-18.94113435782457,,,,,baseline,1,0
nudge_qatar,wtp_r_loc,0,,,,,baseline,1,0
nudge_qatar,wtp_e_cost,,,,,,baseline,1,0
nudge_qatar,WTP_cc,,,,,,baseline,1,0
nudge_qatar,wtp_install,,,,,,baseline,1,0
nudge_qatar,wtp_prod,,,,,,baseline,1,0
nudge_qatar,wtp_prod_s,,,,,,baseline,1,0
nudge_qatar,wtp_prod_u,,,,,,baseline,1,0
nudge_qatar,wtp_cons,0,,,,,baseline,1,0
nudge_qatar,wtp_deal,,,,,,baseline,1,0
nudge_qatar,admin_cost,,,,,,baseline,1,0
nudge_qatar,wtp_permits,,,,,,baseline,1,0
nudge_qatar,wtp_abatement,,,,,,baseline,1,0
nudge_qatar,permitrev,,,,,,baseline,1,0
nudge_qatar,wtp_no_leak,,,,,,baseline,1,0
nudge_qatar,wtp_leak,,,,,,baseline,1,0
nudge_qatar,wtp_soc_g,,,,,,baseline,1,0
nudge_qatar,wtp_soc_l,,,,,,baseline,1,0
nudge_qatar,fisc_ext_t,0,,,,,baseline,1,0
nudge_qatar,fisc_ext_s,0,,,,,baseline,1,0
nudge_qatar,fisc_ext_lr,-1.518647762955385,,,,,baseline,1,0
nudge_qatar,q_CO2,3.25698379599e-09,,,,,baseline,1,0
nudge_qatar,q_CO2_no,,,,,,baseline,1,0
nudge_qatar,p_spend,14.04329690303637,,,,,baseline,1,0
nudge_qatar,ev_sub_c,,,,,,baseline,1,0
nudge_qatar,ev_sub_c_row,,,,,,baseline,1,0
nudge_qatar,ev_sub_c_us,,,,,,baseline,1,0
nudge_qatar,ev_sub_env,,,,,,baseline,1,0
nudge_qatar,ev_sub_cost,,,,,,baseline,1,0
nudge_qatar,profits_fisc_e,,,,,,baseline,1,0
nudge_qatar,wtp_soc_l_po,,,,,,baseline,1,0
nudge_qatar,wtp_soc_l_dr,,,,,,baseline,1,0
nudge_qatar,gov_carbon,,,,,,baseline,1,0
nudge_qatar,resource_ce,,,,,,baseline,1,0
nudge_qatar,q_carbon_mck,,,,,,baseline,1,0
nudge_qatar,semie,,,,,,baseline,1,0
nudge_qatar,pass_through,,,,,,baseline,1,0
nudge_qatar,permitrev_new,,,,,,baseline,1,0
nudge_qatar,permitrev_ex,,,,,,baseline,1,0
nudge_qatar,fiscalext,,,,,,baseline,1,0
nudge_qatar,firm_cost_wtp,,,,,,baseline,1,0
nudge_qatar,c_savings,,,,,,baseline,1,0
nudge_qatar,resource_cost,,,,,,baseline,1,0
nudge_qatar,q_CO2_mck,,,,,,baseline,1,0
nudge_qatar,q_CO2_mck_no,,,,,,baseline,1,0
nudge_qatar,wtp_ctr,,,,,,baseline,1,0
nudge_qatar,gas_corp_fisc_e,,,,,,baseline,1,0
nudge_qatar,epsilon,,,,,,baseline,1,0
nudge_qatar,transfer,,,,,,baseline,1,0
nudge_qatar,enviro_wtp,,,,,,baseline,1,0
nudge_qatar,cost_curve,,,,,,baseline,1,0
nudge_qatar,profits,,,,,,baseline,1,0
nudge_qatar,subsidies,,,,,,baseline,1,0
nudge_qatar,taxes,,,,,,baseline,1,0
nudge_qatar,wtp_batt,,,,,,baseline,1,0
nudge_qatar,wtp_local_w_r,,,,,,baseline,1,0
nudge_qatar,wind_g_wf,,,,,,baseline,1,0
nudge_qatar,wind_l_wf,,,,,,baseline,1,0
