program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
rebate_es,MVPF,.9984370690913992,,,,99999,,baseline,1,0
rebate_es,MVPF_no_cc,,,,,99999,,baseline,1,0
rebate_es,cost,110.0936285107032,,,,99999,1.1009363,baseline,1,0
rebate_es,WTP,109.9215597758638,,,,99999,1.0992156,baseline,1,0
rebate_es,program_cost,100,,,,99999,,baseline,1,0
rebate_es,total_cost,110.0936285107032,,,,99999,,baseline,1,0
rebate_es,beh_fisc_ext,,,,,99999,,baseline,1,0
rebate_es,utility_fisc_ext,,,,,99999,,baseline,1,0
rebate_es,gas_fisc_ext,,,,,99999,,baseline,1,0
rebate_es,fed_fisc_ext,,,,,99999,,baseline,1,0
rebate_es,state_fisc_ext,,,,,99999,,baseline,1,0
rebate_es,WTP_USPres,-16.19411395056031,,,,99999,,baseline,1,0
rebate_es,WTP_USFut,16.82386649137627,,,,99999,,baseline,1,0
rebate_es,WTP_RoW,109.2918072350478,,,,99999,,baseline,1,0
rebate_es,WTP_USTotal,,,,,99999,,baseline,1,0
rebate_es,enviro_mvpf,,,,,99999,,baseline,1,0
rebate_es,cost_mvpf,,,,,99999,,baseline,1,0
rebate_es,firm_mvpf,,,,,99999,,baseline,1,0
rebate_es,cost_wtp,,,,,99999,,baseline,1,0
rebate_es,env_cost_wtp,,,,,99999,,baseline,1,0
rebate_es,marginal,,,,,99999,,baseline,1,0
rebate_es,infmarg,,,,,99999,,baseline,1,0
rebate_es,wtp_private,,,,,99999,,baseline,1,0
rebate_es,wtp_soc,128.5785967471151,,,,99999,,baseline,1,0
rebate_es,wtp_no_ice,,,,,99999,,baseline,1,0
rebate_es,wtp_yes_ev,,,,,99999,,baseline,1,0
rebate_es,wtp_yes_hev,,,,,99999,,baseline,1,0
rebate_es,wtp_soc_rbd,,,,,99999,,baseline,1,0
rebate_es,wtp_yes_ev_local,,,,,99999,,baseline,1,0
rebate_es,wtp_no_ice_local,,,,,99999,,baseline,1,0
rebate_es,env_cost_wtp_l,,,,,99999,,baseline,1,0
rebate_es,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
rebate_es,wtp_yes_ev_g,,,,,99999,,baseline,1,0
rebate_es,wtp_no_ice_g,,,,,99999,,baseline,1,0
rebate_es,env_cost_wtp_g,,,,,99999,,baseline,1,0
rebate_es,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
rebate_es,wtp_marg,40.21739130434783,,,,99999,,baseline,1,0
rebate_es,wtp_inf,19.56521739130435,,,,99999,,baseline,1,0
rebate_es,wtp_glob,142.9310968899473,,,,99999,,baseline,1,0
rebate_es,wtp_loc,0,,,,99999,,baseline,1,0
rebate_es,wtp_r_glob,-16.81542316352321,,,,99999,,baseline,1,0
rebate_es,wtp_r_loc,0,,,,99999,,baseline,1,0
rebate_es,wtp_e_cost,,,,,99999,,baseline,1,0
rebate_es,WTP_cc,,,,,99999,,baseline,1,0
rebate_es,wtp_install,,,,,99999,,baseline,1,0
rebate_es,wtp_prod,-75.97672264621249,,,,99999,,baseline,1,0
rebate_es,wtp_prod_s,,,,,99999,,baseline,1,0
rebate_es,wtp_prod_u,,,,,99999,,baseline,1,0
rebate_es,wtp_cons,,,,,99999,,baseline,1,0
rebate_es,wtp_deal,,,,,99999,,baseline,1,0
rebate_es,admin_cost,,,,,99999,,baseline,1,0
rebate_es,wtp_permits,,,,,99999,,baseline,1,0
rebate_es,wtp_abatement,,,,,99999,,baseline,1,0
rebate_es,permitrev,,,,,99999,,baseline,1,0
rebate_es,wtp_no_leak,,,,,99999,,baseline,1,0
rebate_es,wtp_leak,,,,,99999,,baseline,1,0
rebate_es,wtp_soc_g,,,,,99999,,baseline,1,0
rebate_es,wtp_soc_l,,,,,99999,,baseline,1,0
rebate_es,fisc_ext_t,12.88494126748634,,,,99999,,baseline,1,0
rebate_es,fisc_ext_s,0,,,,99999,,baseline,1,0
rebate_es,fisc_ext_lr,-2.791312756783121,,,,99999,,baseline,1,0
rebate_es,q_CO2,.9096910889542223,,,,99999,,baseline,1,0
rebate_es,q_CO2_no,,,,,99999,,baseline,1,0
rebate_es,p_spend,100,,,,99999,,baseline,1,0
rebate_es,ev_sub_c,,,,,99999,,baseline,1,0
rebate_es,ev_sub_c_row,,,,,99999,,baseline,1,0
rebate_es,ev_sub_c_us,,,,,99999,,baseline,1,0
rebate_es,ev_sub_env,,,,,99999,,baseline,1,0
rebate_es,ev_sub_cost,,,,,99999,,baseline,1,0
rebate_es,profits_fisc_e,,,,,99999,,baseline,1,0
rebate_es,wtp_soc_l_po,,,,,99999,,baseline,1,0
rebate_es,wtp_soc_l_dr,,,,,99999,,baseline,1,0
rebate_es,gov_carbon,.9354883389052218,,,,99999,,baseline,1,0
rebate_es,resource_ce,208.5133085039166,,,,99999,,baseline,1,0
rebate_es,q_carbon_mck,1.446325606996176,,,,99999,,baseline,1,0
rebate_es,semie,,,,,99999,,baseline,1,0
rebate_es,pass_through,,,,,99999,,baseline,1,0
rebate_es,permitrev_new,,,,,99999,,baseline,1,0
rebate_es,permitrev_ex,,,,,99999,,baseline,1,0
rebate_es,fiscalext,,,,,99999,,baseline,1,0
rebate_es,firm_cost_wtp,,,,,99999,,baseline,1,0
rebate_es,c_savings,0,,,,99999,,baseline,1,0
rebate_es,resource_cost,,,,,99999,,baseline,1,0
rebate_es,q_CO2_mck,,,,,99999,,baseline,1,0
rebate_es,q_CO2_mck_no,,,,,99999,,baseline,1,0
rebate_es,wtp_ctr,,,,,99999,,baseline,1,0
rebate_es,gas_corp_fisc_e,,,,,99999,,baseline,1,0
rebate_es,epsilon,,,,,99999,,baseline,1,0
rebate_es,transfer,,,,,99999,,baseline,1,0
rebate_es,enviro_wtp,,,,,99999,,baseline,1,0
rebate_es,cost_curve,,,,,99999,,baseline,1,0
rebate_es,profits,,,,,99999,,baseline,1,0
rebate_es,subsidies,,,,,99999,,baseline,1,0
rebate_es,taxes,,,,,99999,,baseline,1,0
rebate_es,wtp_batt,,,,,99999,,baseline,1,0
rebate_es,wtp_local_w_r,,,,,99999,,baseline,1,0
