program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
redd_offset,MVPF,4.155965131093153,,,,99999,,baseline,1,0
redd_offset,MVPF_no_cc,,,,,99999,,baseline,1,0
redd_offset,cost,4.23099031283519,,,,99999,.94236147,baseline,1,0
redd_offset,WTP,17.58384821013596,,,,99999,3.9164214,baseline,1,0
redd_offset,program_cost,4.48977436283519,,,,99999,,baseline,1,0
redd_offset,total_cost,4.23099031283519,,,,99999,,baseline,1,0
redd_offset,beh_fisc_ext,,,,,99999,,baseline,1,0
redd_offset,utility_fisc_ext,,,,,99999,,baseline,1,0
redd_offset,gas_fisc_ext,,,,,99999,,baseline,1,0
redd_offset,fed_fisc_ext,,,,,99999,,baseline,1,0
redd_offset,state_fisc_ext,,,,,99999,,baseline,1,0
redd_offset,WTP_USPres,0,,,,99999,,baseline,1,0
redd_offset,WTP_USFut,1.76771595,,,,99999,,baseline,1,0
redd_offset,WTP_RoW,15.81613226013596,,,,99999,,baseline,1,0
redd_offset,WTP_USTotal,,,,,99999,,baseline,1,0
redd_offset,enviro_mvpf,,,,,99999,,baseline,1,0
redd_offset,cost_mvpf,,,,,99999,,baseline,1,0
redd_offset,firm_mvpf,,,,,99999,,baseline,1,0
redd_offset,cost_wtp,,,,,99999,,baseline,1,0
redd_offset,env_cost_wtp,,,,,99999,,baseline,1,0
redd_offset,marginal,,,,,99999,,baseline,1,0
redd_offset,infmarg,,,,,99999,,baseline,1,0
redd_offset,wtp_private,,,,,99999,,baseline,1,0
redd_offset,wtp_soc,,,,,99999,,baseline,1,0
redd_offset,wtp_no_ice,,,,,99999,,baseline,1,0
redd_offset,wtp_yes_ev,,,,,99999,,baseline,1,0
redd_offset,wtp_yes_hev,,,,,99999,,baseline,1,0
redd_offset,wtp_soc_rbd,,,,,99999,,baseline,1,0
redd_offset,wtp_yes_ev_local,,,,,99999,,baseline,1,0
redd_offset,wtp_no_ice_local,,,,,99999,,baseline,1,0
redd_offset,env_cost_wtp_l,,,,,99999,,baseline,1,0
redd_offset,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
redd_offset,wtp_yes_ev_g,,,,,99999,,baseline,1,0
redd_offset,wtp_no_ice_g,,,,,99999,,baseline,1,0
redd_offset,env_cost_wtp_g,,,,,99999,,baseline,1,0
redd_offset,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
redd_offset,wtp_marg,.1571421026992318,,,,99999,,baseline,1,0
redd_offset,wtp_inf,4.175490157436727,,,,99999,,baseline,1,0
redd_offset,wtp_glob,13.25121595,,,,99999,,baseline,1,0
redd_offset,wtp_loc,0,,,,99999,,baseline,1,0
redd_offset,wtp_r_glob,0,,,,99999,,baseline,1,0
redd_offset,wtp_r_loc,0,,,,99999,,baseline,1,0
