program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
west_gas,MVPF,.3368895288410823,,,,99999,,baseline,1,0
west_gas,MVPF_no_cc,.3368895288410823,,,,99999,,baseline,1,0
west_gas,cost,.8003751466328715,,,,99999,.80037516,baseline,1,0
west_gas,WTP,.2696380060452602,,,,99999,.269638,baseline,1,0
west_gas,program_cost,1,,,,99999,,baseline,1,0
west_gas,total_cost,.8003751466328715,,,,99999,,baseline,1,0
west_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
west_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
west_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
west_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
west_gas,state_fisc_ext,,,,,99999,,baseline,1,0
west_gas,WTP_USPres,.5646113824871893,,,,99999,,baseline,1,0
west_gas,WTP_USFut,-.0393495317206533,,,,99999,,baseline,1,0
west_gas,WTP_RoW,-.2556238447212758,,,,99999,,baseline,1,0
west_gas,WTP_USTotal,,,,,99999,,baseline,1,0
west_gas,enviro_mvpf,,,,,99999,,baseline,1,0
west_gas,cost_mvpf,,,,,99999,,baseline,1,0
west_gas,firm_mvpf,,,,,99999,,baseline,1,0
west_gas,cost_wtp,0,,,,99999,,baseline,1,0
west_gas,env_cost_wtp,0,,,,99999,,baseline,1,0
west_gas,marginal,,,,,99999,,baseline,1,0
west_gas,infmarg,,,,,99999,,baseline,1,0
west_gas,wtp_private,,,,,99999,,baseline,1,0
west_gas,wtp_soc,-.9007021600732118,,,,99999,,baseline,1,0
west_gas,wtp_no_ice,,,,,99999,,baseline,1,0
west_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
west_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
west_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
west_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
west_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
west_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
west_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
west_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
west_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
west_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
west_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
west_gas,wtp_marg,,,,,99999,,baseline,1,0
west_gas,wtp_inf,,,,,99999,,baseline,1,0
