program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
wisc_rf,MVPF,.9286343612334801,,,,99999,,baseline,1,0
wisc_rf,MVPF_no_cc,,,,,99999,,baseline,1,0
wisc_rf,cost,11.35,,,,99999,1,baseline,1,0
wisc_rf,WTP,10.54,,,,99999,.92863435,baseline,1,0
wisc_rf,program_cost,11.35,,,,99999,,baseline,1,0
wisc_rf,total_cost,11.35,,,,99999,,baseline,1,0
wisc_rf,beh_fisc_ext,,,,,99999,,baseline,1,0
wisc_rf,utility_fisc_ext,,,,,99999,,baseline,1,0
wisc_rf,gas_fisc_ext,,,,,99999,,baseline,1,0
wisc_rf,fed_fisc_ext,,,,,99999,,baseline,1,0
wisc_rf,state_fisc_ext,,,,,99999,,baseline,1,0
wisc_rf,WTP_USPres,10.01569705651671,,,,99999,,baseline,1,0
wisc_rf,WTP_USFut,.0786454415224938,,,,99999,,baseline,1,0
wisc_rf,WTP_RoW,.4456575019607982,,,,99999,,baseline,1,0
wisc_rf,WTP_USTotal,,,,,99999,,baseline,1,0
wisc_rf,enviro_mvpf,,,,,99999,,baseline,1,0
wisc_rf,cost_mvpf,,,,,99999,,baseline,1,0
wisc_rf,firm_mvpf,,,,,99999,,baseline,1,0
wisc_rf,cost_wtp,,,,,99999,,baseline,1,0
wisc_rf,env_cost_wtp,,,,,99999,,baseline,1,0
wisc_rf,marginal,,,,,99999,,baseline,1,0
wisc_rf,infmarg,,,,,99999,,baseline,1,0
wisc_rf,wtp_private,,,,,99999,,baseline,1,0
wisc_rf,wtp_soc,.8700000000000001,,,,99999,,baseline,1,0
wisc_rf,wtp_no_ice,,,,,99999,,baseline,1,0
wisc_rf,wtp_yes_ev,,,,,99999,,baseline,1,0
wisc_rf,wtp_yes_hev,,,,,99999,,baseline,1,0
wisc_rf,wtp_soc_rbd,,,,,99999,,baseline,1,0
wisc_rf,wtp_yes_ev_local,,,,,99999,,baseline,1,0
wisc_rf,wtp_no_ice_local,,,,,99999,,baseline,1,0
wisc_rf,env_cost_wtp_l,,,,,99999,,baseline,1,0
wisc_rf,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
wisc_rf,wtp_yes_ev_g,,,,,99999,,baseline,1,0
wisc_rf,wtp_no_ice_g,,,,,99999,,baseline,1,0
wisc_rf,env_cost_wtp_g,,,,,99999,,baseline,1,0
wisc_rf,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
wisc_rf,wtp_marg,,,,,99999,,baseline,1,0
wisc_rf,wtp_inf,,,,,99999,,baseline,1,0
wisc_rf,wtp_glob,.524302943483292,,,,99999,,baseline,1,0
wisc_rf,wtp_loc,.3456970565167081,,,,99999,,baseline,1,0
wisc_rf,wtp_r_glob,0,,,,99999,,baseline,1,0
wisc_rf,wtp_r_loc,0,,,,99999,,baseline,1,0
wisc_rf,wtp_e_cost,,,,,99999,,baseline,1,0
wisc_rf,WTP_cc,,,,,99999,,baseline,1,0
wisc_rf,wtp_install,,,,,99999,,baseline,1,0
wisc_rf,wtp_prod,.21,,,,99999,,baseline,1,0
wisc_rf,wtp_prod_s,,,,,99999,,baseline,1,0
wisc_rf,wtp_prod_u,,,,,99999,,baseline,1,0
wisc_rf,wtp_cons,9.879999999999999,,,,99999,,baseline,1,0
wisc_rf,wtp_deal,,,,,99999,,baseline,1,0
wisc_rf,admin_cost,,,,,99999,,baseline,1,0
wisc_rf,wtp_permits,,,,,99999,,baseline,1,0
wisc_rf,wtp_abatement,,,,,99999,,baseline,1,0
wisc_rf,permitrev,,,,,99999,,baseline,1,0
wisc_rf,wtp_no_leak,,,,,99999,,baseline,1,0
wisc_rf,wtp_leak,,,,,99999,,baseline,1,0
