program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
bolk_Spain,MVPF,9.018084138290257,,,,,baseline,1,0
bolk_Spain,MVPF_no_cc,5.683518497777934,,,,,baseline,1,0
bolk_Spain,cost,113.9880709721693,,,,1.3796272,baseline,1,0
bolk_Spain,WTP,681.2237312606044,,,,8.2450275,baseline,1,0
bolk_Spain,program_cost,82.62236706367088,,,,,baseline,1,0
bolk_Spain,total_cost,113.9880709721693,,,,,baseline,1,0
bolk_Spain,beh_fisc_ext,,,,,,baseline,1,0
bolk_Spain,utility_fisc_ext,,,,,,baseline,1,0
bolk_Spain,gas_fisc_ext,,,,,,baseline,1,0
bolk_Spain,fed_fisc_ext,,,,,,baseline,1,0
bolk_Spain,state_fisc_ext,,,,,,baseline,1,0
bolk_Spain,WTP_USPres,248.0656255042985,,,,,baseline,1,0
bolk_Spain,WTP_USFut,110.6177244388912,,,,,baseline,1,0
bolk_Spain,WTP_RoW,669.2706648452339,,,,,baseline,1,0
bolk_Spain,WTP_USTotal,,,,,,baseline,1,0
bolk_Spain,enviro_mvpf,3.276884726238251,,,,,baseline,1,0
bolk_Spain,cost_mvpf,.9196820855140686,,,,,baseline,1,0
bolk_Spain,firm_mvpf,,,,,,baseline,1,0
bolk_Spain,cost_wtp,75.98631085122572,,,,,baseline,1,0
bolk_Spain,env_cost_wtp,270.7439726765934,,,,,baseline,1,0
bolk_Spain,marginal,,,,,,baseline,1,0
bolk_Spain,infmarg,,,,,,baseline,1,0
bolk_Spain,wtp_private,82.62236706367088,,,,,baseline,1,0
bolk_Spain,wtp_soc,607.3549816877511,,,,,baseline,1,0
bolk_Spain,wtp_no_ice,,,,,,baseline,1,0
bolk_Spain,wtp_yes_ev,,,,,,baseline,1,0
bolk_Spain,wtp_yes_hev,,,,,,baseline,1,0
bolk_Spain,wtp_soc_rbd,-148.5207296398309,,,,,baseline,1,0
bolk_Spain,wtp_yes_ev_local,,,,,,baseline,1,0
bolk_Spain,wtp_no_ice_local,,,,,,baseline,1,0
bolk_Spain,env_cost_wtp_l,15.07692153583002,,,,,baseline,1,0
bolk_Spain,wtp_soc_rbd_l,,,,,,baseline,1,0
bolk_Spain,wtp_yes_ev_g,,,,,,baseline,1,0
bolk_Spain,wtp_no_ice_g,,,,,,baseline,1,0
bolk_Spain,env_cost_wtp_g,255.6670511407634,,,,,baseline,1,0
bolk_Spain,wtp_soc_rbd_g,,,,,,baseline,1,0
bolk_Spain,wtp_marg,,,,,,baseline,1,0
bolk_Spain,wtp_inf,,,,,,baseline,1,0
bolk_Spain,wtp_glob,459.3900673064161,,,,,baseline,1,0
bolk_Spain,wtp_loc,150.3663369047976,,,,,baseline,1,0
bolk_Spain,wtp_r_glob,-111.8954184235285,,,,,baseline,1,0
bolk_Spain,wtp_r_loc,-36.62531121630239,,,,,baseline,1,0
bolk_Spain,wtp_e_cost,-11.15504001428017,,,,,baseline,1,0
bolk_Spain,WTP_cc,1027.954014788424,,,,,baseline,1,0
bolk_Spain,wtp_install,,,,,,baseline,1,0
bolk_Spain,wtp_prod,82.62236706367088,,,,,baseline,1,0
bolk_Spain,wtp_prod_s,,,,,,baseline,1,0
bolk_Spain,wtp_prod_u,,,,,,baseline,1,0
bolk_Spain,wtp_cons,0,,,,,baseline,1,0
bolk_Spain,wtp_deal,,,,,,baseline,1,0
bolk_Spain,admin_cost,,,,,,baseline,1,0
