program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
c4a_fridge,MVPF,1.053320687739561,,,,,baseline,1,0
c4a_fridge,MVPF_no_cc,,,,,,baseline,1,0
c4a_fridge,cost,128.260487793013,,,,1.002035,baseline,1,0
c4a_fridge,WTP,135.099425211948,,,,1.0554643,baseline,1,0
c4a_fridge,program_cost,128,,,,,baseline,1,0
c4a_fridge,total_cost,,,,,,baseline,1,0
c4a_fridge,beh_fisc_ext,,,,,,baseline,1,0
c4a_fridge,utility_fisc_ext,,,,,,baseline,1,0
c4a_fridge,gas_fisc_ext,,,,,,baseline,1,0
c4a_fridge,fed_fisc_ext,,,,,,baseline,1,0
c4a_fridge,state_fisc_ext,,,,,,baseline,1,0
c4a_fridge,WTP_USPres,126.2354952869468,,,,,baseline,1,0
c4a_fridge,WTP_USFut,1.182450755253666,,,,,baseline,1,0
c4a_fridge,WTP_RoW,7.681479169747536,,,,,baseline,1,0
c4a_fridge,WTP_USTotal,,,,,,baseline,1,0
c4a_fridge,enviro_mvpf,,,,,,baseline,1,0
c4a_fridge,cost_mvpf,,,,,,baseline,1,0
c4a_fridge,firm_mvpf,,,,,,baseline,1,0
c4a_fridge,cost_wtp,,,,,,baseline,1,0
c4a_fridge,env_cost_wtp,,,,,,baseline,1,0
c4a_fridge,marginal,,,,,,baseline,1,0
c4a_fridge,infmarg,,,,,,baseline,1,0
c4a_fridge,wtp_private,,,,,,baseline,1,0
c4a_fridge,wtp_soc,13.19073340007666,,,,,baseline,1,0
c4a_fridge,wtp_no_ice,,,,,,baseline,1,0
c4a_fridge,wtp_yes_ev,,,,,,baseline,1,0
c4a_fridge,wtp_yes_hev,,,,,,baseline,1,0
c4a_fridge,wtp_soc_rbd,,,,,,baseline,1,0
c4a_fridge,wtp_yes_ev_local,,,,,,baseline,1,0
c4a_fridge,wtp_no_ice_local,,,,,,baseline,1,0
c4a_fridge,env_cost_wtp_l,,,,,,baseline,1,0
c4a_fridge,wtp_soc_rbd_l,,,,,,baseline,1,0
c4a_fridge,wtp_yes_ev_g,,,,,,baseline,1,0
c4a_fridge,wtp_no_ice_g,,,,,,baseline,1,0
c4a_fridge,env_cost_wtp_g,,,,,,baseline,1,0
c4a_fridge,wtp_soc_rbd_g,,,,,,baseline,1,0
c4a_fridge,wtp_marg,5.12,,,,,baseline,1,0
c4a_fridge,wtp_inf,117.76,,,,,baseline,1,0
c4a_fridge,wtp_glob,11.02295167671288,,,,,baseline,1,0
c4a_fridge,wtp_loc,5.165431660212037,,,,,baseline,1,0
c4a_fridge,wtp_r_glob,-2.159021751711681,,,,,baseline,1,0
c4a_fridge,wtp_r_loc,-1.011732577485421,,,,,baseline,1,0
c4a_fridge,wtp_e_cost,,,,,,baseline,1,0
c4a_fridge,WTP_cc,,,,,,baseline,1,0
c4a_fridge,wtp_install,,,,,,baseline,1,0
c4a_fridge,wtp_prod,-.7982037957798118,,,,,baseline,1,0
c4a_fridge,wtp_prod_s,,,,,,baseline,1,0
c4a_fridge,wtp_prod_u,,,,,,baseline,1,0
c4a_fridge,wtp_cons,,,,,,baseline,1,0
c4a_fridge,wtp_deal,,,,,,baseline,1,0
c4a_fridge,admin_cost,,,,,,baseline,1,0
c4a_fridge,wtp_permits,,,,,,baseline,1,0
c4a_fridge,wtp_abatement,,,,,,baseline,1,0
c4a_fridge,permitrev,,,,,,baseline,1,0
c4a_fridge,wtp_no_leak,,,,,,baseline,1,0
