program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
c4a_fridge,MVPF,1.053320687739561,,,,99999,,baseline,1,0
c4a_fridge,MVPF_no_cc,,,,,99999,,baseline,1,0
c4a_fridge,cost,128.260487793013,,,,99999,1.002035,baseline,1,0
c4a_fridge,WTP,135.099425211948,,,,99999,1.0554643,baseline,1,0
c4a_fridge,program_cost,128,,,,99999,,baseline,1,0
c4a_fridge,total_cost,,,,,99999,,baseline,1,0
c4a_fridge,beh_fisc_ext,,,,,99999,,baseline,1,0
c4a_fridge,utility_fisc_ext,,,,,99999,,baseline,1,0
c4a_fridge,gas_fisc_ext,,,,,99999,,baseline,1,0
c4a_fridge,fed_fisc_ext,,,,,99999,,baseline,1,0
c4a_fridge,state_fisc_ext,,,,,99999,,baseline,1,0
c4a_fridge,WTP_USPres,126.2354952869468,,,,99999,,baseline,1,0
c4a_fridge,WTP_USFut,1.182450755253666,,,,99999,,baseline,1,0
c4a_fridge,WTP_RoW,7.681479169747536,,,,99999,,baseline,1,0
c4a_fridge,WTP_USTotal,,,,,99999,,baseline,1,0
c4a_fridge,enviro_mvpf,,,,,99999,,baseline,1,0
c4a_fridge,cost_mvpf,,,,,99999,,baseline,1,0
c4a_fridge,firm_mvpf,,,,,99999,,baseline,1,0
c4a_fridge,cost_wtp,,,,,99999,,baseline,1,0
c4a_fridge,env_cost_wtp,,,,,99999,,baseline,1,0
c4a_fridge,marginal,,,,,99999,,baseline,1,0
c4a_fridge,infmarg,,,,,99999,,baseline,1,0
c4a_fridge,wtp_private,,,,,99999,,baseline,1,0
c4a_fridge,wtp_soc,13.19073340007666,,,,99999,,baseline,1,0
c4a_fridge,wtp_no_ice,,,,,99999,,baseline,1,0
c4a_fridge,wtp_yes_ev,,,,,99999,,baseline,1,0
c4a_fridge,wtp_yes_hev,,,,,99999,,baseline,1,0
c4a_fridge,wtp_soc_rbd,,,,,99999,,baseline,1,0
c4a_fridge,wtp_yes_ev_local,,,,,99999,,baseline,1,0
c4a_fridge,wtp_no_ice_local,,,,,99999,,baseline,1,0
c4a_fridge,env_cost_wtp_l,,,,,99999,,baseline,1,0
c4a_fridge,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
c4a_fridge,wtp_yes_ev_g,,,,,99999,,baseline,1,0
c4a_fridge,wtp_no_ice_g,,,,,99999,,baseline,1,0
c4a_fridge,env_cost_wtp_g,,,,,99999,,baseline,1,0
c4a_fridge,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
c4a_fridge,wtp_marg,5.12,,,,99999,,baseline,1,0
c4a_fridge,wtp_inf,117.76,,,,99999,,baseline,1,0
c4a_fridge,wtp_glob,11.02295167671288,,,,99999,,baseline,1,0
c4a_fridge,wtp_loc,5.165431660212037,,,,99999,,baseline,1,0
c4a_fridge,wtp_r_glob,-2.159021751711681,,,,99999,,baseline,1,0
c4a_fridge,wtp_r_loc,-1.011732577485421,,,,99999,,baseline,1,0
c4a_fridge,wtp_e_cost,,,,,99999,,baseline,1,0
c4a_fridge,WTP_cc,,,,,99999,,baseline,1,0
c4a_fridge,wtp_install,,,,,99999,,baseline,1,0
c4a_fridge,wtp_prod,-.7982037957798118,,,,99999,,baseline,1,0
c4a_fridge,wtp_prod_s,,,,,99999,,baseline,1,0
c4a_fridge,wtp_prod_u,,,,,99999,,baseline,1,0
c4a_fridge,wtp_cons,,,,,99999,,baseline,1,0
c4a_fridge,wtp_deal,,,,,99999,,baseline,1,0
c4a_fridge,admin_cost,,,,,99999,,baseline,1,0
c4a_fridge,wtp_permits,,,,,99999,,baseline,1,0
c4a_fridge,wtp_abatement,,,,,99999,,baseline,1,0
c4a_fridge,permitrev,,,,,99999,,baseline,1,0
c4a_fridge,wtp_no_leak,,,,,99999,,baseline,1,0
c4a_fridge,wtp_leak,,,,,99999,,baseline,1,0
c4a_fridge,wtp_soc_g,,,,,99999,,baseline,1,0
c4a_fridge,wtp_soc_l,,,,,99999,,baseline,1,0
c4a_fridge,fisc_ext_t,.4335921853618676,,,,99999,,baseline,1,0
c4a_fridge,fisc_ext_s,0,,,,99999,,baseline,1,0
c4a_fridge,fisc_ext_lr,-.1731043923488401,,,,99999,,baseline,1,0
c4a_fridge,q_CO2,.0633133712394494,,,,99999,,baseline,1,0
c4a_fridge,q_CO2_no,,,,,99999,,baseline,1,0
c4a_fridge,p_spend,128,,,,99999,,baseline,1,0
c4a_fridge,ev_sub_c,,,,,99999,,baseline,1,0
c4a_fridge,ev_sub_c_row,,,,,99999,,baseline,1,0
c4a_fridge,ev_sub_c_us,,,,,99999,,baseline,1,0
c4a_fridge,ev_sub_env,,,,,99999,,baseline,1,0
c4a_fridge,ev_sub_cost,,,,,99999,,baseline,1,0
c4a_fridge,profits_fisc_e,,,,,99999,,baseline,1,0
c4a_fridge,wtp_soc_l_po,,,,,99999,,baseline,1,0
c4a_fridge,wtp_soc_l_dr,,,,,99999,,baseline,1,0
c4a_fridge,gov_carbon,.0644987915762849,,,,99999,,baseline,1,0
c4a_fridge,resource_ce,-346.0488589208534,,,,99999,,baseline,1,0
c4a_fridge,q_carbon_mck,.8062348947035617,,,,99999,,baseline,1,0
c4a_fridge,semie,,,,,99999,,baseline,1,0
c4a_fridge,pass_through,,,,,99999,,baseline,1,0
c4a_fridge,permitrev_new,,,,,99999,,baseline,1,0
c4a_fridge,permitrev_ex,,,,,99999,,baseline,1,0
c4a_fridge,fiscalext,,,,,99999,,baseline,1,0
c4a_fridge,firm_cost_wtp,,,,,99999,,baseline,1,0
c4a_fridge,c_savings,0,,,,99999,,baseline,1,0
c4a_fridge,resource_cost,,,,,99999,,baseline,1,0
c4a_fridge,q_CO2_mck,,,,,99999,,baseline,1,0
c4a_fridge,q_CO2_mck_no,,,,,99999,,baseline,1,0
c4a_fridge,wtp_ctr,,,,,99999,,baseline,1,0
c4a_fridge,gas_corp_fisc_e,,,,,99999,,baseline,1,0
c4a_fridge,epsilon,,,,,99999,,baseline,1,0
c4a_fridge,transfer,,,,,99999,,baseline,1,0
c4a_fridge,enviro_wtp,,,,,99999,,baseline,1,0
c4a_fridge,cost_curve,,,,,99999,,baseline,1,0
c4a_fridge,profits,,,,,99999,,baseline,1,0
c4a_fridge,subsidies,,,,,99999,,baseline,1,0
c4a_fridge,taxes,,,,,99999,,baseline,1,0
c4a_fridge,wtp_batt,,,,,99999,,baseline,1,0
c4a_fridge,wtp_local_w_r,,,,,99999,,baseline,1,0
c4a_fridge,wind_g_wf,,,,,99999,,baseline,1,0
c4a_fridge,wind_l_wf,,,,,99999,,baseline,1,0
