program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
cafe_dk,MVPF,,,,,,baseline,1,0
cafe_dk,MVPF_no_cc,,,,,,baseline,1,0
cafe_dk,cost,.3885110182177561,,,,,baseline,1,0
cafe_dk,WTP,.3370559465164936,,,,,baseline,1,0
cafe_dk,program_cost,0,,,,,baseline,1,0
cafe_dk,total_cost,,,,,,baseline,1,0
cafe_dk,beh_fisc_ext,,,,,,baseline,1,0
cafe_dk,utility_fisc_ext,,,,,,baseline,1,0
cafe_dk,gas_fisc_ext,,,,,,baseline,1,0
cafe_dk,fed_fisc_ext,,,,,,baseline,1,0
cafe_dk,state_fisc_ext,,,,,,baseline,1,0
cafe_dk,WTP_USPres,,,,,,baseline,1,0
cafe_dk,WTP_USFut,,,,,,baseline,1,0
cafe_dk,WTP_RoW,,,,,,baseline,1,0
cafe_dk,WTP_USTotal,,,,,,baseline,1,0
cafe_dk,enviro_mvpf,,,,,,baseline,1,0
cafe_dk,cost_mvpf,,,,,,baseline,1,0
cafe_dk,firm_mvpf,,,,,,baseline,1,0
cafe_dk,cost_wtp,,,,,,baseline,1,0
cafe_dk,env_cost_wtp,,,,,,baseline,1,0
cafe_dk,marginal,,,,,,baseline,1,0
cafe_dk,infmarg,,,,,,baseline,1,0
cafe_dk,wtp_private,,,,,,baseline,1,0
cafe_dk,wtp_soc,1,,,,,baseline,1,0
cafe_dk,wtp_no_ice,,,,,,baseline,1,0
cafe_dk,wtp_yes_ev,,,,,,baseline,1,0
cafe_dk,wtp_yes_hev,,,,,,baseline,1,0
cafe_dk,wtp_soc_rbd,,,,,,baseline,1,0
cafe_dk,wtp_yes_ev_local,,,,,,baseline,1,0
cafe_dk,wtp_no_ice_local,,,,,,baseline,1,0
cafe_dk,env_cost_wtp_l,,,,,,baseline,1,0
cafe_dk,wtp_soc_rbd_l,,,,,,baseline,1,0
cafe_dk,wtp_yes_ev_g,,,,,,baseline,1,0
cafe_dk,wtp_no_ice_g,,,,,,baseline,1,0
cafe_dk,env_cost_wtp_g,,,,,,baseline,1,0
cafe_dk,wtp_soc_rbd_g,,,,,,baseline,1,0
cafe_dk,wtp_marg,,,,,,baseline,1,0
cafe_dk,wtp_inf,,,,,,baseline,1,0
cafe_dk,wtp_glob,,,,,,baseline,1,0
