program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
cookstoves,MVPF,301.3090475709199,,,,,baseline,1,0
cookstoves,MVPF_no_cc,,,,,,baseline,1,0
cookstoves,cost,2.734489080920991,,,,.16724704,baseline,1,0
cookstoves,WTP,823.9263005653841,,,,50.393047,baseline,1,0
cookstoves,program_cost,16.35,,,,,baseline,1,0
cookstoves,total_cost,,,,,,baseline,1,0
cookstoves,beh_fisc_ext,,,,,,baseline,1,0
cookstoves,utility_fisc_ext,,,,,,baseline,1,0
cookstoves,gas_fisc_ext,,,,,,baseline,1,0
cookstoves,fed_fisc_ext,,,,,,baseline,1,0
cookstoves,state_fisc_ext,,,,,,baseline,1,0
cookstoves,WTP_USPres,0,,,,,baseline,1,0
cookstoves,WTP_USFut,93.00556127417867,,,,,baseline,1,0
cookstoves,WTP_RoW,730.9207392912052,,,,,baseline,1,0
cookstoves,WTP_USTotal,,,,,,baseline,1,0
cookstoves,enviro_mvpf,,,,,,baseline,1,0
cookstoves,cost_mvpf,,,,,,baseline,1,0
cookstoves,firm_mvpf,,,,,,baseline,1,0
cookstoves,cost_wtp,,,,,,baseline,1,0
cookstoves,env_cost_wtp,,,,,,baseline,1,0
cookstoves,marginal,,,,,,baseline,1,0
cookstoves,infmarg,,,,,,baseline,1,0
cookstoves,wtp_private,,,,,,baseline,1,0
cookstoves,wtp_soc,,,,,,baseline,1,0
cookstoves,wtp_no_ice,,,,,,baseline,1,0
cookstoves,wtp_yes_ev,,,,,,baseline,1,0
cookstoves,wtp_yes_hev,,,,,,baseline,1,0
cookstoves,wtp_soc_rbd,,,,,,baseline,1,0
cookstoves,wtp_yes_ev_local,,,,,,baseline,1,0
cookstoves,wtp_no_ice_local,,,,,,baseline,1,0
cookstoves,env_cost_wtp_l,,,,,,baseline,1,0
cookstoves,wtp_soc_rbd_l,,,,,,baseline,1,0
cookstoves,wtp_yes_ev_g,,,,,,baseline,1,0
cookstoves,wtp_no_ice_g,,,,,,baseline,1,0
cookstoves,env_cost_wtp_g,,,,,,baseline,1,0
cookstoves,wtp_soc_rbd_g,,,,,,baseline,1,0
cookstoves,wtp_marg,126.5546635294118,,,,,baseline,1,0
cookstoves,wtp_inf,.18,,,,,baseline,1,0
cookstoves,wtp_glob,,,,,,baseline,1,0
cookstoves,wtp_loc,,,,,,baseline,1,0
cookstoves,wtp_r_glob,,,,,,baseline,1,0
cookstoves,wtp_r_loc,,,,,,baseline,1,0
cookstoves,wtp_e_cost,,,,,,baseline,1,0
cookstoves,WTP_cc,,,,,,baseline,1,0
cookstoves,wtp_install,,,,,,baseline,1,0
cookstoves,wtp_prod,,,,,,baseline,1,0
cookstoves,wtp_prod_s,,,,,,baseline,1,0
cookstoves,wtp_prod_u,,,,,,baseline,1,0
cookstoves,wtp_cons,,,,,,baseline,1,0
cookstoves,wtp_deal,,,,,,baseline,1,0
cookstoves,admin_cost,,,,,,baseline,1,0
cookstoves,wtp_permits,,,,,,baseline,1,0
cookstoves,wtp_abatement,,,,,,baseline,1,0
cookstoves,permitrev,,,,,,baseline,1,0
cookstoves,wtp_no_leak,,,,,,baseline,1,0
cookstoves,wtp_leak,,,,,,baseline,1,0
cookstoves,wtp_soc_g,697.1916370359722,,,,,baseline,1,0
cookstoves,wtp_soc_l,0,,,,,baseline,1,0
cookstoves,fisc_ext_t,0,,,,,baseline,1,0
cookstoves,fisc_ext_s,0,,,,,baseline,1,0
cookstoves,fisc_ext_lr,-13.61551091907901,,,,,baseline,1,0
cookstoves,q_CO2,,,,,,baseline,1,0
cookstoves,q_CO2_no,,,,,,baseline,1,0
cookstoves,p_spend,,,,,,baseline,1,0
cookstoves,ev_sub_c,,,,,,baseline,1,0
cookstoves,ev_sub_c_row,,,,,,baseline,1,0
cookstoves,ev_sub_c_us,,,,,,baseline,1,0
cookstoves,ev_sub_env,,,,,,baseline,1,0
cookstoves,ev_sub_cost,,,,,,baseline,1,0
cookstoves,profits_fisc_e,,,,,,baseline,1,0
cookstoves,wtp_soc_l_po,,,,,,baseline,1,0
cookstoves,wtp_soc_l_dr,,,,,,baseline,1,0
cookstoves,gov_carbon,,,,,,baseline,1,0
cookstoves,resource_ce,,,,,,baseline,1,0
cookstoves,q_carbon_mck,,,,,,baseline,1,0
cookstoves,semie,,,,,,baseline,1,0
cookstoves,pass_through,,,,,,baseline,1,0
cookstoves,permitrev_new,,,,,,baseline,1,0
cookstoves,permitrev_ex,,,,,,baseline,1,0
cookstoves,fiscalext,,,,,,baseline,1,0
cookstoves,firm_cost_wtp,,,,,,baseline,1,0
cookstoves,c_savings,,,,,,baseline,1,0
cookstoves,resource_cost,,,,,,baseline,1,0
cookstoves,q_CO2_mck,,,,,,baseline,1,0
cookstoves,q_CO2_mck_no,,,,,,baseline,1,0
cookstoves,wtp_ctr,,,,,,baseline,1,0
cookstoves,gas_corp_fisc_e,,,,,,baseline,1,0
cookstoves,epsilon,,,,,,baseline,1,0
cookstoves,transfer,,,,,,baseline,1,0
cookstoves,enviro_wtp,,,,,,baseline,1,0
cookstoves,cost_curve,,,,,,baseline,1,0
cookstoves,profits,,,,,,baseline,1,0
cookstoves,subsidies,,,,,,baseline,1,0
cookstoves,taxes,,,,,,baseline,1,0
cookstoves,wtp_batt,,,,,,baseline,1,0
cookstoves,wtp_local_w_r,,,,,,baseline,1,0
cookstoves,wind_g_wf,,,,,,baseline,1,0
cookstoves,wind_l_wf,,,,,,baseline,1,0
