program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
ct_solar,MVPF,.6457377662680139,,,,99999,,baseline,1,0
ct_solar,MVPF_no_cc,,,,,99999,,baseline,1,0
ct_solar,cost,17102.16096174542,,,,99999,2.3919106,baseline,1,0
ct_solar,WTP,7180.190149169609,,,,99999,1.0042224,baseline,1,0
ct_solar,program_cost,7150,,,,99999,,baseline,1,0
ct_solar,total_cost,,,,,99999,,baseline,1,0
ct_solar,beh_fisc_ext,,,,,99999,,baseline,1,0
ct_solar,utility_fisc_ext,,,,,99999,,baseline,1,0
ct_solar,gas_fisc_ext,,,,,99999,,baseline,1,0
ct_solar,fed_fisc_ext,,,,,99999,,baseline,1,0
ct_solar,state_fisc_ext,,,,,99999,,baseline,1,0
ct_solar,WTP_USPres,5223.617517065416,,,,99999,,baseline,1,0
ct_solar,WTP_USFut,821.5647058286154,,,,99999,,baseline,1,0
ct_solar,WTP_RoW,4998.328994899485,,,,99999,,baseline,1,0
ct_solar,WTP_USTotal,,,,,99999,,baseline,1,0
ct_solar,enviro_mvpf,.1595847870974615,,,,99999,,baseline,1,0
ct_solar,cost_mvpf,.380739837884903,,,,99999,,baseline,1,0
ct_solar,firm_mvpf,0,,,,99999,,baseline,1,0
ct_solar,cost_wtp,2722.289840877057,,,,99999,,baseline,1,0
ct_solar,env_cost_wtp,1141.03122774685,,,,99999,,baseline,1,0
ct_solar,marginal,,,,,99999,,baseline,1,0
ct_solar,infmarg,,,,,99999,,baseline,1,0
ct_solar,wtp_private,4855.675789065321,,,,99999,,baseline,1,0
ct_solar,wtp_soc,2365.09027003553,,,,99999,,baseline,1,0
ct_solar,wtp_no_ice,,,,,99999,,baseline,1,0
ct_solar,wtp_yes_ev,,,,,99999,,baseline,1,0
ct_solar,wtp_yes_hev,,,,,99999,,baseline,1,0
ct_solar,wtp_soc_rbd,,,,,99999,,baseline,1,0
ct_solar,wtp_yes_ev_local,,,,,99999,,baseline,1,0
ct_solar,wtp_no_ice_local,,,,,99999,,baseline,1,0
