program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
esa_fridge,MVPF,.5724221815864668,,,,99999,,baseline,1,0
esa_fridge,MVPF_no_cc,,,,,99999,,baseline,1,0
esa_fridge,cost,914.3689795010424,,,,99999,1.0757282,baseline,1,0
esa_fridge,WTP,523.405086020978,,,,99999,.6157707,baseline,1,0
esa_fridge,program_cost,850,,,,99999,,baseline,1,0
esa_fridge,total_cost,914.3689795010424,,,,99999,,baseline,1,0
esa_fridge,beh_fisc_ext,,,,,99999,,baseline,1,0
esa_fridge,utility_fisc_ext,,,,,99999,,baseline,1,0
esa_fridge,gas_fisc_ext,,,,,99999,,baseline,1,0
esa_fridge,fed_fisc_ext,,,,,99999,,baseline,1,0
esa_fridge,state_fisc_ext,,,,,99999,,baseline,1,0
esa_fridge,WTP_USPres,319.2435036192095,,,,99999,,baseline,1,0
esa_fridge,WTP_USFut,27.23521274957758,,,,99999,,baseline,1,0
esa_fridge,WTP_RoW,176.9263696521911,,,,99999,,baseline,1,0
esa_fridge,WTP_USTotal,,,,,99999,,baseline,1,0
esa_fridge,enviro_mvpf,,,,,99999,,baseline,1,0
esa_fridge,cost_mvpf,,,,,99999,,baseline,1,0
esa_fridge,firm_mvpf,,,,,99999,,baseline,1,0
esa_fridge,cost_wtp,,,,,99999,,baseline,1,0
esa_fridge,env_cost_wtp,,,,,99999,,baseline,1,0
esa_fridge,marginal,,,,,99999,,baseline,1,0
esa_fridge,infmarg,,,,,99999,,baseline,1,0
esa_fridge,wtp_private,,,,,99999,,baseline,1,0
esa_fridge,wtp_soc,228.2294794697145,,,,99999,,baseline,1,0
esa_fridge,wtp_no_ice,,,,,99999,,baseline,1,0
esa_fridge,wtp_yes_ev,,,,,99999,,baseline,1,0
esa_fridge,wtp_yes_hev,,,,,99999,,baseline,1,0
esa_fridge,wtp_soc_rbd,,,,,99999,,baseline,1,0
esa_fridge,wtp_yes_ev_local,,,,,99999,,baseline,1,0
esa_fridge,wtp_no_ice_local,,,,,99999,,baseline,1,0
esa_fridge,env_cost_wtp_l,,,,,99999,,baseline,1,0
esa_fridge,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
esa_fridge,wtp_yes_ev_g,,,,,99999,,baseline,1,0
esa_fridge,wtp_no_ice_g,,,,,99999,,baseline,1,0
esa_fridge,env_cost_wtp_g,,,,,99999,,baseline,1,0
esa_fridge,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
