program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
fridge_mex,MVPF,.8294565806833669,,,,99999,,baseline,1,0
fridge_mex,MVPF_no_cc,,,,,99999,,baseline,1,0
fridge_mex,cost,140.5756625377013,,,,99999,.99847305,baseline,1,0
fridge_mex,WTP,116.6014083758206,,,,99999,.82819003,baseline,1,0
fridge_mex,program_cost,140.7906469096189,,,,99999,,baseline,1,0
fridge_mex,total_cost,140.5756625377013,,,,99999,,baseline,1,0
fridge_mex,beh_fisc_ext,,,,,99999,,baseline,1,0
fridge_mex,utility_fisc_ext,,,,,99999,,baseline,1,0
fridge_mex,gas_fisc_ext,,,,,99999,,baseline,1,0
fridge_mex,fed_fisc_ext,,,,,99999,,baseline,1,0
fridge_mex,state_fisc_ext,,,,,99999,,baseline,1,0
fridge_mex,WTP_USPres,0,,,,99999,,baseline,1,0
fridge_mex,WTP_USFut,1.468526762910986,,,,99999,,baseline,1,0
fridge_mex,WTP_RoW,115.1328816129096,,,,99999,,baseline,1,0
fridge_mex,WTP_USTotal,,,,,99999,,baseline,1,0
fridge_mex,enviro_mvpf,,,,,99999,,baseline,1,0
fridge_mex,cost_mvpf,,,,,99999,,baseline,1,0
fridge_mex,firm_mvpf,,,,,99999,,baseline,1,0
fridge_mex,cost_wtp,,,,,99999,,baseline,1,0
fridge_mex,env_cost_wtp,,,,,99999,,baseline,1,0
fridge_mex,marginal,,,,,99999,,baseline,1,0
fridge_mex,infmarg,,,,,99999,,baseline,1,0
fridge_mex,wtp_private,,,,,99999,,baseline,1,0
fridge_mex,wtp_soc,,,,,99999,,baseline,1,0
fridge_mex,wtp_no_ice,,,,,99999,,baseline,1,0
fridge_mex,wtp_yes_ev,,,,,99999,,baseline,1,0
fridge_mex,wtp_yes_hev,,,,,99999,,baseline,1,0
fridge_mex,wtp_soc_rbd,,,,,99999,,baseline,1,0
fridge_mex,wtp_yes_ev_local,,,,,99999,,baseline,1,0
fridge_mex,wtp_no_ice_local,,,,,99999,,baseline,1,0
fridge_mex,env_cost_wtp_l,,,,,99999,,baseline,1,0
fridge_mex,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
fridge_mex,wtp_yes_ev_g,,,,,99999,,baseline,1,0
fridge_mex,wtp_no_ice_g,,,,,99999,,baseline,1,0
fridge_mex,env_cost_wtp_g,,,,,99999,,baseline,1,0
fridge_mex,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
fridge_mex,wtp_marg,35.19766172740473,,,,99999,,baseline,1,0
fridge_mex,wtp_inf,70.39532345480946,,,,99999,,baseline,1,0
fridge_mex,wtp_glob,13.68978747876461,,,,99999,,baseline,1,0
fridge_mex,wtp_loc,0,,,,99999,,baseline,1,0
fridge_mex,wtp_r_glob,-2.681364285158235,,,,99999,,baseline,1,0
fridge_mex,wtp_r_loc,0,,,,99999,,baseline,1,0
fridge_mex,wtp_e_cost,,,,,99999,,baseline,1,0
fridge_mex,WTP_cc,,,,,99999,,baseline,1,0
fridge_mex,wtp_install,,,,,99999,,baseline,1,0
fridge_mex,wtp_prod,,,,,99999,,baseline,1,0
fridge_mex,wtp_prod_s,,,,,99999,,baseline,1,0
fridge_mex,wtp_prod_u,,,,,99999,,baseline,1,0
fridge_mex,wtp_cons,105.5929851822142,,,,99999,,baseline,1,0
fridge_mex,wtp_deal,,,,,99999,,baseline,1,0
