program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
h_gas_75_80,MVPF,.567482183066825,,,,99999,,baseline,1,0
h_gas_75_80,MVPF_no_cc,.567482183066825,,,,99999,,baseline,1,0
h_gas_75_80,cost,.8857874695083269,,,,99999,.88578749,baseline,1,0
h_gas_75_80,WTP,.502668606929824,,,,99999,.50266862,baseline,1,0
h_gas_75_80,program_cost,1,,,,99999,,baseline,1,0
h_gas_75_80,total_cost,.8857874695083269,,,,99999,,baseline,1,0
h_gas_75_80,beh_fisc_ext,,,,,99999,,baseline,1,0
h_gas_75_80,utility_fisc_ext,,,,,99999,,baseline,1,0
h_gas_75_80,gas_fisc_ext,,,,,99999,,baseline,1,0
h_gas_75_80,fed_fisc_ext,,,,,99999,,baseline,1,0
h_gas_75_80,state_fisc_ext,,,,,99999,,baseline,1,0
h_gas_75_80,WTP_USPres,.643189325664671,,,,99999,,baseline,1,0
h_gas_75_80,WTP_USFut,-.0187455035636223,,,,99999,,baseline,1,0
h_gas_75_80,WTP_RoW,-.1217752151712248,,,,99999,,baseline,1,0
h_gas_75_80,WTP_USTotal,,,,,99999,,baseline,1,0
h_gas_75_80,enviro_mvpf,,,,,99999,,baseline,1,0
h_gas_75_80,cost_mvpf,,,,,99999,,baseline,1,0
h_gas_75_80,firm_mvpf,,,,,99999,,baseline,1,0
h_gas_75_80,cost_wtp,0,,,,99999,,baseline,1,0
h_gas_75_80,env_cost_wtp,0,,,,99999,,baseline,1,0
h_gas_75_80,marginal,,,,,99999,,baseline,1,0
h_gas_75_80,infmarg,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_private,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_soc,-.6126775915733055,,,,99999,,baseline,1,0
h_gas_75_80,wtp_no_ice,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_yes_ev,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_yes_hev,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_soc_rbd,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_yes_ev_local,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_no_ice_local,,,,,99999,,baseline,1,0
h_gas_75_80,env_cost_wtp_l,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_yes_ev_g,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_no_ice_g,,,,,99999,,baseline,1,0
h_gas_75_80,env_cost_wtp_g,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_marg,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_inf,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_glob,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_loc,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_r_glob,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_r_loc,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_e_cost,,,,,99999,,baseline,1,0
h_gas_75_80,WTP_cc,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_install,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_prod,.1153461985031295,,,,99999,,baseline,1,0
h_gas_75_80,wtp_prod_s,.1153461985031295,,,,99999,,baseline,1,0
h_gas_75_80,wtp_prod_u,0,,,,99999,,baseline,1,0
h_gas_75_80,wtp_cons,1,,,,99999,,baseline,1,0
h_gas_75_80,wtp_deal,,,,,99999,,baseline,1,0
h_gas_75_80,admin_cost,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_permits,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_abatement,,,,,99999,,baseline,1,0
h_gas_75_80,permitrev,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_no_leak,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_leak,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_soc_g,-.1405207187348471,,,,99999,,baseline,1,0
h_gas_75_80,wtp_soc_l,-.4721568728384584,,,,99999,,baseline,1,0
h_gas_75_80,fisc_ext_t,-.1169567707817964,,,,99999,,baseline,1,0
h_gas_75_80,fisc_ext_s,0,,,,99999,,baseline,1,0
h_gas_75_80,fisc_ext_lr,.0027442402901233,,,,99999,,baseline,1,0
h_gas_75_80,q_CO2,-.0018319949385476,,,,99999,,baseline,1,0
h_gas_75_80,q_CO2_no,.0018319949385476,,,,99999,,baseline,1,0
h_gas_75_80,p_spend,.9137048769215671,,,,99999,,baseline,1,0
h_gas_75_80,ev_sub_c,,,,,99999,,baseline,1,0
h_gas_75_80,ev_sub_c_row,,,,,99999,,baseline,1,0
h_gas_75_80,ev_sub_c_us,,,,,99999,,baseline,1,0
h_gas_75_80,ev_sub_env,,,,,99999,,baseline,1,0
h_gas_75_80,ev_sub_cost,,,,,99999,,baseline,1,0
h_gas_75_80,profits_fisc_e,,,,,99999,,baseline,1,0
h_gas_75_80,wtp_soc_l_po,-.2709108182949278,,,,99999,,baseline,1,0
h_gas_75_80,wtp_soc_l_dr,-.2012460545435305,,,,99999,,baseline,1,0
h_gas_75_80,gov_carbon,-.0018319949385476,,,,99999,,baseline,1,0
h_gas_75_80,resource_ce,-191.4041854724406,,,,99999,,baseline,1,0
h_gas_75_80,q_carbon_mck,.0053030225779945,,,,99999,,baseline,1,0
h_gas_75_80,semie,-.3454624059399093,,,,99999,,baseline,1,0
h_gas_75_80,pass_through,,,,,99999,,baseline,1,0
h_gas_75_80,permitrev_new,,,,,99999,,baseline,1,0
h_gas_75_80,permitrev_ex,,,,,99999,,baseline,1,0
h_gas_75_80,fiscalext,,,,,99999,,baseline,1,0
h_gas_75_80,firm_cost_wtp,,,,,99999,,baseline,1,0
h_gas_75_80,c_savings,,,,,99999,,baseline,1,0
h_gas_75_80,resource_cost,,,,,99999,,baseline,1,0
h_gas_75_80,q_CO2_mck,.0053030225779945,,,,99999,,baseline,1,0
h_gas_75_80,q_CO2_mck_no,.0053030225779945,,,,99999,,baseline,1,0
h_gas_75_80,wtp_ctr,,,,,99999,,baseline,1,0
h_gas_75_80,gas_corp_fisc_e,,,,,99999,,baseline,1,0
h_gas_75_80,epsilon,,,,,99999,,baseline,1,0
h_gas_75_80,transfer,,,,,99999,,baseline,1,0
h_gas_75_80,enviro_wtp,,,,,99999,,baseline,1,0
h_gas_75_80,cost_curve,,,,,99999,,baseline,1,0
