program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
hancevic_rf,MVPF,.8736044530111496,,,,99999,,baseline,1,0
hancevic_rf,MVPF_no_cc,,,,,99999,,baseline,1,0
hancevic_rf,cost,3478.696355083233,,,,99999,1.0055708,baseline,1,0
hancevic_rf,WTP,3039.004626474368,,,,99999,.87847108,baseline,1,0
hancevic_rf,program_cost,3459.424888888889,,,,99999,,baseline,1,0
hancevic_rf,total_cost,3478.696355083233,,,,99999,,baseline,1,0
hancevic_rf,beh_fisc_ext,,,,,99999,,baseline,1,0
hancevic_rf,utility_fisc_ext,,,,,99999,,baseline,1,0
hancevic_rf,gas_fisc_ext,,,,,99999,,baseline,1,0
hancevic_rf,fed_fisc_ext,,,,,99999,,baseline,1,0
hancevic_rf,state_fisc_ext,,,,,99999,,baseline,1,0
hancevic_rf,WTP_USPres,2652.809583372328,,,,99999,,baseline,1,0
hancevic_rf,WTP_USFut,51.51852781498243,,,,99999,,baseline,1,0
hancevic_rf,WTP_RoW,334.6765152870577,,,,99999,,baseline,1,0
hancevic_rf,WTP_USTotal,,,,,99999,,baseline,1,0
hancevic_rf,enviro_mvpf,,,,,99999,,baseline,1,0
hancevic_rf,cost_mvpf,,,,,99999,,baseline,1,0
hancevic_rf,firm_mvpf,,,,,99999,,baseline,1,0
hancevic_rf,cost_wtp,,,,,99999,,baseline,1,0
hancevic_rf,env_cost_wtp,,,,,99999,,baseline,1,0
hancevic_rf,marginal,,,,,99999,,baseline,1,0
hancevic_rf,infmarg,,,,,99999,,baseline,1,0
hancevic_rf,wtp_private,,,,,99999,,baseline,1,0
hancevic_rf,wtp_soc,501.339209240081,,,,99999,,baseline,1,0
hancevic_rf,wtp_no_ice,,,,,99999,,baseline,1,0
hancevic_rf,wtp_yes_ev,,,,,99999,,baseline,1,0
hancevic_rf,wtp_yes_hev,,,,,99999,,baseline,1,0
hancevic_rf,wtp_soc_rbd,,,,,99999,,baseline,1,0
hancevic_rf,wtp_yes_ev_local,,,,,99999,,baseline,1,0
hancevic_rf,wtp_no_ice_local,,,,,99999,,baseline,1,0
hancevic_rf,env_cost_wtp_l,,,,,99999,,baseline,1,0
hancevic_rf,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
hancevic_rf,wtp_yes_ev_g,,,,,99999,,baseline,1,0
hancevic_rf,wtp_no_ice_g,,,,,99999,,baseline,1,0
hancevic_rf,env_cost_wtp_g,,,,,99999,,baseline,1,0
hancevic_rf,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
hancevic_rf,wtp_marg,864.8562222222223,,,,99999,,baseline,1,0
hancevic_rf,wtp_inf,1729.712444444445,,,,99999,,baseline,1,0
hancevic_rf,wtp_glob,480.2620659142067,,,,99999,,baseline,1,0
hancevic_rf,wtp_loc,133.8112006911637,,,,99999,,baseline,1,0
hancevic_rf,wtp_r_glob,-94.06702281216666,,,,99999,,baseline,1,0
hancevic_rf,wtp_r_loc,-26.20906825938584,,,,99999,,baseline,1,0
hancevic_rf,wtp_e_cost,,,,,99999,,baseline,1,0
hancevic_rf,WTP_cc,,,,,99999,,baseline,1,0
hancevic_rf,wtp_install,,,,,99999,,baseline,1,0
hancevic_rf,wtp_prod,-49.36121572611733,,,,99999,,baseline,1,0
hancevic_rf,wtp_prod_s,,,,,99999,,baseline,1,0
hancevic_rf,wtp_prod_u,,,,,99999,,baseline,1,0
hancevic_rf,wtp_cons,,,,,99999,,baseline,1,0
hancevic_rf,wtp_deal,,,,,99999,,baseline,1,0
hancevic_rf,admin_cost,,,,,99999,,baseline,1,0
hancevic_rf,wtp_permits,,,,,99999,,baseline,1,0
hancevic_rf,wtp_abatement,,,,,99999,,baseline,1,0
hancevic_rf,permitrev,,,,,99999,,baseline,1,0
hancevic_rf,wtp_no_leak,,,,,99999,,baseline,1,0
hancevic_rf,wtp_leak,,,,,99999,,baseline,1,0
hancevic_rf,wtp_soc_g,,,,,99999,,baseline,1,0
hancevic_rf,wtp_soc_l,,,,,99999,,baseline,1,0
hancevic_rf,fisc_ext_t,26.81349990060685,,,,99999,,baseline,1,0
hancevic_rf,fisc_ext_s,0,,,,99999,,baseline,1,0
hancevic_rf,fisc_ext_lr,-7.542033706263048,,,,99999,,baseline,1,0
hancevic_rf,q_CO2,2.843588364871854,,,,99999,,baseline,1,0
hancevic_rf,q_CO2_no,,,,,99999,,baseline,1,0
