program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
her_compiled,MVPF,4.395407529220123,,,,,baseline,1,0
her_compiled,MVPF_no_cc,,,,,,baseline,1,0
her_compiled,cost,7.983209361840998,,,,1.0904089,baseline,1,0
her_compiled,WTP,35.0894585363765,,,,4.7927914,baseline,1,0
her_compiled,program_cost,7.321298811584711,,,,,baseline,1,0
her_compiled,total_cost,,,,,,baseline,1,0
her_compiled,beh_fisc_ext,,,,,,baseline,1,0
her_compiled,utility_fisc_ext,,,,,,baseline,1,0
her_compiled,gas_fisc_ext,,,,,,baseline,1,0
her_compiled,fed_fisc_ext,,,,,,baseline,1,0
her_compiled,state_fisc_ext,,,,,,baseline,1,0
her_compiled,WTP_USPres,16.45522666888375,,,,,baseline,1,0
her_compiled,WTP_USFut,2.485811793608665,,,,,baseline,1,0
her_compiled,WTP_RoW,16.1484200738841,,,,,baseline,1,0
her_compiled,WTP_USTotal,,,,,,baseline,1,0
her_compiled,enviro_mvpf,,,,,,baseline,1,0
her_compiled,cost_mvpf,,,,,,baseline,1,0
her_compiled,firm_mvpf,,,,,,baseline,1,0
her_compiled,cost_wtp,,,,,,baseline,1,0
her_compiled,env_cost_wtp,,,,,,baseline,1,0
her_compiled,marginal,,,,,,baseline,1,0
her_compiled,infmarg,,,,,,baseline,1,0
her_compiled,wtp_private,,,,,,baseline,1,0
her_compiled,wtp_soc,37.3418091967923,,,,,baseline,1,0
her_compiled,wtp_no_ice,,,,,,baseline,1,0
her_compiled,wtp_yes_ev,,,,,,baseline,1,0
her_compiled,wtp_yes_hev,,,,,,baseline,1,0
her_compiled,wtp_soc_rbd,-9.006850311119766,,,,,baseline,1,0
her_compiled,wtp_yes_ev_local,,,,,,baseline,1,0
her_compiled,wtp_no_ice_local,,,,,,baseline,1,0
her_compiled,env_cost_wtp_l,,,,,,baseline,1,0
her_compiled,wtp_soc_rbd_l,,,,,,baseline,1,0
her_compiled,wtp_yes_ev_g,,,,,,baseline,1,0
her_compiled,wtp_no_ice_g,,,,,,baseline,1,0
her_compiled,env_cost_wtp_g,,,,,,baseline,1,0
her_compiled,wtp_soc_rbd_g,,,,,,baseline,1,0
her_compiled,wtp_marg,,,,,,baseline,1,0
her_compiled,wtp_inf,,,,,,baseline,1,0
her_compiled,wtp_glob,23.17304391460519,,,,,baseline,1,0
her_compiled,wtp_loc,22.81170619740658,,,,,baseline,1,0
her_compiled,wtp_r_glob,-4.538812047112432,,,,,baseline,1,0
her_compiled,wtp_r_loc,-4.468038264007334,,,,,baseline,1,0
her_compiled,wtp_e_cost,,,,,,baseline,1,0
her_compiled,WTP_cc,,,,,,baseline,1,0
her_compiled,wtp_install,,,,,,baseline,1,0
her_compiled,wtp_prod,-1.888441264515497,,,,,baseline,1,0
her_compiled,wtp_prod_s,,,,,,baseline,1,0
her_compiled,wtp_prod_u,,,,,,baseline,1,0
her_compiled,wtp_cons,0,,,,,baseline,1,0
her_compiled,wtp_deal,,,,,,baseline,1,0
her_compiled,admin_cost,,,,,,baseline,1,0
her_compiled,wtp_permits,,,,,,baseline,1,0
her_compiled,wtp_abatement,,,,,,baseline,1,0
her_compiled,permitrev,,,,,,baseline,1,0
her_compiled,wtp_no_leak,,,,,,baseline,1,0
her_compiled,wtp_leak,,,,,,baseline,1,0
her_compiled,wtp_soc_g,,,,,,baseline,1,0
her_compiled,wtp_soc_l,,,,,,baseline,1,0
her_compiled,fisc_ext_t,1.02581994615658,,,,,baseline,1,0
her_compiled,fisc_ext_s,0,,,,,baseline,1,0
her_compiled,fisc_ext_lr,-.3639093959002941,,,,,baseline,1,0
