program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hev_usa_s,MVPF,.6563171478879427,,,,,baseline,1,0
hev_usa_s,MVPF_no_cc,.5641403883752844,,,,,baseline,1,0
hev_usa_s,cost,1.808804478159708,,,,1.8088045,baseline,1,0
hev_usa_s,WTP,1.020419660803971,,,,1.0204197,baseline,1,0
hev_usa_s,program_cost,1,,,,,baseline,1,0
hev_usa_s,total_cost,1.808804478159708,,,,,baseline,1,0
hev_usa_s,beh_fisc_ext,.387838,,,,,baseline,1,0
hev_usa_s,utility_fisc_ext,,,,,,baseline,1,0
hev_usa_s,gas_fisc_ext,.0137431333062053,,,,,baseline,1,0
hev_usa_s,fed_fisc_ext,.401302,,,,,baseline,1,0
hev_usa_s,state_fisc_ext,,,,,,baseline,1,0
hev_usa_s,WTP_USPres,.9785225648334654,,,,,baseline,1,0
hev_usa_s,WTP_USFut,.0261279948976594,,,,,baseline,1,0
hev_usa_s,WTP_RoW,.2110885109661182,,,,,baseline,1,0
hev_usa_s,WTP_USTotal,,,,,,baseline,1,0
hev_usa_s,enviro_mvpf,.0090550910681486,,,,,baseline,1,0
hev_usa_s,cost_mvpf,.1651708781719208,,,,,baseline,1,0
hev_usa_s,firm_mvpf,,,,,,baseline,1,0
hev_usa_s,cost_wtp,.1651708781719208,,,,,baseline,1,0
hev_usa_s,env_cost_wtp,.0015588572168257,,,,,baseline,1,0
hev_usa_s,marginal,,,,,,baseline,1,0
hev_usa_s,infmarg,,,,,,baseline,1,0
hev_usa_s,wtp_private,,,,,,baseline,1,0
hev_usa_s,wtp_soc,.0640333700736164,,,,,baseline,1,0
hev_usa_s,wtp_no_ice,2.177830014550685,,,,,baseline,1,0
hev_usa_s,wtp_yes_ev,,,,,,baseline,1,0
hev_usa_s,wtp_yes_hev,-2.102265227077681,,,,,baseline,1,0
hev_usa_s,wtp_soc_rbd,-.0720293607661073,,,,,baseline,1,0
hev_usa_s,wtp_yes_ev_local,,,,,,baseline,1,0
hev_usa_s,wtp_no_ice_local,.2902057764243476,,,,,baseline,1,0
hev_usa_s,env_cost_wtp_l,-.0073227835819125,,,,,baseline,1,0
hev_usa_s,wtp_soc_rbd_l,,,,,,baseline,1,0
hev_usa_s,wtp_yes_ev_g,,,,,,baseline,1,0
hev_usa_s,wtp_no_ice_g,1.887624238126337,,,,,baseline,1,0
hev_usa_s,env_cost_wtp_g,.0088816407987382,,,,,baseline,1,0
hev_usa_s,wtp_soc_rbd_g,,,,,,baseline,1,0
hev_usa_s,wtp_marg,.193919,,,,,baseline,1,0
hev_usa_s,wtp_inf,1037,,,,,baseline,1,0
hev_usa_s,wtp_glob,.0516325694937319,,,,,baseline,1,0
hev_usa_s,wtp_loc,.0124008005798849,,,,,baseline,1,0
hev_usa_s,wtp_r_glob,,,,,,baseline,1,0
hev_usa_s,wtp_r_loc,,,,,,baseline,1,0
hev_usa_s,wtp_e_cost,,,,,,baseline,1,0
hev_usa_s,WTP_cc,1.187149396192718,,,,,baseline,1,0
hev_usa_s,wtp_install,,,,,,baseline,1,0
hev_usa_s,wtp_prod,,,,,,baseline,1,0
hev_usa_s,wtp_prod_s,.0284156514964623,,,,,baseline,1,0
hev_usa_s,wtp_prod_u,,,,,,baseline,1,0
hev_usa_s,wtp_cons,1,,,,,baseline,1,0
hev_usa_s,wtp_deal,,,,,,baseline,1,0
hev_usa_s,admin_cost,,,,,,baseline,1,0
hev_usa_s,wtp_permits,,,,,,baseline,1,0
hev_usa_s,wtp_abatement,,,,,,baseline,1,0
hev_usa_s,permitrev,,,,,,baseline,1,0
hev_usa_s,wtp_no_leak,,,,,,baseline,1,0
hev_usa_s,wtp_leak,,,,,,baseline,1,0
hev_usa_s,wtp_soc_g,,,,,,baseline,1,0
hev_usa_s,wtp_soc_l,,,,,,baseline,1,0
hev_usa_s,fisc_ext_t,,,,,,baseline,1,0
hev_usa_s,fisc_ext_s,,,,,,baseline,1,0
hev_usa_s,fisc_ext_lr,-.0016321827594806,,,,,baseline,1,0
hev_usa_s,q_CO2,.0006813774170008,,,,,baseline,1,0
hev_usa_s,q_CO2_no,,,,,,baseline,1,0
hev_usa_s,p_spend,,,,,,baseline,1,0
hev_usa_s,ev_sub_c,,,,,,baseline,1,0
hev_usa_s,ev_sub_c_row,,,,,,baseline,1,0
hev_usa_s,ev_sub_c_us,,,,,,baseline,1,0
hev_usa_s,ev_sub_env,,,,,,baseline,1,0
hev_usa_s,ev_sub_cost,,,,,,baseline,1,0
hev_usa_s,profits_fisc_e,,,,,,baseline,1,0
hev_usa_s,wtp_soc_l_po,,,,,,baseline,1,0
