program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
hev_usa_s,MVPF,.6563171478879427,,,,99999,,baseline,1,0
hev_usa_s,MVPF_no_cc,.5641403883752844,,,,99999,,baseline,1,0
hev_usa_s,cost,1.808804478159708,,,,99999,1.8088045,baseline,1,0
hev_usa_s,WTP,1.020419660803971,,,,99999,1.0204197,baseline,1,0
hev_usa_s,program_cost,1,,,,99999,,baseline,1,0
hev_usa_s,total_cost,1.808804478159708,,,,99999,,baseline,1,0
hev_usa_s,beh_fisc_ext,.387838,,,,99999,,baseline,1,0
hev_usa_s,utility_fisc_ext,,,,,99999,,baseline,1,0
hev_usa_s,gas_fisc_ext,.0137431333062053,,,,99999,,baseline,1,0
hev_usa_s,fed_fisc_ext,.401302,,,,99999,,baseline,1,0
hev_usa_s,state_fisc_ext,,,,,99999,,baseline,1,0
hev_usa_s,WTP_USPres,.9785225648334654,,,,99999,,baseline,1,0
hev_usa_s,WTP_USFut,.0261279948976594,,,,99999,,baseline,1,0
hev_usa_s,WTP_RoW,.2110885109661182,,,,99999,,baseline,1,0
hev_usa_s,WTP_USTotal,,,,,99999,,baseline,1,0
hev_usa_s,enviro_mvpf,.0090550910681486,,,,99999,,baseline,1,0
hev_usa_s,cost_mvpf,.1651708781719208,,,,99999,,baseline,1,0
hev_usa_s,firm_mvpf,,,,,99999,,baseline,1,0
hev_usa_s,cost_wtp,.1651708781719208,,,,99999,,baseline,1,0
hev_usa_s,env_cost_wtp,.0015588572168257,,,,99999,,baseline,1,0
hev_usa_s,marginal,,,,,99999,,baseline,1,0
hev_usa_s,infmarg,,,,,99999,,baseline,1,0
hev_usa_s,wtp_private,,,,,99999,,baseline,1,0
hev_usa_s,wtp_soc,.0640333700736164,,,,99999,,baseline,1,0
hev_usa_s,wtp_no_ice,2.177830014550685,,,,99999,,baseline,1,0
hev_usa_s,wtp_yes_ev,,,,,99999,,baseline,1,0
hev_usa_s,wtp_yes_hev,-2.102265227077681,,,,99999,,baseline,1,0
