program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
k_gas_89_14,MVPF,.8468336815395423,,,,,baseline,1,0
k_gas_89_14,MVPF_no_cc,.847866071291261,,,,,baseline,1,0
k_gas_89_14,cost,.9458091400018966,,,,.94580913,baseline,1,0
k_gas_89_14,WTP,.8009430360615545,,,,.80094302,baseline,1,0
k_gas_89_14,program_cost,1,,,,,baseline,1,0
k_gas_89_14,total_cost,.9458091400018966,,,,,baseline,1,0
k_gas_89_14,beh_fisc_ext,,,,,,baseline,1,0
k_gas_89_14,utility_fisc_ext,,,,,,baseline,1,0
k_gas_89_14,gas_fisc_ext,,,,,,baseline,1,0
k_gas_89_14,fed_fisc_ext,,,,,,baseline,1,0
k_gas_89_14,state_fisc_ext,,,,,,baseline,1,0
k_gas_89_14,WTP_USPres,.9378077883042772,,,,,baseline,1,0
k_gas_89_14,WTP_USFut,-.0182294173029871,,,,,baseline,1,0
k_gas_89_14,WTP_RoW,-.1186353349397356,,,,,baseline,1,0
k_gas_89_14,WTP_USTotal,,,,,,baseline,1,0
k_gas_89_14,enviro_mvpf,,,,,,baseline,1,0
k_gas_89_14,cost_mvpf,,,,,,baseline,1,0
k_gas_89_14,firm_mvpf,,,,,,baseline,1,0
k_gas_89_14,cost_wtp,-.0008496723997084,,,,,baseline,1,0
k_gas_89_14,env_cost_wtp,-.0001248934044427,,,,,baseline,1,0
k_gas_89_14,marginal,,,,,,baseline,1,0
k_gas_89_14,infmarg,,,,,,baseline,1,0
k_gas_89_14,wtp_private,,,,,,baseline,1,0
k_gas_89_14,wtp_soc,-.2697889362227469,,,,,baseline,1,0
k_gas_89_14,wtp_no_ice,,,,,,baseline,1,0
k_gas_89_14,wtp_yes_ev,,,,,,baseline,1,0
k_gas_89_14,wtp_yes_hev,,,,,,baseline,1,0
k_gas_89_14,wtp_soc_rbd,,,,,,baseline,1,0
k_gas_89_14,wtp_yes_ev_local,,,,,,baseline,1,0
k_gas_89_14,wtp_no_ice_local,,,,,,baseline,1,0
k_gas_89_14,env_cost_wtp_l,,,,,,baseline,1,0
k_gas_89_14,wtp_soc_rbd_l,,,,,,baseline,1,0
k_gas_89_14,wtp_yes_ev_g,,,,,,baseline,1,0
k_gas_89_14,wtp_no_ice_g,,,,,,baseline,1,0
k_gas_89_14,env_cost_wtp_g,,,,,,baseline,1,0
k_gas_89_14,wtp_soc_rbd_g,,,,,,baseline,1,0
k_gas_89_14,wtp_marg,,,,,,baseline,1,0
k_gas_89_14,wtp_inf,,,,,,baseline,1,0
k_gas_89_14,wtp_glob,,,,,,baseline,1,0
k_gas_89_14,wtp_loc,,,,,,baseline,1,0
k_gas_89_14,wtp_r_glob,,,,,,baseline,1,0
k_gas_89_14,wtp_r_loc,,,,,,baseline,1,0
k_gas_89_14,wtp_e_cost,,,,,,baseline,1,0
k_gas_89_14,WTP_cc,,,,,,baseline,1,0
k_gas_89_14,wtp_install,,,,,,baseline,1,0
k_gas_89_14,wtp_prod,.0717065380884526,,,,,baseline,1,0
k_gas_89_14,wtp_prod_s,.0717230546080913,,,,,baseline,1,0
k_gas_89_14,wtp_prod_u,-.0000165165196387,,,,,baseline,1,0
k_gas_89_14,wtp_cons,1,,,,,baseline,1,0
k_gas_89_14,wtp_deal,,,,,,baseline,1,0
k_gas_89_14,admin_cost,,,,,,baseline,1,0
k_gas_89_14,wtp_permits,,,,,,baseline,1,0
k_gas_89_14,wtp_abatement,,,,,,baseline,1,0
k_gas_89_14,permitrev,,,,,,baseline,1,0
k_gas_89_14,wtp_no_leak,,,,,,baseline,1,0
k_gas_89_14,wtp_leak,,,,,,baseline,1,0
k_gas_89_14,wtp_soc_g,-.1359016691601407,,,,,baseline,1,0
k_gas_89_14,wtp_soc_l,-.1338872670626062,,,,,baseline,1,0
k_gas_89_14,fisc_ext_t,-.0564165720157906,,,,,baseline,1,0
k_gas_89_14,fisc_ext_s,-.0004305372922372,,,,,baseline,1,0
k_gas_89_14,fisc_ext_lr,.0026562493099245,,,,,baseline,1,0
k_gas_89_14,q_CO2,-.0008187821920368,,,,,baseline,1,0
k_gas_89_14,q_CO2_no,.0008180994835633,,,,,baseline,1,0
k_gas_89_14,p_spend,.9626400781598973,,,,,baseline,1,0
k_gas_89_14,ev_sub_c,,,,,,baseline,1,0
k_gas_89_14,ev_sub_c_row,,,,,,baseline,1,0
k_gas_89_14,ev_sub_c_us,,,,,,baseline,1,0
k_gas_89_14,ev_sub_env,,,,,,baseline,1,0
k_gas_89_14,ev_sub_cost,,,,,,baseline,1,0
k_gas_89_14,profits_fisc_e,,,,,,baseline,1,0
k_gas_89_14,wtp_soc_l_po,-.0241819306655321,,,,,baseline,1,0
k_gas_89_14,wtp_soc_l_dr,-.109705336397074,,,,,baseline,1,0
k_gas_89_14,gov_carbon,-.0008194618450838,,,,,baseline,1,0
k_gas_89_14,resource_ce,-112.9692829495077,,,,,baseline,1,0
k_gas_89_14,q_carbon_mck,.0089849266152877,,,,,baseline,1,0
k_gas_89_14,semie,-.0912040665629368,,,,,baseline,1,0
k_gas_89_14,pass_through,,,,,,baseline,1,0
k_gas_89_14,permitrev_new,,,,,,baseline,1,0
k_gas_89_14,permitrev_ex,,,,,,baseline,1,0
k_gas_89_14,fiscalext,,,,,,baseline,1,0
k_gas_89_14,firm_cost_wtp,,,,,,baseline,1,0
k_gas_89_14,c_savings,,,,,,baseline,1,0
k_gas_89_14,resource_cost,,,,,,baseline,1,0
k_gas_89_14,q_CO2_mck,.0089849266152877,,,,,baseline,1,0
k_gas_89_14,q_CO2_mck_no,.0089699891067775,,,,,baseline,1,0
k_gas_89_14,wtp_ctr,,,,,,baseline,1,0
k_gas_89_14,gas_corp_fisc_e,,,,,,baseline,1,0
k_gas_89_14,epsilon,,,,,,baseline,1,0
k_gas_89_14,transfer,,,,,,baseline,1,0
k_gas_89_14,enviro_wtp,,,,,,baseline,1,0
k_gas_89_14,cost_curve,,,,,,baseline,1,0
k_gas_89_14,profits,,,,,,baseline,1,0
k_gas_89_14,subsidies,,,,,,baseline,1,0
k_gas_89_14,taxes,,,,,,baseline,1,0
k_gas_89_14,wtp_batt,,,,,,baseline,1,0
k_gas_89_14,wtp_local_w_r,,,,,,baseline,1,0
k_gas_89_14,wind_g_wf,,,,,,baseline,1,0
k_gas_89_14,wind_l_wf,,,,,,baseline,1,0
