program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
mx_deforest,MVPF,2.358079563040482,,,,,baseline,1,0
mx_deforest,MVPF_no_cc,,,,,,baseline,1,0
mx_deforest,cost,436.4609441533734,,,,.97360629,baseline,1,0
mx_deforest,WTP,1029.209632473423,,,,2.295841,baseline,1,0
mx_deforest,program_cost,448.2930724695548,,,,,baseline,1,0
mx_deforest,total_cost,,,,,,baseline,1,0
mx_deforest,beh_fisc_ext,,,,,,baseline,1,0
mx_deforest,utility_fisc_ext,,,,,,baseline,1,0
mx_deforest,gas_fisc_ext,,,,,,baseline,1,0
mx_deforest,fed_fisc_ext,,,,,,baseline,1,0
mx_deforest,state_fisc_ext,,,,,,baseline,1,0
mx_deforest,WTP_USPres,0,,,,,baseline,1,0
mx_deforest,WTP_USFut,80.8235358669145,,,,,baseline,1,0
mx_deforest,WTP_RoW,948.3860966065085,,,,,baseline,1,0
mx_deforest,WTP_USTotal,,,,,,baseline,1,0
mx_deforest,enviro_mvpf,,,,,,baseline,1,0
mx_deforest,cost_mvpf,,,,,,baseline,1,0
mx_deforest,firm_mvpf,,,,,,baseline,1,0
mx_deforest,cost_wtp,,,,,,baseline,1,0
mx_deforest,env_cost_wtp,,,,,,baseline,1,0
mx_deforest,marginal,,,,,,baseline,1,0
mx_deforest,infmarg,,,,,,baseline,1,0
mx_deforest,wtp_private,,,,,,baseline,1,0
mx_deforest,wtp_soc,,,,,,baseline,1,0
mx_deforest,wtp_no_ice,,,,,,baseline,1,0
mx_deforest,wtp_yes_ev,,,,,,baseline,1,0
mx_deforest,wtp_yes_hev,,,,,,baseline,1,0
mx_deforest,wtp_soc_rbd,,,,,,baseline,1,0
mx_deforest,wtp_yes_ev_local,,,,,,baseline,1,0
mx_deforest,wtp_no_ice_local,,,,,,baseline,1,0
mx_deforest,env_cost_wtp_l,,,,,,baseline,1,0
mx_deforest,wtp_soc_rbd_l,,,,,,baseline,1,0
mx_deforest,wtp_yes_ev_g,,,,,,baseline,1,0
mx_deforest,wtp_no_ice_g,,,,,,baseline,1,0
mx_deforest,env_cost_wtp_g,,,,,,baseline,1,0
mx_deforest,wtp_soc_rbd_g,,,,,,baseline,1,0
mx_deforest,wtp_marg,24.9557395672561,,,,,baseline,1,0
mx_deforest,wtp_inf,398.3815933350426,,,,,baseline,1,0
mx_deforest,wtp_glob,605.8722995711242,,,,,baseline,1,0
mx_deforest,wtp_loc,,,,,,baseline,1,0
mx_deforest,wtp_r_glob,,,,,,baseline,1,0
mx_deforest,wtp_r_loc,,,,,,baseline,1,0
mx_deforest,wtp_e_cost,,,,,,baseline,1,0
mx_deforest,WTP_cc,,,,,,baseline,1,0
mx_deforest,wtp_install,,,,,,baseline,1,0
mx_deforest,wtp_prod,,,,,,baseline,1,0
mx_deforest,wtp_prod_s,,,,,,baseline,1,0
mx_deforest,wtp_prod_u,,,,,,baseline,1,0
mx_deforest,wtp_cons,,,,,,baseline,1,0
mx_deforest,wtp_deal,,,,,,baseline,1,0
