program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
ne_solar,MVPF,4.129333839050034,,,,99999,,baseline,1,0
ne_solar,MVPF_no_cc,,,,,99999,,baseline,1,0
ne_solar,cost,15326.60343113305,,,,99999,2.1435809,baseline,1,0
ne_solar,WTP,11303.46742291031,,,,99999,1.5809045,baseline,1,0
ne_solar,program_cost,7150,,,,99999,,baseline,1,0
ne_solar,total_cost,,,,,99999,,baseline,1,0
ne_solar,beh_fisc_ext,,,,,99999,,baseline,1,0
ne_solar,utility_fisc_ext,,,,,99999,,baseline,1,0
ne_solar,gas_fisc_ext,,,,,99999,,baseline,1,0
ne_solar,fed_fisc_ext,,,,,99999,,baseline,1,0
ne_solar,state_fisc_ext,,,,,99999,,baseline,1,0
ne_solar,WTP_USPres,16231.4237003469,,,,99999,,baseline,1,0
ne_solar,WTP_USFut,6558.118304164064,,,,99999,,baseline,1,0
ne_solar,WTP_RoW,40499.1201813671,,,,99999,,baseline,1,0
ne_solar,WTP_USTotal,,,,,99999,,baseline,1,0
ne_solar,enviro_mvpf,4.905889774038898,,,,99999,,baseline,1,0
ne_solar,cost_mvpf,2.364766836166382,,,,99999,,baseline,1,0
ne_solar,firm_mvpf,0,,,,99999,,baseline,1,0
ne_solar,cost_wtp,16908.08287858963,,,,99999,,baseline,1,0
ne_solar,env_cost_wtp,35077.11188437812,,,,99999,,baseline,1,0
ne_solar,marginal,,,,,99999,,baseline,1,0
ne_solar,infmarg,,,,,99999,,baseline,1,0
ne_solar,wtp_private,6029.144415641217,,,,99999,,baseline,1,0
ne_solar,wtp_soc,5351.282937864198,,,,99999,,baseline,1,0
ne_solar,wtp_no_ice,,,,,99999,,baseline,1,0
ne_solar,wtp_yes_ev,,,,,99999,,baseline,1,0
ne_solar,wtp_yes_hev,,,,,99999,,baseline,1,0
ne_solar,wtp_soc_rbd,,,,,99999,,baseline,1,0
ne_solar,wtp_yes_ev_local,,,,,99999,,baseline,1,0
ne_solar,wtp_no_ice_local,,,,,99999,,baseline,1,0
ne_solar,env_cost_wtp_l,8868.742658253603,,,,99999,,baseline,1,0
ne_solar,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
ne_solar,wtp_yes_ev_g,,,,,99999,,baseline,1,0
ne_solar,wtp_no_ice_g,,,,,99999,,baseline,1,0
ne_solar,env_cost_wtp_g,26208.36922612452,,,,99999,,baseline,1,0
ne_solar,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
ne_solar,wtp_marg,,,,,99999,,baseline,1,0
ne_solar,wtp_inf,,,,,99999,,baseline,1,0
ne_solar,wtp_glob,5429.975564228313,,,,99999,,baseline,1,0
ne_solar,wtp_loc,1658.351308830552,,,,99999,,baseline,1,0
ne_solar,wtp_r_glob,-1063.5477409557,,,,99999,,baseline,1,0
ne_solar,wtp_r_loc,-324.8146823784682,,,,99999,,baseline,1,0
ne_solar,wtp_e_cost,-425.6414424555971,,,,99999,,baseline,1,0
ne_solar,WTP_cc,63288.66218587806,,,,99999,,baseline,1,0
ne_solar,wtp_install,1115.4,,,,99999,,baseline,1,0
ne_solar,wtp_prod,-1120.855584358783,,,,99999,,baseline,1,0
ne_solar,wtp_prod_s,,,,,99999,,baseline,1,0
ne_solar,wtp_prod_u,,,,,99999,,baseline,1,0
ne_solar,wtp_cons,6034.6,,,,99999,,baseline,1,0
ne_solar,wtp_deal,,,,,99999,,baseline,1,0
ne_solar,admin_cost,,,,,99999,,baseline,1,0
ne_solar,wtp_permits,,,,,99999,,baseline,1,0
ne_solar,wtp_abatement,,,,,99999,,baseline,1,0
ne_solar,permitrev,,,,,99999,,baseline,1,0
ne_solar,wtp_no_leak,,,,,99999,,baseline,1,0
ne_solar,wtp_leak,,,,,99999,,baseline,1,0
ne_solar,wtp_soc_g,,,,,99999,,baseline,1,0
ne_solar,wtp_soc_l,,,,,99999,,baseline,1,0
ne_solar,fisc_ext_t,608.8598236023025,,,,99999,,baseline,1,0
ne_solar,fisc_ext_s,8156.528864784406,,,,99999,,baseline,1,0
ne_solar,fisc_ext_lr,-588.7852572536589,,,,99999,,baseline,1,0
ne_solar,q_CO2,30.08751632876002,,,,99999,,baseline,1,0
ne_solar,q_CO2_no,,,,,99999,,baseline,1,0
ne_solar,p_spend,15306.52886478441,,,,99999,,baseline,1,0
ne_solar,ev_sub_c,,,,,99999,,baseline,1,0
ne_solar,ev_sub_c_row,,,,,99999,,baseline,1,0
ne_solar,ev_sub_c_us,,,,,99999,,baseline,1,0
ne_solar,ev_sub_env,,,,,99999,,baseline,1,0
ne_solar,ev_sub_cost,,,,,99999,,baseline,1,0
ne_solar,profits_fisc_e,,,,,99999,,baseline,1,0
ne_solar,wtp_soc_l_po,,,,,99999,,baseline,1,0
ne_solar,wtp_soc_l_dr,,,,,99999,,baseline,1,0
ne_solar,gov_carbon,.0002061585807609,,,,99999,,baseline,1,0
ne_solar,resource_ce,133.2758479752052,,,,99999,,baseline,1,0
ne_solar,q_carbon_mck,.0005890718331872,,,,99999,,baseline,1,0
ne_solar,semie,-.5243308138040188,,,,99999,,baseline,1,0
ne_solar,pass_through,.844,,,,99999,,baseline,1,0
ne_solar,permitrev_new,,,,,99999,,baseline,1,0
ne_solar,permitrev_ex,,,,,99999,,baseline,1,0
ne_solar,fiscalext,,,,,99999,,baseline,1,0
ne_solar,firm_cost_wtp,0,,,,99999,,baseline,1,0
ne_solar,c_savings,0,,,,99999,,baseline,1,0
ne_solar,resource_cost,17558.6163911681,,,,99999,,baseline,1,0
ne_solar,q_CO2_mck,.0005890718331872,,,,99999,,baseline,1,0
ne_solar,q_CO2_mck_no,,,,,99999,,baseline,1,0
ne_solar,wtp_ctr,,,,,99999,,baseline,1,0
ne_solar,gas_corp_fisc_e,,,,,99999,,baseline,1,0
ne_solar,epsilon,,,,,99999,,baseline,1,0
ne_solar,transfer,,,,,99999,,baseline,1,0
ne_solar,enviro_wtp,,,,,99999,,baseline,1,0
ne_solar,cost_curve,,,,,99999,,baseline,1,0
ne_solar,profits,,,,,99999,,baseline,1,0
ne_solar,subsidies,,,,,99999,,baseline,1,0
ne_solar,taxes,,,,,99999,,baseline,1,0
ne_solar,wtp_batt,,,,,99999,,baseline,1,0
ne_solar,wtp_local_w_r,,,,,99999,,baseline,1,0
ne_solar,wind_g_wf,,,,,99999,,baseline,1,0
ne_solar,wind_l_wf,,,,,99999,,baseline,1,0
