program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
opower_ng,MVPF,.263807173319928,,,,,baseline,1,0
opower_ng,MVPF_no_cc,,,,,,baseline,1,0
opower_ng,cost,9.347481409897529,,,,1.0580171,baseline,1,0
opower_ng,WTP,2.465932648405643,,,,.27911249,baseline,1,0
opower_ng,program_cost,8.83490596698614,,,,,baseline,1,0
opower_ng,total_cost,,,,,,baseline,1,0
opower_ng,beh_fisc_ext,,,,,,baseline,1,0
opower_ng,utility_fisc_ext,,,,,,baseline,1,0
opower_ng,gas_fisc_ext,,,,,,baseline,1,0
opower_ng,fed_fisc_ext,,,,,,baseline,1,0
opower_ng,state_fisc_ext,,,,,,baseline,1,0
opower_ng,WTP_USPres,-3.73668528869761,,,,,baseline,1,0
opower_ng,WTP_USFut,.8274309844881456,,,,,baseline,1,0
opower_ng,WTP_RoW,5.375186952615108,,,,,baseline,1,0
opower_ng,WTP_USTotal,,,,,,baseline,1,0
opower_ng,enviro_mvpf,,,,,,baseline,1,0
opower_ng,cost_mvpf,,,,,,baseline,1,0
opower_ng,firm_mvpf,,,,,,baseline,1,0
opower_ng,cost_wtp,,,,,,baseline,1,0
opower_ng,env_cost_wtp,,,,,,baseline,1,0
opower_ng,marginal,,,,,,baseline,1,0
opower_ng,infmarg,,,,,,baseline,1,0
opower_ng,wtp_private,,,,,,baseline,1,0
opower_ng,wtp_soc,6.323749356017774,,,,,baseline,1,0
opower_ng,wtp_no_ice,,,,,,baseline,1,0
opower_ng,wtp_yes_ev,,,,,,baseline,1,0
opower_ng,wtp_yes_hev,,,,,,baseline,1,0
opower_ng,wtp_soc_rbd,-.8270157249471006,,,,,baseline,1,0
opower_ng,wtp_yes_ev_local,,,,,,baseline,1,0
opower_ng,wtp_no_ice_local,,,,,,baseline,1,0
opower_ng,env_cost_wtp_l,,,,,,baseline,1,0
opower_ng,wtp_soc_rbd_l,,,,,,baseline,1,0
opower_ng,wtp_yes_ev_g,,,,,,baseline,1,0
opower_ng,wtp_no_ice_g,,,,,,baseline,1,0
opower_ng,env_cost_wtp_g,,,,,,baseline,1,0
opower_ng,wtp_soc_rbd_g,,,,,,baseline,1,0
opower_ng,wtp_marg,,,,,,baseline,1,0
opower_ng,wtp_inf,,,,,,baseline,1,0
opower_ng,wtp_glob,7.029633662050354,,,,,baseline,1,0
opower_ng,wtp_loc,0,,,,,baseline,1,0
opower_ng,wtp_r_glob,-.8270157249471006,,,,,baseline,1,0
opower_ng,wtp_r_loc,0,,,,,baseline,1,0
opower_ng,wtp_e_cost,,,,,,baseline,1,0
opower_ng,WTP_cc,,,,,,baseline,1,0
opower_ng,wtp_install,,,,,,baseline,1,0
opower_ng,wtp_prod,-3.73668528869761,,,,,baseline,1,0
opower_ng,wtp_prod_s,,,,,,baseline,1,0
opower_ng,wtp_prod_u,,,,,,baseline,1,0
opower_ng,wtp_cons,0,,,,,baseline,1,0
opower_ng,wtp_deal,,,,,,baseline,1,0
opower_ng,admin_cost,,,,,,baseline,1,0
opower_ng,wtp_permits,,,,,,baseline,1,0
opower_ng,wtp_abatement,,,,,,baseline,1,0
opower_ng,permitrev,,,,,,baseline,1,0
opower_ng,wtp_no_leak,,,,,,baseline,1,0
opower_ng,wtp_leak,,,,,,baseline,1,0
opower_ng,wtp_soc_g,,,,,,baseline,1,0
opower_ng,wtp_soc_l,,,,,,baseline,1,0
opower_ng,fisc_ext_t,.6337068618259107,,,,,baseline,1,0
opower_ng,fisc_ext_s,0,,,,,baseline,1,0
opower_ng,fisc_ext_lr,-.1211314189145205,,,,,baseline,1,0
opower_ng,q_CO2,.0390919248290646,,,,,baseline,1,0
opower_ng,q_CO2_no,,,,,,baseline,1,0
opower_ng,p_spend,8.83490596698614,,,,,baseline,1,0
opower_ng,ev_sub_c,,,,,,baseline,1,0
opower_ng,ev_sub_c_row,,,,,,baseline,1,0
opower_ng,ev_sub_c_us,,,,,,baseline,1,0
opower_ng,ev_sub_env,,,,,,baseline,1,0
opower_ng,ev_sub_cost,,,,,,baseline,1,0
opower_ng,profits_fisc_e,,,,,,baseline,1,0
opower_ng,wtp_soc_l_po,,,,,,baseline,1,0
opower_ng,wtp_soc_l_dr,,,,,,baseline,1,0
opower_ng,gov_carbon,.0443041814729398,,,,,baseline,1,0
opower_ng,resource_ce,123.7504470633559,,,,,baseline,1,0
opower_ng,q_carbon_mck,.0443041814729398,,,,,baseline,1,0
opower_ng,semie,,,,,,baseline,1,0
opower_ng,pass_through,,,,,,baseline,1,0
opower_ng,permitrev_new,,,,,,baseline,1,0
opower_ng,permitrev_ex,,,,,,baseline,1,0
opower_ng,fiscalext,,,,,,baseline,1,0
opower_ng,firm_cost_wtp,,,,,,baseline,1,0
opower_ng,c_savings,0,,,,,baseline,1,0
opower_ng,resource_cost,,,,,,baseline,1,0
opower_ng,q_CO2_mck,,,,,,baseline,1,0
opower_ng,q_CO2_mck_no,,,,,,baseline,1,0
opower_ng,wtp_ctr,,,,,,baseline,1,0
opower_ng,gas_corp_fisc_e,,,,,,baseline,1,0
opower_ng,epsilon,,,,,,baseline,1,0
opower_ng,transfer,,,,,,baseline,1,0
opower_ng,enviro_wtp,,,,,,baseline,1,0
opower_ng,cost_curve,,,,,,baseline,1,0
opower_ng,profits,,,,,,baseline,1,0
opower_ng,subsidies,,,,,,baseline,1,0
opower_ng,taxes,,,,,,baseline,1,0
opower_ng,wtp_batt,,,,,,baseline,1,0
opower_ng,wtp_local_w_r,,,,,,baseline,1,0
opower_ng,wind_g_wf,,,,,,baseline,1,0
opower_ng,wind_l_wf,,,,,,baseline,1,0
