program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
park_gas,MVPF,.9342363395296464,,,,,baseline,1,0
park_gas,MVPF_no_cc,.9342363395296464,,,,,baseline,1,0
park_gas,cost,.9731015989544336,,,,.97310162,baseline,1,0
park_gas,WTP,.9091068757976359,,,,.90910685,baseline,1,0
park_gas,program_cost,1,,,,,baseline,1,0
park_gas,total_cost,.9731015989544336,,,,,baseline,1,0
park_gas,beh_fisc_ext,,,,,,baseline,1,0
park_gas,utility_fisc_ext,,,,,,baseline,1,0
park_gas,gas_fisc_ext,,,,,,baseline,1,0
park_gas,fed_fisc_ext,,,,,,baseline,1,0
park_gas,state_fisc_ext,,,,,,baseline,1,0
park_gas,WTP_USPres,.9669749232918246,,,,,baseline,1,0
park_gas,WTP_USFut,-.0077196138782143,,,,,baseline,1,0
park_gas,WTP_RoW,-.0501484336159743,,,,,baseline,1,0
park_gas,WTP_USTotal,,,,,,baseline,1,0
park_gas,enviro_mvpf,,,,,,baseline,1,0
park_gas,cost_mvpf,,,,,,baseline,1,0
park_gas,firm_mvpf,,,,,,baseline,1,0
park_gas,cost_wtp,0,,,,,baseline,1,0
park_gas,env_cost_wtp,0,,,,,baseline,1,0
park_gas,marginal,,,,,,baseline,1,0
park_gas,infmarg,,,,,,baseline,1,0
park_gas,wtp_private,,,,,,baseline,1,0
park_gas,wtp_soc,-.1254101998931873,,,,,baseline,1,0
park_gas,wtp_no_ice,,,,,,baseline,1,0
park_gas,wtp_yes_ev,,,,,,baseline,1,0
park_gas,wtp_yes_hev,,,,,,baseline,1,0
park_gas,wtp_soc_rbd,,,,,,baseline,1,0
park_gas,wtp_yes_ev_local,,,,,,baseline,1,0
park_gas,wtp_no_ice_local,,,,,,baseline,1,0
park_gas,env_cost_wtp_l,,,,,,baseline,1,0
park_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
park_gas,wtp_yes_ev_g,,,,,,baseline,1,0
park_gas,wtp_no_ice_g,,,,,,baseline,1,0
park_gas,env_cost_wtp_g,,,,,,baseline,1,0
park_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
park_gas,wtp_marg,,,,,,baseline,1,0
park_gas,wtp_inf,,,,,,baseline,1,0
park_gas,wtp_glob,,,,,,baseline,1,0
park_gas,wtp_loc,,,,,,baseline,1,0
park_gas,wtp_r_glob,,,,,,baseline,1,0
park_gas,wtp_r_loc,,,,,,baseline,1,0
park_gas,wtp_e_cost,,,,,,baseline,1,0
park_gas,WTP_cc,,,,,,baseline,1,0
park_gas,wtp_install,,,,,,baseline,1,0
park_gas,wtp_prod,.0345170756908233,,,,,baseline,1,0
park_gas,wtp_prod_s,.0345170756908233,,,,,baseline,1,0
park_gas,wtp_prod_u,0,,,,,baseline,1,0
park_gas,wtp_cons,1,,,,,baseline,1,0
park_gas,wtp_deal,,,,,,baseline,1,0
park_gas,admin_cost,,,,,,baseline,1,0
park_gas,wtp_permits,,,,,,baseline,1,0
park_gas,wtp_abatement,,,,,,baseline,1,0
park_gas,permitrev,,,,,,baseline,1,0
park_gas,wtp_no_leak,,,,,,baseline,1,0
park_gas,wtp_leak,,,,,,baseline,1,0
park_gas,wtp_soc_g,-.0578680474941886,,,,,baseline,1,0
park_gas,wtp_soc_l,-.0675421523989987,,,,,baseline,1,0
park_gas,fisc_ext_t,-.0280285107466417,,,,,baseline,1,0
park_gas,fisc_ext_s,0,,,,,baseline,1,0
park_gas,fisc_ext_lr,.0011301097010753,,,,,baseline,1,0
park_gas,q_CO2,-.0004025183764629,,,,,baseline,1,0
park_gas,q_CO2_no,.0004025183764629,,,,,baseline,1,0
park_gas,p_spend,.981146914436995,,,,,baseline,1,0
park_gas,ev_sub_c,,,,,,baseline,1,0
park_gas,ev_sub_c_row,,,,,,baseline,1,0
park_gas,ev_sub_c_us,,,,,,baseline,1,0
park_gas,ev_sub_env,,,,,,baseline,1,0
park_gas,ev_sub_cost,,,,,,baseline,1,0
park_gas,profits_fisc_e,,,,,,baseline,1,0
park_gas,wtp_soc_l_po,-.017791770059876,,,,,baseline,1,0
park_gas,wtp_soc_l_dr,-.0497503823391227,,,,,baseline,1,0
park_gas,gov_carbon,-.0004025183764629,,,,,baseline,1,0
park_gas,resource_ce,-122.2771708606059,,,,,baseline,1,0
park_gas,q_carbon_mck,.0083009830039338,,,,,baseline,1,0
park_gas,semie,-.0484904470075559,,,,,baseline,1,0
park_gas,pass_through,,,,,,baseline,1,0
park_gas,permitrev_new,,,,,,baseline,1,0
park_gas,permitrev_ex,,,,,,baseline,1,0
park_gas,fiscalext,,,,,,baseline,1,0
park_gas,firm_cost_wtp,,,,,,baseline,1,0
park_gas,c_savings,,,,,,baseline,1,0
park_gas,resource_cost,,,,,,baseline,1,0
park_gas,q_CO2_mck,.0083009830039338,,,,,baseline,1,0
park_gas,q_CO2_mck_no,.0083009830039338,,,,,baseline,1,0
park_gas,wtp_ctr,,,,,,baseline,1,0
park_gas,gas_corp_fisc_e,,,,,,baseline,1,0
park_gas,epsilon,,,,,,baseline,1,0
park_gas,transfer,,,,,,baseline,1,0
park_gas,enviro_wtp,,,,,,baseline,1,0
park_gas,cost_curve,,,,,,baseline,1,0
park_gas,profits,,,,,,baseline,1,0
park_gas,subsidies,,,,,,baseline,1,0
park_gas,taxes,,,,,,baseline,1,0
park_gas,wtp_batt,,,,,,baseline,1,0
park_gas,wtp_local_w_r,,,,,,baseline,1,0
park_gas,wind_g_wf,,,,,,baseline,1,0
park_gas,wind_l_wf,,,,,,baseline,1,0
