program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
rice_in_st,MVPF,10.74908310373236,,,,,baseline,1,0
rice_in_st,MVPF_no_cc,,,,,,baseline,1,0
rice_in_st,cost,59.94341724734398,,,,.84127408,baseline,1,0
rice_in_st,WTP,644.3367735134042,,,,9.0429249,baseline,1,0
rice_in_st,program_cost,71.25313756713719,,,,,baseline,1,0
rice_in_st,total_cost,59.94341724734398,,,,,baseline,1,0
rice_in_st,beh_fisc_ext,,,,,,baseline,1,0
rice_in_st,utility_fisc_ext,,,,,,baseline,1,0
rice_in_st,gas_fisc_ext,,,,,,baseline,1,0
rice_in_st,fed_fisc_ext,,,,,,baseline,1,0
rice_in_st,state_fisc_ext,,,,,,baseline,1,0
rice_in_st,WTP_USPres,0,,,,,baseline,1,0
rice_in_st,WTP_USFut,77.25504334342688,,,,,baseline,1,0
rice_in_st,WTP_RoW,567.0817301699773,,,,,baseline,1,0
rice_in_st,WTP_USTotal,,,,,,baseline,1,0
rice_in_st,enviro_mvpf,,,,,,baseline,1,0
rice_in_st,cost_mvpf,,,,,,baseline,1,0
rice_in_st,firm_mvpf,,,,,,baseline,1,0
rice_in_st,cost_wtp,,,,,,baseline,1,0
rice_in_st,env_cost_wtp,,,,,,baseline,1,0
rice_in_st,marginal,,,,,,baseline,1,0
rice_in_st,infmarg,,,,,,baseline,1,0
rice_in_st,wtp_private,,,,,,baseline,1,0
rice_in_st,wtp_soc,,,,,,baseline,1,0
rice_in_st,wtp_no_ice,,,,,,baseline,1,0
rice_in_st,wtp_yes_ev,,,,,,baseline,1,0
rice_in_st,wtp_yes_hev,,,,,,baseline,1,0
rice_in_st,wtp_soc_rbd,,,,,,baseline,1,0
rice_in_st,wtp_yes_ev_local,,,,,,baseline,1,0
rice_in_st,wtp_no_ice_local,,,,,,baseline,1,0
rice_in_st,env_cost_wtp_l,,,,,,baseline,1,0
rice_in_st,wtp_soc_rbd_l,,,,,,baseline,1,0
rice_in_st,wtp_yes_ev_g,,,,,,baseline,1,0
rice_in_st,wtp_no_ice_g,,,,,,baseline,1,0
rice_in_st,env_cost_wtp_g,,,,,,baseline,1,0
rice_in_st,wtp_soc_rbd_g,,,,,,baseline,1,0
rice_in_st,wtp_marg,6.038401488740439,,,,,baseline,1,0
rice_in_st,wtp_inf,59.1763345896563,,,,,baseline,1,0
rice_in_st,wtp_glob,579.1220374350074,,,,,baseline,1,0
rice_in_st,wtp_loc,0,,,,,baseline,1,0
rice_in_st,wtp_r_glob,,,,,,baseline,1,0
rice_in_st,wtp_r_loc,,,,,,baseline,1,0
rice_in_st,wtp_e_cost,,,,,,baseline,1,0
rice_in_st,WTP_cc,,,,,,baseline,1,0
rice_in_st,wtp_install,,,,,,baseline,1,0
rice_in_st,wtp_prod,,,,,,baseline,1,0
rice_in_st,wtp_prod_s,,,,,,baseline,1,0
rice_in_st,wtp_prod_u,,,,,,baseline,1,0
rice_in_st,wtp_cons,65.21473607839674,,,,,baseline,1,0
rice_in_st,wtp_deal,,,,,,baseline,1,0
rice_in_st,admin_cost,,,,,,baseline,1,0
rice_in_st,wtp_permits,,,,,,baseline,1,0
rice_in_st,wtp_abatement,,,,,,baseline,1,0
rice_in_st,permitrev,,,,,,baseline,1,0
rice_in_st,wtp_no_leak,,,,,,baseline,1,0
rice_in_st,wtp_leak,,,,,,baseline,1,0
rice_in_st,wtp_soc_g,,,,,,baseline,1,0
rice_in_st,wtp_soc_l,,,,,,baseline,1,0
rice_in_st,fisc_ext_t,0,,,,,baseline,1,0
rice_in_st,fisc_ext_s,0,,,,,baseline,1,0
rice_in_st,fisc_ext_lr,-11.30972031979321,,,,,baseline,1,0
rice_in_st,q_CO2,3.059231905465288,,,,,baseline,1,0
rice_in_st,q_CO2_no,,,,,,baseline,1,0
rice_in_st,p_spend,71.25313756713719,,,,,baseline,1,0
rice_in_st,ev_sub_c,,,,,,baseline,1,0
rice_in_st,ev_sub_c_row,,,,,,baseline,1,0
rice_in_st,ev_sub_c_us,,,,,,baseline,1,0
rice_in_st,ev_sub_env,,,,,,baseline,1,0
rice_in_st,ev_sub_cost,,,,,,baseline,1,0
rice_in_st,profits_fisc_e,,,,,,baseline,1,0
rice_in_st,wtp_soc_l_po,,,,,,baseline,1,0
rice_in_st,wtp_soc_l_dr,,,,,,baseline,1,0
rice_in_st,gov_carbon,,,,,,baseline,1,0
rice_in_st,resource_ce,,,,,,baseline,1,0
rice_in_st,q_carbon_mck,,,,,,baseline,1,0
rice_in_st,semie,,,,,,baseline,1,0
rice_in_st,pass_through,,,,,,baseline,1,0
rice_in_st,permitrev_new,,,,,,baseline,1,0
rice_in_st,permitrev_ex,,,,,,baseline,1,0
rice_in_st,fiscalext,,,,,,baseline,1,0
rice_in_st,firm_cost_wtp,,,,,,baseline,1,0
rice_in_st,c_savings,,,,,,baseline,1,0
rice_in_st,resource_cost,,,,,,baseline,1,0
rice_in_st,q_CO2_mck,,,,,,baseline,1,0
rice_in_st,q_CO2_mck_no,,,,,,baseline,1,0
rice_in_st,wtp_ctr,,,,,,baseline,1,0
rice_in_st,gas_corp_fisc_e,,,,,,baseline,1,0
rice_in_st,epsilon,,,,,,baseline,1,0
rice_in_st,transfer,,,,,,baseline,1,0
rice_in_st,enviro_wtp,,,,,,baseline,1,0
rice_in_st,cost_curve,,,,,,baseline,1,0
rice_in_st,profits,,,,,,baseline,1,0
rice_in_st,subsidies,,,,,,baseline,1,0
rice_in_st,taxes,,,,,,baseline,1,0
rice_in_st,wtp_batt,,,,,,baseline,1,0
rice_in_st,wtp_local_w_r,,,,,,baseline,1,0
rice_in_st,wind_g_wf,,,,,,baseline,1,0
rice_in_st,wind_l_wf,,,,,,baseline,1,0
