program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
rps,MVPF,,,,,,baseline,1,0
rps,MVPF_no_cc,,,,,,baseline,1,0
rps,cost,-.0195290795181706,,,,,baseline,1,0
rps,WTP,.3224423100442722,,,,,baseline,1,0
rps,program_cost,0,,,,,baseline,1,0
rps,total_cost,,,,,,baseline,1,0
rps,beh_fisc_ext,,,,,,baseline,1,0
rps,utility_fisc_ext,,,,,,baseline,1,0
rps,gas_fisc_ext,,,,,,baseline,1,0
rps,fed_fisc_ext,,,,,,baseline,1,0
rps,state_fisc_ext,,,,,,baseline,1,0
rps,WTP_USPres,,,,,,baseline,1,0
rps,WTP_USFut,,,,,,baseline,1,0
rps,WTP_RoW,,,,,,baseline,1,0
rps,WTP_USTotal,,,,,,baseline,1,0
rps,enviro_mvpf,,,,,,baseline,1,0
rps,cost_mvpf,,,,,,baseline,1,0
rps,firm_mvpf,,,,,,baseline,1,0
rps,cost_wtp,,,,,,baseline,1,0
rps,env_cost_wtp,,,,,,baseline,1,0
rps,marginal,,,,,,baseline,1,0
rps,infmarg,,,,,,baseline,1,0
rps,wtp_private,,,,,,baseline,1,0
rps,wtp_soc,1,,,,,baseline,1,0
rps,wtp_no_ice,,,,,,baseline,1,0
rps,wtp_yes_ev,,,,,,baseline,1,0
rps,wtp_yes_hev,,,,,,baseline,1,0
rps,wtp_soc_rbd,,,,,,baseline,1,0
rps,wtp_yes_ev_local,,,,,,baseline,1,0
rps,wtp_no_ice_local,,,,,,baseline,1,0
rps,env_cost_wtp_l,,,,,,baseline,1,0
rps,wtp_soc_rbd_l,,,,,,baseline,1,0
rps,wtp_yes_ev_g,,,,,,baseline,1,0
rps,wtp_no_ice_g,,,,,,baseline,1,0
rps,env_cost_wtp_g,,,,,,baseline,1,0
rps,wtp_soc_rbd_g,,,,,,baseline,1,0
rps,wtp_marg,,,,,,baseline,1,0
rps,wtp_inf,,,,,,baseline,1,0
rps,wtp_glob,,,,,,baseline,1,0
rps,wtp_loc,,,,,,baseline,1,0
rps,wtp_r_glob,,,,,,baseline,1,0
rps,wtp_r_loc,,,,,,baseline,1,0
rps,wtp_e_cost,,,,,,baseline,1,0
rps,WTP_cc,,,,,,baseline,1,0
rps,wtp_install,,,,,,baseline,1,0
rps,wtp_prod,0,,,,,baseline,1,0
rps,wtp_prod_s,,,,,,baseline,1,0
rps,wtp_prod_u,,,,,,baseline,1,0
rps,wtp_cons,-.6775576899557278,,,,,baseline,1,0
rps,wtp_deal,,,,,,baseline,1,0
rps,admin_cost,,,,,,baseline,1,0
rps,wtp_permits,,,,,,baseline,1,0
rps,wtp_abatement,,,,,,baseline,1,0
rps,permitrev,,,,,,baseline,1,0
rps,wtp_no_leak,,,,,,baseline,1,0
rps,wtp_leak,,,,,,baseline,1,0
rps,wtp_soc_g,1,,,,,baseline,1,0
rps,wtp_soc_l,0,,,,,baseline,1,0
rps,fisc_ext_t,0,,,,,baseline,1,0
rps,fisc_ext_s,0,,,,,baseline,1,0
rps,fisc_ext_lr,-.0195290795181706,,,,,baseline,1,0
rps,q_CO2,,,,,,baseline,1,0
rps,q_CO2_no,,,,,,baseline,1,0
rps,p_spend,,,,,,baseline,1,0
rps,ev_sub_c,,,,,,baseline,1,0
rps,ev_sub_c_row,,,,,,baseline,1,0
rps,ev_sub_c_us,,,,,,baseline,1,0
rps,ev_sub_env,,,,,,baseline,1,0
rps,ev_sub_cost,,,,,,baseline,1,0
rps,profits_fisc_e,,,,,,baseline,1,0
rps,wtp_soc_l_po,,,,,,baseline,1,0
rps,wtp_soc_l_dr,,,,,,baseline,1,0
rps,gov_carbon,,,,,,baseline,1,0
rps,resource_ce,,,,,,baseline,1,0
rps,q_carbon_mck,,,,,,baseline,1,0
rps,semie,,,,,,baseline,1,0
rps,pass_through,,,,,,baseline,1,0
rps,permitrev_new,,,,,,baseline,1,0
rps,permitrev_ex,,,,,,baseline,1,0
rps,fiscalext,,,,,,baseline,1,0
rps,firm_cost_wtp,,,,,,baseline,1,0
rps,c_savings,,,,,,baseline,1,0
rps,resource_cost,,,,,,baseline,1,0
rps,q_CO2_mck,,,,,,baseline,1,0
rps,q_CO2_mck_no,,,,,,baseline,1,0
rps,wtp_ctr,,,,,,baseline,1,0
rps,gas_corp_fisc_e,,,,,,baseline,1,0
rps,epsilon,,,,,,baseline,1,0
rps,transfer,,,,,,baseline,1,0
rps,enviro_wtp,,,,,,baseline,1,0
rps,cost_curve,,,,,,baseline,1,0
rps,profits,,,,,,baseline,1,0
rps,subsidies,,,,,,baseline,1,0
rps,taxes,,,,,,baseline,1,0
rps,wtp_batt,,,,,,baseline,1,0
rps,wtp_local_w_r,,,,,,baseline,1,0
rps,wind_g_wf,,,,,,baseline,1,0
rps,wind_l_wf,,,,,,baseline,1,0
