program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
sent_ch_gas,MVPF,.8313055245203048,,,,99999,,baseline,1,0
sent_ch_gas,MVPF_no_cc,.8313055245203048,,,,99999,,baseline,1,0
sent_ch_gas,cost,.9390100292426686,,,,99999,.93901002,baseline,1,0
sent_ch_gas,WTP,.7806042248894034,,,,99999,.78060424,baseline,1,0
sent_ch_gas,program_cost,1,,,,99999,,baseline,1,0
sent_ch_gas,total_cost,.9390100292426686,,,,99999,,baseline,1,0
sent_ch_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
sent_ch_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
sent_ch_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
sent_ch_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
sent_ch_gas,state_fisc_ext,,,,,99999,,baseline,1,0
sent_ch_gas,WTP_USPres,.9029267984058624,,,,99999,,baseline,1,0
sent_ch_gas,WTP_USFut,-.0163178658521592,,,,99999,,baseline,1,0
sent_ch_gas,WTP_RoW,-.1060047076642998,,,,99999,,baseline,1,0
sent_ch_gas,WTP_USTotal,,,,,99999,,baseline,1,0
sent_ch_gas,enviro_mvpf,,,,,99999,,baseline,1,0
sent_ch_gas,cost_mvpf,,,,,99999,,baseline,1,0
sent_ch_gas,firm_mvpf,,,,,99999,,baseline,1,0
sent_ch_gas,cost_wtp,0,,,,99999,,baseline,1,0
sent_ch_gas,env_cost_wtp,0,,,,99999,,baseline,1,0
sent_ch_gas,marginal,,,,,99999,,baseline,1,0
sent_ch_gas,infmarg,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_private,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_soc,-.286501813101659,,,,99999,,baseline,1,0
sent_ch_gas,wtp_no_ice,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
sent_ch_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
sent_ch_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_marg,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_inf,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_glob,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_loc,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_r_glob,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_r_loc,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_e_cost,,,,,99999,,baseline,1,0
sent_ch_gas,WTP_cc,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_install,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_prod,.0671060379910625,,,,99999,,baseline,1,0
sent_ch_gas,wtp_prod_s,.0671060379910625,,,,99999,,baseline,1,0
sent_ch_gas,wtp_prod_u,0,,,,99999,,baseline,1,0
sent_ch_gas,wtp_cons,1,,,,99999,,baseline,1,0
sent_ch_gas,wtp_deal,,,,,99999,,baseline,1,0
sent_ch_gas,admin_cost,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_permits,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_abatement,,,,,99999,,baseline,1,0
sent_ch_gas,permitrev,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_no_leak,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_leak,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_soc_g,-.122322573516459,,,,99999,,baseline,1,0
sent_ch_gas,wtp_soc_l,-.1641792395852,,,,99999,,baseline,1,0
sent_ch_gas,fisc_ext_t,-.0633788180224015,,,,99999,,baseline,1,0
sent_ch_gas,fisc_ext_s,0,,,,99999,,baseline,1,0
sent_ch_gas,fisc_ext_lr,.0023888472650702,,,,99999,,baseline,1,0
sent_ch_gas,q_CO2,-.0009225758368279,,,,99999,,baseline,1,0
sent_ch_gas,q_CO2_no,.0009225758368279,,,,99999,,baseline,1,0
sent_ch_gas,p_spend,.9544594958739568,,,,99999,,baseline,1,0
sent_ch_gas,ev_sub_c,,,,,99999,,baseline,1,0
sent_ch_gas,ev_sub_c_row,,,,,99999,,baseline,1,0
sent_ch_gas,ev_sub_c_us,,,,,99999,,baseline,1,0
sent_ch_gas,ev_sub_env,,,,,99999,,baseline,1,0
sent_ch_gas,ev_sub_cost,,,,,99999,,baseline,1,0
sent_ch_gas,profits_fisc_e,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_soc_l_po,-.0520825172890258,,,,99999,,baseline,1,0
sent_ch_gas,wtp_soc_l_dr,-.1120967222961742,,,,99999,,baseline,1,0
sent_ch_gas,gov_carbon,-.0009225758368279,,,,99999,,baseline,1,0
sent_ch_gas,resource_ce,-133.0778181675742,,,,99999,,baseline,1,0
sent_ch_gas,q_carbon_mck,.0076272720056536,,,,99999,,baseline,1,0
sent_ch_gas,semie,-.1209575109087605,,,,99999,,baseline,1,0
sent_ch_gas,pass_through,,,,,99999,,baseline,1,0
sent_ch_gas,permitrev_new,,,,,99999,,baseline,1,0
sent_ch_gas,permitrev_ex,,,,,99999,,baseline,1,0
sent_ch_gas,fiscalext,,,,,99999,,baseline,1,0
sent_ch_gas,firm_cost_wtp,,,,,99999,,baseline,1,0
sent_ch_gas,c_savings,,,,,99999,,baseline,1,0
sent_ch_gas,resource_cost,,,,,99999,,baseline,1,0
sent_ch_gas,q_CO2_mck,.0076272720056536,,,,99999,,baseline,1,0
sent_ch_gas,q_CO2_mck_no,.0076272720056536,,,,99999,,baseline,1,0
sent_ch_gas,wtp_ctr,,,,,99999,,baseline,1,0
sent_ch_gas,gas_corp_fisc_e,,,,,99999,,baseline,1,0
sent_ch_gas,epsilon,,,,,99999,,baseline,1,0
sent_ch_gas,transfer,,,,,99999,,baseline,1,0
sent_ch_gas,enviro_wtp,,,,,99999,,baseline,1,0
sent_ch_gas,cost_curve,,,,,99999,,baseline,1,0
sent_ch_gas,profits,,,,,99999,,baseline,1,0
sent_ch_gas,subsidies,,,,,99999,,baseline,1,0
sent_ch_gas,taxes,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_batt,,,,,99999,,baseline,1,0
sent_ch_gas,wtp_local_w_r,,,,,99999,,baseline,1,0
sent_ch_gas,wind_g_wf,,,,,99999,,baseline,1,0
sent_ch_gas,wind_l_wf,,,,,99999,,baseline,1,0
