program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
small_gas_sr,MVPF,.9396470964493112,,,,99999,,baseline,1,0
small_gas_sr,MVPF_no_cc,.9396470964493112,,,,99999,,baseline,1,0
small_gas_sr,cost,.9782328949555897,,,,99999,.97823292,baseline,1,0
small_gas_sr,WTP,.919193699396224,,,,99999,.91919369,baseline,1,0
small_gas_sr,program_cost,1,,,,99999,,baseline,1,0
small_gas_sr,total_cost,.9782328949555897,,,,99999,,baseline,1,0
small_gas_sr,beh_fisc_ext,,,,,99999,,baseline,1,0
small_gas_sr,utility_fisc_ext,,,,,99999,,baseline,1,0
small_gas_sr,gas_fisc_ext,,,,,99999,,baseline,1,0
small_gas_sr,fed_fisc_ext,,,,,99999,,baseline,1,0
small_gas_sr,state_fisc_ext,,,,,99999,,baseline,1,0
small_gas_sr,WTP_USPres,.9565437734030739,,,,99999,,baseline,1,0
small_gas_sr,WTP_USFut,-.0049825104205316,,,,99999,,baseline,1,0
small_gas_sr,WTP_RoW,-.0323675635863184,,,,99999,,baseline,1,0
small_gas_sr,WTP_USTotal,,,,,99999,,baseline,1,0
small_gas_sr,enviro_mvpf,,,,,99999,,baseline,1,0
small_gas_sr,cost_mvpf,,,,,99999,,baseline,1,0
small_gas_sr,firm_mvpf,,,,,99999,,baseline,1,0
small_gas_sr,cost_wtp,0,,,,99999,,baseline,1,0
small_gas_sr,env_cost_wtp,0,,,,99999,,baseline,1,0
small_gas_sr,marginal,,,,,99999,,baseline,1,0
small_gas_sr,infmarg,,,,,99999,,baseline,1,0
small_gas_sr,wtp_private,,,,,99999,,baseline,1,0
small_gas_sr,wtp_soc,-.1012659322075051,,,,99999,,baseline,1,0
small_gas_sr,wtp_no_ice,,,,,99999,,baseline,1,0
small_gas_sr,wtp_yes_ev,,,,,99999,,baseline,1,0
small_gas_sr,wtp_yes_hev,,,,,99999,,baseline,1,0
small_gas_sr,wtp_soc_rbd,,,,,99999,,baseline,1,0
small_gas_sr,wtp_yes_ev_local,,,,,99999,,baseline,1,0
small_gas_sr,wtp_no_ice_local,,,,,99999,,baseline,1,0
small_gas_sr,env_cost_wtp_l,,,,,99999,,baseline,1,0
small_gas_sr,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
small_gas_sr,wtp_yes_ev_g,,,,,99999,,baseline,1,0
small_gas_sr,wtp_no_ice_g,,,,,99999,,baseline,1,0
small_gas_sr,env_cost_wtp_g,,,,,99999,,baseline,1,0
small_gas_sr,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
small_gas_sr,wtp_marg,,,,,99999,,baseline,1,0
small_gas_sr,wtp_inf,,,,,99999,,baseline,1,0
small_gas_sr,wtp_glob,,,,,99999,,baseline,1,0
small_gas_sr,wtp_loc,,,,,99999,,baseline,1,0
small_gas_sr,wtp_r_glob,,,,,99999,,baseline,1,0
small_gas_sr,wtp_r_loc,,,,,99999,,baseline,1,0
small_gas_sr,wtp_e_cost,,,,,99999,,baseline,1,0
small_gas_sr,WTP_cc,,,,,99999,,baseline,1,0
small_gas_sr,wtp_install,,,,,99999,,baseline,1,0
small_gas_sr,wtp_prod,.020459631603729,,,,99999,,baseline,1,0
small_gas_sr,wtp_prod_s,.020459631603729,,,,99999,,baseline,1,0
small_gas_sr,wtp_prod_u,0,,,,99999,,baseline,1,0
small_gas_sr,wtp_cons,1,,,,99999,,baseline,1,0
small_gas_sr,wtp_deal,,,,,99999,,baseline,1,0
small_gas_sr,admin_cost,,,,,99999,,baseline,1,0
small_gas_sr,wtp_permits,,,,,99999,,baseline,1,0
small_gas_sr,wtp_abatement,,,,,99999,,baseline,1,0
small_gas_sr,permitrev,,,,,99999,,baseline,1,0
small_gas_sr,wtp_no_leak,,,,,99999,,baseline,1,0
small_gas_sr,wtp_leak,,,,,99999,,baseline,1,0
small_gas_sr,wtp_soc_g,-.03735007400685,,,,99999,,baseline,1,0
small_gas_sr,wtp_soc_l,-.0639158582006551,,,,99999,,baseline,1,0
small_gas_sr,fisc_ext_t,-.0224965176096995,,,,99999,,baseline,1,0
small_gas_sr,fisc_ext_s,0,,,,99999,,baseline,1,0
small_gas_sr,fisc_ext_lr,.0007294125652893,,,,99999,,baseline,1,0
small_gas_sr,q_CO2,-.000317371712256,,,,99999,,baseline,1,0
small_gas_sr,q_CO2_no,.000317371712256,,,,99999,,baseline,1,0
small_gas_sr,p_spend,.982942118639393,,,,99999,,baseline,1,0
small_gas_sr,ev_sub_c,,,,,99999,,baseline,1,0
small_gas_sr,ev_sub_c_row,,,,,99999,,baseline,1,0
small_gas_sr,ev_sub_c_us,,,,,99999,,baseline,1,0
small_gas_sr,ev_sub_env,,,,,99999,,baseline,1,0
small_gas_sr,ev_sub_cost,,,,,99999,,baseline,1,0
small_gas_sr,profits_fisc_e,,,,,99999,,baseline,1,0
small_gas_sr,wtp_soc_l_po,-.0252169625489464,,,,99999,,baseline,1,0
small_gas_sr,wtp_soc_l_dr,-.0386988956517087,,,,99999,,baseline,1,0
small_gas_sr,gov_carbon,-.000317371712256,,,,99999,,baseline,1,0
small_gas_sr,resource_ce,-145.5567006454538,,,,99999,,baseline,1,0
small_gas_sr,q_carbon_mck,.0069733699141435,,,,99999,,baseline,1,0
small_gas_sr,semie,-.0455119570829503,,,,99999,,baseline,1,0
small_gas_sr,pass_through,,,,,99999,,baseline,1,0
small_gas_sr,permitrev_new,,,,,99999,,baseline,1,0
small_gas_sr,permitrev_ex,,,,,99999,,baseline,1,0
small_gas_sr,fiscalext,,,,,99999,,baseline,1,0
small_gas_sr,firm_cost_wtp,,,,,99999,,baseline,1,0
small_gas_sr,c_savings,,,,,99999,,baseline,1,0
small_gas_sr,resource_cost,,,,,99999,,baseline,1,0
