estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
treat_2,.018300001,.0020000001,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_3b,.014,.0019,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_3q,.0137,.0019,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_4m,.0272,.0018,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_4q,.026000001,.0020999999,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_5,.027000001,.0044,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_6,.0164,.0033,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_7,.024800001,.0024999999,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_8,.033199999,.0054000001,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_9,.0163,.0015,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_11m,.0196,.0014,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_11q,.0149,.0020000001,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_12,.0139,.0034,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_13,.0144,.0051000002,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_15,.0189,.0020999999,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_16,.031399999,.0037,,,,,1,1,,,1,"Allcott 2011, Table 4"
treat_17,.0184,.0043000001,,,,,1,1,,,1,"Allcott 2011, Table 4"
