estimate,pe,se,t_stat,program,clusterid,include,duplicate
ac_mexkwh_summer,-15,6.0999999,-2.4590163,ac_mex,1,1,0
ethanole_demand_gas,-3.8441403,.51429003,-7.4746547,ethanol,27,1,0
bolk_Germanye_demand,-2.369,.77399999,-3.0607235,bolk_Germany,8,1,0
bolk_Spaine_demand,-2.096,.71670002,-2.924515,bolk_Spain,9,1,0
pless_tpoprice,-1.929,2.2490001,-.85771453,pless_tpo,65,1,0
bolk_Francee_demand,-1.7283,.5923,-2.9179471,bolk_France,7,1,0
hitaj_gere_demand,-1.665,.252,-6.6071424,hitaj_ger,40,1,0
metcalf_ptcelas,-1.3,.38041332,-3.4173355,metcalf_ptc,56,1,0
ihwaplev_qty_nat_gas,-1.2374001,.0352,-35.153412,ihwap,45,1,0
rggilog_coal_SO2_prod_2018,-.88999999,.38999999,-2.2820513,rggi,70,1,0
rggilog_coal_CO2_prod_2018,-.79000002,.17,-4.647059,rggi,70,1,0
bolk_UKe_demand,-.71689999,.34240001,-2.09375,bolk_UK,10,1,0
dw_dattasemie,-.60399997,.417,-1.4484411,dw_datta,24,1,0
pless_hoprice,-.53399998,.898,-.59465474,pless_ho,64,1,0
ct_solarhurdle_stage1,-.528,.2626,-2.0106626,ct_solar,20,1,0
ne_solarsemie,-.472,.082599998,-5.7142859,ne_solar,59,1,0
rggilog_coal_mwh_prod_2018,-.46000001,.1,-4.5999999,rggi,70,1,0
west_gase_demand_gas,-.45699999,.14186734,-3.2213192,west_gas,86,1,0
nicolini_eue_demand,-.4375,.1656,-2.6419082,nicolini_eu,60,1,0
tiezzi_gase_demand_gas,-.435,.027000001,-16.111111,tiezzi_gas,80,1,0
k_gas_89_14farmer_theta,-.421,.063000001,-6.6825395,k_gas_89_14,52,1,0
bunker_fuele_demand_bunker_fuel_high,-.41696101,.084619999,-4.9274526,bunker_fuel,13,1,0
su_gase_demand_gas,-.39700001,.1575397,-2.52,su_gas,79,1,0
cog_gase_demand_gas,-.368,.23899999,-1.539749,cog_gas,19,1,0
manzan_gase_demand_gas,-.35499999,.117,-3.034188,manzan_gas,55,1,0
h_gas_75_80e_demand_gas,-.33500001,.024,-13.958334,h_gas_75_80,34,1,0
small_gas_lre_demand_gas,-.33399999,.0451,-7.4057646,small_gas_lr,76,1,0
li_gase_demand_gas,-.32300001,.082800001,-3.9009664,li_gas,54,1,0
hughes_csifarmer_theta,-.31900001,.043000001,-7.4186044,hughes_csi,42,1,0
bmm_crudee_supply_crude,-.315,.124,-2.5403225,bmm_crude,6,1,0
k_gas_89_14e_demand_gas,-.31400001,.066,-4.757576,k_gas_89_14,52,1,0
retrofit_resenergy_change_residential,-.30199999,.103,-2.9320388,retrofit_res,69,1,0
levin_gase_demand_gas,-.29499999,.030999999,-9.5161285,levin_gas,53,1,0
sent_ch_gase_demand_gas,-.28,.053030301,-5.2800002,sent_ch_gas,74,1,0
ihwaplev_qty_electric,-.2676,.0156,-17.153847,ihwap,45,1,0
india_cswood_change_3,-.235,.249,-.94377512,india_cs,49,1,0
wapgas_reduction,-.20999999,.079999998,-2.625,wap,83,1,0
rggilog_natgas_mwh_prod_2018,-.2,.11,-1.8181819,rggi,70,1,0
k_gas_15_22e_demand_gas,-.198,.052999999,-3.7358491,k_gas_15_22,51,1,0
nicolini_eufarmer_theta,-.19400001,.041000001,-4.7317071,nicolini_eu,60,1,0
rggilog_total_NOx_prod_2018,-.19,.14,-1.3571428,rggi,70,1,0
jet_fuele_demand_jet_fuel,-.16599999,.063299999,-2.6224327,jet_fuel,50,1,0
gelman_gase_demand_gas,-.164,.024,-6.8333335,gelman_gas,32,1,0
india_cswood_change_2,-.156,.168,-.92857146,india_cs,49,1,0
rggilog_natgas_SO2_prod_2018,-.15000001,.13,-1.1538463,rggi,70,1,0
ihwappct_qty,-.12800001,.0038999999,-32.820515,ihwap,45,1,0
ct_solarhurdle_stage2,-.123,.055399999,-2.2202168,ct_solar,20,1,0
rggilog_coal_CO2_leaker_2018,-.12,.059999999,-2,rggi,70,1,0
wapelectricity_reduction,-.1,.1,-1,wap,83,1,0
russo_crprd_estimate,-.075000003,.0070000002,-10.714286,russo_crp,73,1,0
rggilog_coal_mwh_leaker_2018,-.07,.090000004,-.77777773,rggi,70,1,0
small_gas_sre_demand_gas,-.066699997,.0091000004,-7.3296695,small_gas_sr,77,1,0
rggilog_coal_SO2_leaker_2018,-.059999999,.079999998,-.75,rggi,70,1,0
