estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,pub_bias,expected_sign,program,extended,international,regulation,clusterid,baseline,extended_international,extended_regulation,international_regulation,complete_sample,abs_t_stat,id,estimated_bias,rd_pub_bias
Share of land cropped post-auction ,-.65799999,.050999999,-12.90196,,,,1,1,CPP_aj,1,1,1,1,1,1,1,1,1,12.90196,CPP_ajShare of land cropped post-auction ,2.4444444,2.2
Share of land cropped post-auction ,-.242,.052999999,-4.5660377,,,,1,1,CPP_pj,1,1,1,2,1,1,1,1,1,4.5660377,CPP_pjShare of land cropped post-auction ,2.4444444,2.2
ATE,-.037999999,.018999999,-2,,,,1,1,PER,1,1,1,3,1,1,1,1,1,2,PERATE,2.4444444,2.2
Audit completion indicator on treatment indicator,.011,.003,3.6666667,,,,1,1,audit_nudge,1,1,1,4,1,1,1,1,1,3.6666667,audit_nudgeAudit completion indicator on treatment indicator,2.4444444,2.2
"Days of driving remaining, eligible group ",1394.2,9.5089998,146.61899,,,,1,1,baaqmd,1,1,1,5,1,1,1,1,1,146.61899,"baaqmdDays of driving remaining, eligible group ",2.4444444,2.2
"VMT remaining, eligible group",16027.6,161,99.550308,,,,1,1,baaqmd,1,1,1,5,1,1,1,1,1,99.550308,"baaqmdVMT remaining, eligible group",2.4444444,2.2
Effect of rebate on per capita BEV registration,.078000002,.027000001,2.8888888,,,,1,1,bev_state,1,1,1,6,1,1,1,1,1,2.8888888,bev_stateEffect of rebate on per capita BEV registration,2.4444444,2.2
Experience exponent,.421,.063000001,6.6825395,,,,1,1,bev_state,1,1,1,6,1,1,1,1,1,6.6825395,bev_stateExperience exponent,2.4444444,2.2
June-December Effect on vehicle MPG,.20999999,.039999999,5.25,,,,1,1,c4c_federal,1,1,1,7,1,1,1,1,1,5.25,c4c_federalJune-December Effect on vehicle MPG,2.4444444,2.2
Fuel economy (MPG) on CARS eligibility,.65780002,.092900001,7.0807319,,,,1,1,c4c_texas,1,1,1,8,1,1,1,1,1,7.0807319,c4c_texasFuel economy (MPG) on CARS eligibility,2.4444444,2.2
Percent subsidized on CARS eligibility,.21070001,.0073000002,28.863014,,,,1,1,c4c_texas,1,1,1,8,1,1,1,1,1,28.863014,c4c_texasPercent subsidized on CARS eligibility,2.4444444,2.2
trend break following cap and trade on SOx,-.037,.043000001,-.86046511,,,,1,1,ca_cnt,1,1,1,9,1,1,1,1,1,.86046511,ca_cnttrend break following cap and trade on SOx,2.4444444,2.2
 trend break following cap and trade on CO2,-.29699999,.077,-3.8571429,,,,1,1,ca_cnt,1,1,1,9,1,1,1,1,1,3.8571429,ca_cnt trend break following cap and trade on CO2,2.4444444,2.2
trend break following cap and trade on PM2.5,-.097000003,.048,-2.0208333,,,,1,1,ca_cnt,1,1,1,9,1,1,1,1,1,2.0208333,ca_cnttrend break following cap and trade on PM2.5,2.4444444,2.2
 trend break following cap and trade on NOx,-.104,.050000001,-2.0799999,,,,1,1,ca_cnt,1,1,1,9,1,1,1,1,1,2.0799999,ca_cnt trend break following cap and trade on NOx,2.4444444,2.2
Effect of Rebate Incentive on Energy Conservation: Coastal,-.001,.0020000001,-.5,,,,1,1,ca_electric,1,1,1,10,1,1,1,1,1,.5,ca_electricEffect of Rebate Incentive on Energy Conservation: Coastal,2.4444444,2.2
"Effect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2007",-.048,.021,-2.2857144,,,,1,1,ca_electric,1,1,1,10,1,1,1,1,1,2.2857144,"ca_electricEffect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2007",2.4444444,2.2
"Effect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2006",-.039999999,.017999999,-2.2222223,,,,1,1,ca_electric,1,1,1,10,1,1,1,1,1,2.2222223,"ca_electricEffect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2006",2.4444444,2.2
"Effect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2008",-.043000001,.022,-1.9545455,,,,1,1,ca_electric,1,1,1,10,1,1,1,1,1,1.9545455,"ca_electricEffect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2008",2.4444444,2.2
Effect of Rebate Incentive on Energy Conservation: Inland,-.041999999,.013,-3.2307692,,,,1,1,ca_electric,1,1,1,10,1,1,1,1,1,3.2307692,ca_electricEffect of Rebate Incentive on Energy Conservation: Inland,2.4444444,2.2
LATE of   CARE enrollment on gas consumption,1.909,.91979998,2.0754511,,,,1,1,care,1,1,1,11,1,1,1,1,1,2.0754511,careLATE of   CARE enrollment on gas consumption,2.4444444,2.2
Demand elasticity of solar photovoltaics,-.368,.23899999,-1.5397489,,,,1,1,cog_gas,1,1,1,12,1,1,1,1,1,1.5397489,cog_gasDemand elasticity of solar photovoltaics,2.4444444,2.2
Experience exponent,.31900001,.043000001,7.4186049,,,,1,1,ct_solar,1,1,1,13,1,1,1,1,1,7.4186049,ct_solarExperience exponent,2.4444444,2.2
Demand elasticity of solar photovoltaics,-.65100002,.26840001,-2.4254844,,,,1,1,ct_solar,1,1,1,13,1,1,1,1,1,2.4254844,ct_solarDemand elasticity of solar photovoltaics,2.4444444,2.2
log share of Energy Star applicants on clothes washers * wt. avg. rebate amount,.39500001,.132,2.9924242,,,,1,1,cw_datta,1,1,1,14,1,1,1,1,1,2.9924242,cw_dattalog share of Energy Star applicants on clothes washers * wt. avg. rebate amount,2.4444444,2.2
Price elasticity of gas consumption,-.46000001,.23,-2,,,,1,1,dk_gas,1,1,1,15,1,1,1,1,1,2,dk_gasPrice elasticity of gas consumption,2.4444444,2.2
log share of Energy Star applicants on clothes washers * wt. avg. rebate amount,-.60399997,.417,-1.4484413,,,,1,1,dw_datta,1,1,1,16,1,1,1,1,1,1.4484413,dw_dattalog share of Energy Star applicants on clothes washers * wt. avg. rebate amount,2.4444444,2.2
Effect of 1 spiff and $100 rebate on purchase indicator of energy star water heater,.219,.118,1.8559322,,,,1,1,es_incent,1,1,1,17,1,1,1,1,1,1.8559322,es_incentEffect of 1 spiff and $100 rebate on purchase indicator of energy star water heater,2.4444444,2.2
"Monthly electricity consumption (kWH) on refrigerator replacement, qualified ",-73.449997,2.6800001,-27.406717,,,,1,1,esa_fridge,1,1,1,18,1,1,1,1,1,27.406717,"esa_fridgeMonthly electricity consumption (kWH) on refrigerator replacement, qualified ",2.4444444,2.2
"Monthly electricity consumption (kWH) on refrigerator replacement, unqualified ",-38.02,3.2,-11.88125,,,,1,1,esa_fridge,1,1,1,18,1,1,1,1,1,11.88125,"esa_fridgeMonthly electricity consumption (kWH) on refrigerator replacement, unqualified ",2.4444444,2.2
log share of Energy Star applicants on refrigerators * wt. avg. rebate amount,.28200001,.15000001,1.88,,,,1,1,fridge_datta,1,1,1,19,1,1,1,1,1,1.88,fridge_dattalog share of Energy Star applicants on refrigerators * wt. avg. rebate amount,2.4444444,2.2
Demand elasticity of gasoline,-.164,.024,-6.8333335,,,,1,1,gelman_gas,1,1,1,20,1,1,1,1,1,6.8333335,gelman_gasDemand elasticity of gasoline,2.4444444,2.2
Demand elasticity of solar photovoltaics,-.041999999,.0070000002,-6,,,,1,1,h_gas_01_06,1,1,1,21,1,1,1,1,1,6,h_gas_01_06Demand elasticity of solar photovoltaics,2.4444444,2.2
Impact of LEEP on logged monthly energy consumption ,-.071000002,.02,-3.55,,,,1,1,hancevic_rf,1,1,1,22,1,1,1,1,1,3.55,hancevic_rfImpact of LEEP on logged monthly energy consumption ,2.4444444,2.2
treat_3q,1.37,.19,7.2105265,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,7.2105265,her_compiledtreat_3q,2.4444444,2.2
treat_3b,1.4,.19,7.3684211,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,7.3684211,her_compiledtreat_3b,2.4444444,2.2
treat_5,2.7,.44,6.1363635,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,6.1363635,her_compiledtreat_5,2.4444444,2.2
treat_4q,2.26,.20999999,10.761905,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,10.761905,her_compiledtreat_4q,2.4444444,2.2
treat_11q,1.49,.2,7.4499998,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,7.4499998,her_compiledtreat_11q,2.4444444,2.2
treat_8,3.3199999,.54000002,6.1481481,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,6.1481481,her_compiledtreat_8,2.4444444,2.2
treat_12,1.39,.34,4.0882354,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,4.0882354,her_compiledtreat_12,2.4444444,2.2
treat_15,1.89,.20999999,9,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,9,her_compiledtreat_15,2.4444444,2.2
treat_11m,1.96,.14,14,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,14,her_compiledtreat_11m,2.4444444,2.2
treat_9,1.63,.15000001,10.866667,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,10.866667,her_compiledtreat_9,2.4444444,2.2
treat_13,1.4400001,.50999999,2.8235295,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,2.8235295,her_compiledtreat_13,2.4444444,2.2
treat_17,1.84,.43000001,4.2790699,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,4.2790699,her_compiledtreat_17,2.4444444,2.2
treat_16,3.1400001,.37,8.4864864,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,8.4864864,her_compiledtreat_16,2.4444444,2.2
treat_4m,2.72,.18000001,15.111111,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,15.111111,her_compiledtreat_4m,2.4444444,2.2
treat_6,1.64,.33000001,4.969697,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,4.969697,her_compiledtreat_6,2.4444444,2.2
treat_7,2.48,.25,9.9200001,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,9.9200001,her_compiledtreat_7,2.4444444,2.2
treat_2,1.83,.2,9.1499996,,,,1,1,her_compiled,1,1,1,23,1,1,1,1,1,9.1499996,her_compiledtreat_2,2.4444444,2.2
Log per capita sales on state tax incentive,.048500001,.029200001,1.6609589,,,,1,1,hev_usa,1,1,1,24,1,1,1,1,1,1.6609589,hev_usaLog per capita sales on state tax incentive,2.4444444,2.2
Log per capita sales on state sales tax waiver,.0239,.024599999,.97154474,,,,1,1,hev_usa_i,1,1,1,25,1,1,1,1,1,.97154474,hev_usa_iLog per capita sales on state sales tax waiver,2.4444444,2.2
Log per capita sales on sales tax waiver ,.37400001,.141,2.6524823,,,,1,1,hev_usa_s,1,1,1,26,1,1,1,1,1,2.6524823,hev_usa_sLog per capita sales on sales tax waiver ,2.4444444,2.2
Wind power capacity additions on production incentive (cent/kWh),.0031699999,.0014813084,2.1400001,,,,1,1,hitaj_ptc,1,1,1,27,1,1,1,1,1,2.1400001,hitaj_ptcWind power capacity additions on production incentive (cent/kWh),2.4444444,2.2
